thisProcessorNumber 92 out of 120
line 1000, partTime 10609, wholeTime 10609
line 2000, partTime 14515, wholeTime 25125
line 3000, partTime 48281, wholeTime 73406
line 4000, partTime 20265, wholeTime 93671
line 5000, partTime 27234, wholeTime 120906
line 6000, partTime 37359, wholeTime 158265
line 7000, partTime 11578, wholeTime 169843
line 8000, partTime 4562, wholeTime 174406
line 9000, partTime 198796, wholeTime 373203
line 10000, partTime 123500, wholeTime 496703
line 11000, partTime 63578, wholeTime 560281
line 12000, partTime 105703, wholeTime 665984
line 13000, partTime 36140, wholeTime 702125
line 14000, partTime 56265, wholeTime 758390
line 15000, partTime 60843, wholeTime 819234
line 16000, partTime 31593, wholeTime 850828
line 17000, partTime 9750, wholeTime 860578
line 18000, partTime 37640, wholeTime 898218
line 19000, partTime 110406, wholeTime 1008625
line 20000, partTime 101015, wholeTime 1109640
line 21000, partTime 97593, wholeTime 1207234
line 22000, partTime 100937, wholeTime 1308171
line 23000, partTime 101500, wholeTime 1409671
line 24000, partTime 65296, wholeTime 1474968
line 25000, partTime 10171, wholeTime 1485140
line 26000, partTime 42968, wholeTime 1528109
line 27000, partTime 81718, wholeTime 1609828
line 28000, partTime 51625, wholeTime 1661453
line 29000, partTime 14531, wholeTime 1675984
line 30000, partTime 29453, wholeTime 1705437
line 31000, partTime 12046, wholeTime 1717484
line 32000, partTime 12093, wholeTime 1729578
line 33000, partTime 107109, wholeTime 1836687
line 34000, partTime 595593, wholeTime 2432281
line 35000, partTime 421937, wholeTime 2854218
line 36000, partTime 306218, wholeTime 3160437
line 37000, partTime 199578, wholeTime 3360015
line 38000, partTime 554734, wholeTime 3914750
line 39000, partTime 306765, wholeTime 4221515
line 40000, partTime 234812, wholeTime 4456328
line 41000, partTime 128156, wholeTime 4584484
line 42000, partTime 246296, wholeTime 4830781
line 43000, partTime 480046, wholeTime 5310828
line 44000, partTime 251750, wholeTime 5562578
line 45000, partTime 203375, wholeTime 5765953
line 46000, partTime 26531, wholeTime 5792484
line 47000, partTime 135718, wholeTime 5928203
line 48000, partTime 294609, wholeTime 6222812
line 49000, partTime 73015, wholeTime 6295828
line 50000, partTime 106125, wholeTime 6401953
