thisProcessorNumber 87 out of 120
line 1000, partTime 3993, wholeTime 3993
line 2000, partTime 2480, wholeTime 6474
line 3000, partTime 18673, wholeTime 25147
line 4000, partTime 8720, wholeTime 33867
line 5000, partTime 7659, wholeTime 41527
line 6000, partTime 10951, wholeTime 52478
line 7000, partTime 3354, wholeTime 55832
line 8000, partTime 1950, wholeTime 57782
line 9000, partTime 59779, wholeTime 117561
line 10000, partTime 49280, wholeTime 166842
line 11000, partTime 20997, wholeTime 187839
line 12000, partTime 49764, wholeTime 237604
line 13000, partTime 15303, wholeTime 252907
line 14000, partTime 51058, wholeTime 303966
line 15000, partTime 23462, wholeTime 327428
line 16000, partTime 12698, wholeTime 340127
line 17000, partTime 14164, wholeTime 354292
line 18000, partTime 15896, wholeTime 370188
line 19000, partTime 29343, wholeTime 399532
line 20000, partTime 44990, wholeTime 444522
line 21000, partTime 30638, wholeTime 475161
line 22000, partTime 12573, wholeTime 487734
line 23000, partTime 38079, wholeTime 525814
line 24000, partTime 15288, wholeTime 541102
line 25000, partTime 8845, wholeTime 549947
line 26000, partTime 21169, wholeTime 571117
line 27000, partTime 18033, wholeTime 589150
line 28000, partTime 13197, wholeTime 602348
line 29000, partTime 9750, wholeTime 612098
line 30000, partTime 12792, wholeTime 624890
line 31000, partTime 9079, wholeTime 633969
line 32000, partTime 3385, wholeTime 637354
line 33000, partTime 29234, wholeTime 666589
line 34000, partTime 199773, wholeTime 866363
line 35000, partTime 179977, wholeTime 1046340
line 36000, partTime 139901, wholeTime 1186241
line 37000, partTime 95706, wholeTime 1281947
line 38000, partTime 85878, wholeTime 1367826
line 39000, partTime 128575, wholeTime 1496401
line 40000, partTime 31168, wholeTime 1527570
line 41000, partTime 56846, wholeTime 1584416
line 42000, partTime 39889, wholeTime 1624306
line 43000, partTime 140993, wholeTime 1765299
line 44000, partTime 65005, wholeTime 1830304
line 45000, partTime 87079, wholeTime 1917383
line 46000, partTime 31543, wholeTime 1948927
line 47000, partTime 44413, wholeTime 1993340
line 48000, partTime 82040, wholeTime 2075380
line 49000, partTime 41277, wholeTime 2116658
line 50000, partTime 63882, wholeTime 2180540
line 51000, partTime 18064, wholeTime 2198605
line 52000, partTime 56191, wholeTime 2254796
line 53000, partTime 180570, wholeTime 2435367
line 54000, partTime 105424, wholeTime 2540792
line 55000, partTime 166202, wholeTime 2706994
line 56000, partTime 65894, wholeTime 2772889
line 57000, partTime 25490, wholeTime 2798379
line 58000, partTime 97422, wholeTime 2895801
line 59000, partTime 41277, wholeTime 2937079
line 60000, partTime 45208, wholeTime 2982288
line 61000, partTime 45099, wholeTime 3027388
line 62000, partTime 23634, wholeTime 3051022
line 63000, partTime 58484, wholeTime 3109506
line 64000, partTime 60106, wholeTime 3169613
line 65000, partTime 85394, wholeTime 3255008
line 66000, partTime 71635, wholeTime 3326643
line 67000, partTime 56378, wholeTime 3383021
line 68000, partTime 390, wholeTime 3383411
line 69000, partTime 37190, wholeTime 3420602
line 70000, partTime 17128, wholeTime 3437731
line 71000, partTime 17643, wholeTime 3455374
line 72000, partTime 16286, wholeTime 3471661
line 73000, partTime 5148, wholeTime 3476809
line 74000, partTime 2995, wholeTime 3479804
line 75000, partTime 300238, wholeTime 3780042
line 76000, partTime 96236, wholeTime 3876279
line 77000, partTime 87422, wholeTime 3963701
line 78000, partTime 149245, wholeTime 4112947
line 79000, partTime 152833, wholeTime 4265780
line 80000, partTime 15506, wholeTime 4281287
line 81000, partTime 45411, wholeTime 4326698
line 82000, partTime 109449, wholeTime 4436148
line 83000, partTime 64693, wholeTime 4500841
line 84000, partTime 50887, wholeTime 4551729
line 85000, partTime 36894, wholeTime 4588623
line 86000, partTime 30560, wholeTime 4619183
line 87000, partTime 21621, wholeTime 4640805
line 88000, partTime 85332, wholeTime 4726137
line 89000, partTime 36441, wholeTime 4762579
line 90000, partTime 52915, wholeTime 4815494
line 91000, partTime 44834, wholeTime 4860328
line 92000, partTime 58921, wholeTime 4919250
line 93000, partTime 39436, wholeTime 4958687
line 94000, partTime 31590, wholeTime 4990277
line 95000, partTime 43149, wholeTime 5033426
line 96000, partTime 34086, wholeTime 5067512
line 97000, partTime 14835, wholeTime 5082348
line 98000, partTime 34351, wholeTime 5116699
line 99000, partTime 19999, wholeTime 5136699
line 100000, partTime 8486, wholeTime 5145185
line 101000, partTime 46488, wholeTime 5191673
line 102000, partTime 77594, wholeTime 5269268
line 103000, partTime 61729, wholeTime 5330997
line 104000, partTime 33430, wholeTime 5364428
line 105000, partTime 68593, wholeTime 5433021
line 106000, partTime 37455, wholeTime 5470477
line 107000, partTime 49218, wholeTime 5519695
line 108000, partTime 10998, wholeTime 5530693
line 109000, partTime 42510, wholeTime 5573203
line 110000, partTime 22729, wholeTime 5595932
line 111000, partTime 39982, wholeTime 5635915
line 112000, partTime 4071, wholeTime 5639987
line 113000, partTime 9375, wholeTime 5649362
line 114000, partTime 19921, wholeTime 5669283
line 115000, partTime 6240, wholeTime 5675523
line 116000, partTime 29172, wholeTime 5704696
line 117000, partTime 58141, wholeTime 5762837
line 118000, partTime 20389, wholeTime 5783226
line 119000, partTime 13587, wholeTime 5796814
line 120000, partTime 21496, wholeTime 5818311
line 121000, partTime 29296, wholeTime 5847607
line 122000, partTime 12807, wholeTime 5860415
line 123000, partTime 2527, wholeTime 5862942
line 124000, partTime 10561, wholeTime 5873503
line 125000, partTime 18579, wholeTime 5892083
line 126000, partTime 3494, wholeTime 5895577
line 127000, partTime 5428, wholeTime 5901006
line 128000, partTime 748, wholeTime 5901755
line 129000, partTime 6411, wholeTime 5908167
line 130000, partTime 358, wholeTime 5908525
line 131000, partTime 140, wholeTime 5908666
line 131328, partTime 78, wholeTime 5908744
Lines checked 1094
Paths count 18059525
Colors used 8
