thisProcessorNumber 96 out of 120
line 1000, partTime 4446, wholeTime 4446
line 2000, partTime 2792, wholeTime 7238
line 3000, partTime 21715, wholeTime 28953
line 4000, partTime 8205, wholeTime 37159
line 5000, partTime 8611, wholeTime 45770
line 6000, partTime 14648, wholeTime 60418
line 7000, partTime 5350, wholeTime 65769
line 8000, partTime 4446, wholeTime 70215
line 9000, partTime 58656, wholeTime 128871
line 10000, partTime 40918, wholeTime 169790
line 11000, partTime 35053, wholeTime 204843
line 12000, partTime 32479, wholeTime 237323
line 13000, partTime 11684, wholeTime 249007
line 14000, partTime 24835, wholeTime 273842
line 15000, partTime 32104, wholeTime 305947
line 16000, partTime 9063, wholeTime 315011
line 17000, partTime 10124, wholeTime 325135
line 18000, partTime 5538, wholeTime 330673
line 19000, partTime 40248, wholeTime 370921
line 20000, partTime 41184, wholeTime 412105
line 21000, partTime 33586, wholeTime 445692
line 22000, partTime 23400, wholeTime 469092
line 23000, partTime 25677, wholeTime 494770
line 24000, partTime 11840, wholeTime 506610
line 25000, partTime 5850, wholeTime 512460
line 26000, partTime 19156, wholeTime 531617
line 27000, partTime 20545, wholeTime 552162
line 28000, partTime 18720, wholeTime 570883
line 29000, partTime 3603, wholeTime 574486
line 30000, partTime 10592, wholeTime 585079
line 31000, partTime 3510, wholeTime 588589
line 32000, partTime 1357, wholeTime 589946
line 33000, partTime 40404, wholeTime 630350
line 34000, partTime 174673, wholeTime 805023
line 35000, partTime 121992, wholeTime 927016
line 36000, partTime 172271, wholeTime 1099287
line 37000, partTime 58656, wholeTime 1157943
line 38000, partTime 184345, wholeTime 1342288
line 39000, partTime 75160, wholeTime 1417449
line 40000, partTime 50622, wholeTime 1468071
line 41000, partTime 50965, wholeTime 1519037
line 42000, partTime 92570, wholeTime 1611607
line 43000, partTime 146921, wholeTime 1758528
line 44000, partTime 66955, wholeTime 1825484
line 45000, partTime 48500, wholeTime 1873984
line 46000, partTime 19983, wholeTime 1893968
line 47000, partTime 50512, wholeTime 1944481
line 48000, partTime 64506, wholeTime 2008987
line 49000, partTime 19578, wholeTime 2028565
line 50000, partTime 34616, wholeTime 2063181
line 51000, partTime 22339, wholeTime 2085520
line 52000, partTime 93943, wholeTime 2179464
line 53000, partTime 121461, wholeTime 2300926
line 54000, partTime 78234, wholeTime 2379160
line 55000, partTime 150212, wholeTime 2529372
line 56000, partTime 75145, wholeTime 2604518
line 57000, partTime 37814, wholeTime 2642332
line 58000, partTime 80574, wholeTime 2722906
line 59000, partTime 31122, wholeTime 2754028
line 60000, partTime 29952, wholeTime 2783980
line 61000, partTime 26379, wholeTime 2810360
line 62000, partTime 10186, wholeTime 2820547
line 63000, partTime 64100, wholeTime 2884647
line 64000, partTime 113646, wholeTime 2998294
line 65000, partTime 35256, wholeTime 3033550
line 66000, partTime 84396, wholeTime 3117946
line 67000, partTime 22651, wholeTime 3140597
line 68000, partTime 6427, wholeTime 3147024
line 69000, partTime 32791, wholeTime 3179815
line 70000, partTime 17830, wholeTime 3197646
line 71000, partTime 10327, wholeTime 3207974
line 72000, partTime 21465, wholeTime 3229439
line 73000, partTime 8080, wholeTime 3237520
line 74000, partTime 4258, wholeTime 3241779
line 75000, partTime 367365, wholeTime 3609144
line 76000, partTime 75207, wholeTime 3684352
line 77000, partTime 81010, wholeTime 3765363
line 78000, partTime 111165, wholeTime 3876528
line 79000, partTime 67891, wholeTime 3944420
line 80000, partTime 19624, wholeTime 3964044
line 81000, partTime 138887, wholeTime 4102932
line 82000, partTime 57766, wholeTime 4160698
line 83000, partTime 41137, wholeTime 4201836
line 84000, partTime 49842, wholeTime 4251678
line 85000, partTime 46862, wholeTime 4298540
line 86000, partTime 24554, wholeTime 4323095
line 87000, partTime 54116, wholeTime 4377211
line 88000, partTime 59482, wholeTime 4436694
line 89000, partTime 29452, wholeTime 4466147
line 90000, partTime 19999, wholeTime 4486146
line 91000, partTime 38688, wholeTime 4524834
line 92000, partTime 21684, wholeTime 4546518
line 93000, partTime 20576, wholeTime 4567095
line 94000, partTime 37018, wholeTime 4604114
line 95000, partTime 42868, wholeTime 4646982
line 96000, partTime 16270, wholeTime 4663253
line 97000, partTime 6942, wholeTime 4670195
line 98000, partTime 31200, wholeTime 4701395
line 99000, partTime 7690, wholeTime 4709086
line 100000, partTime 7269, wholeTime 4716356
line 101000, partTime 53055, wholeTime 4769411
line 102000, partTime 113599, wholeTime 4883011
line 103000, partTime 50434, wholeTime 4933446
line 104000, partTime 20904, wholeTime 4954350
line 105000, partTime 74068, wholeTime 5028419
line 106000, partTime 15709, wholeTime 5044128
line 107000, partTime 52072, wholeTime 5096201
line 108000, partTime 15350, wholeTime 5111551
line 109000, partTime 38079, wholeTime 5149631
line 110000, partTime 11403, wholeTime 5161035
line 111000, partTime 32806, wholeTime 5193841
line 112000, partTime 6006, wholeTime 5199847
line 113000, partTime 15662, wholeTime 5215510
line 114000, partTime 15475, wholeTime 5230985
line 115000, partTime 2886, wholeTime 5233871
line 116000, partTime 65332, wholeTime 5299204
line 117000, partTime 25927, wholeTime 5325131
line 118000, partTime 27409, wholeTime 5352541
line 119000, partTime 11965, wholeTime 5364506
line 120000, partTime 20186, wholeTime 5384692
line 121000, partTime 9656, wholeTime 5394349
line 122000, partTime 23571, wholeTime 5417920
line 123000, partTime 842, wholeTime 5418763
line 124000, partTime 16333, wholeTime 5435096
line 125000, partTime 8782, wholeTime 5443879
line 126000, partTime 6723, wholeTime 5450602
line 127000, partTime 1310, wholeTime 5451913
line 128000, partTime 936, wholeTime 5452849
line 129000, partTime 358, wholeTime 5453207
line 130000, partTime 296, wholeTime 5453504
line 131000, partTime 156, wholeTime 5453660
line 131328, partTime 62, wholeTime 5453722
Lines checked 1094
Paths count 15282149
Colors used 8
