thisProcessorNumber 85 out of 120
line 1000, partTime 4205, wholeTime 4205
line 2000, partTime 3557, wholeTime 7763
line 3000, partTime 16574, wholeTime 24338
line 4000, partTime 3388, wholeTime 27726
line 5000, partTime 7939, wholeTime 35665
line 6000, partTime 12511, wholeTime 48177
line 7000, partTime 4121, wholeTime 52298
line 8000, partTime 2439, wholeTime 54738
line 9000, partTime 61386, wholeTime 116124
line 10000, partTime 54208, wholeTime 170332
line 11000, partTime 19572, wholeTime 189905
line 12000, partTime 63070, wholeTime 252975
line 13000, partTime 9569, wholeTime 262544
line 14000, partTime 27621, wholeTime 290166
line 15000, partTime 34270, wholeTime 324436
line 16000, partTime 19443, wholeTime 343880
line 17000, partTime 12084, wholeTime 355964
line 18000, partTime 11710, wholeTime 367674
line 19000, partTime 37607, wholeTime 405281
line 20000, partTime 27141, wholeTime 432422
line 21000, partTime 39872, wholeTime 472294
line 22000, partTime 14656, wholeTime 486951
line 23000, partTime 26424, wholeTime 513375
line 24000, partTime 20856, wholeTime 534231
line 25000, partTime 8340, wholeTime 542571
line 26000, partTime 23578, wholeTime 566149
line 27000, partTime 25108, wholeTime 591257
line 28000, partTime 18384, wholeTime 609641
line 29000, partTime 9436, wholeTime 619078
line 30000, partTime 12442, wholeTime 631520
line 31000, partTime 9635, wholeTime 641155
line 32000, partTime 6459, wholeTime 647614
line 33000, partTime 34641, wholeTime 682255
line 34000, partTime 147362, wholeTime 829617
line 35000, partTime 213056, wholeTime 1042674
line 36000, partTime 205823, wholeTime 1248497
line 37000, partTime 66383, wholeTime 1314881
line 38000, partTime 81470, wholeTime 1396352
line 39000, partTime 126253, wholeTime 1522605
line 40000, partTime 114211, wholeTime 1636817
line 41000, partTime 56007, wholeTime 1692825
line 42000, partTime 59580, wholeTime 1752405
line 43000, partTime 105014, wholeTime 1857419
line 44000, partTime 117948, wholeTime 1975368
line 45000, partTime 89730, wholeTime 2065099
line 46000, partTime 22137, wholeTime 2087237
line 47000, partTime 63035, wholeTime 2150272
line 48000, partTime 80843, wholeTime 2231115
line 49000, partTime 26850, wholeTime 2257966
line 50000, partTime 34365, wholeTime 2292331
line 51000, partTime 7763, wholeTime 2300095
line 52000, partTime 78496, wholeTime 2378591
line 53000, partTime 100989, wholeTime 2479581
line 54000, partTime 90043, wholeTime 2569624
line 55000, partTime 163931, wholeTime 2733555
line 56000, partTime 44205, wholeTime 2777760
line 57000, partTime 42914, wholeTime 2820675
line 58000, partTime 60625, wholeTime 2881301
line 59000, partTime 45785, wholeTime 2927086
line 60000, partTime 86330, wholeTime 3013417
line 61000, partTime 17183, wholeTime 3030601
line 62000, partTime 15061, wholeTime 3045662
line 63000, partTime 38331, wholeTime 3083993
line 64000, partTime 76219, wholeTime 3160213
line 65000, partTime 86423, wholeTime 3246636
line 66000, partTime 118950, wholeTime 3365586
line 67000, partTime 26237, wholeTime 3391823
line 68000, partTime 2689, wholeTime 3394512
line 69000, partTime 38580, wholeTime 3433092
line 70000, partTime 11877, wholeTime 3444970
line 71000, partTime 22116, wholeTime 3467087
line 72000, partTime 37730, wholeTime 3504817
line 73000, partTime 3465, wholeTime 3508282
line 74000, partTime 5591, wholeTime 3513873
line 75000, partTime 325764, wholeTime 3839638
line 76000, partTime 99065, wholeTime 3938703
line 77000, partTime 87146, wholeTime 4025849
line 78000, partTime 204169, wholeTime 4230019
line 79000, partTime 44962, wholeTime 4274981
line 80000, partTime 34074, wholeTime 4309055
line 81000, partTime 68261, wholeTime 4377316
line 82000, partTime 47037, wholeTime 4424354
line 83000, partTime 61008, wholeTime 4485363
line 84000, partTime 90580, wholeTime 4575944
line 85000, partTime 36297, wholeTime 4612241
line 86000, partTime 28265, wholeTime 4640506
line 87000, partTime 36261, wholeTime 4676767
line 88000, partTime 71767, wholeTime 4748534
line 89000, partTime 34191, wholeTime 4782725
line 90000, partTime 51495, wholeTime 4834221
line 91000, partTime 75588, wholeTime 4909809
line 92000, partTime 11431, wholeTime 4921240
line 93000, partTime 17091, wholeTime 4938332
line 94000, partTime 46523, wholeTime 4984856
line 95000, partTime 40515, wholeTime 5025371
line 96000, partTime 28841, wholeTime 5054213
line 97000, partTime 11688, wholeTime 5065901
line 98000, partTime 51709, wholeTime 5117610
line 99000, partTime 4041, wholeTime 5121652
line 100000, partTime 3470, wholeTime 5125122
line 101000, partTime 67225, wholeTime 5192347
line 102000, partTime 62441, wholeTime 5254789
line 103000, partTime 54990, wholeTime 5309779
line 104000, partTime 31526, wholeTime 5341305
line 105000, partTime 118486, wholeTime 5459791
line 106000, partTime 27923, wholeTime 5487714
line 107000, partTime 31654, wholeTime 5519368
line 108000, partTime 20234, wholeTime 5539602
line 109000, partTime 53227, wholeTime 5592829
line 110000, partTime 18071, wholeTime 5610900
line 111000, partTime 55192, wholeTime 5666092
line 112000, partTime 29454, wholeTime 5695547
line 113000, partTime 32987, wholeTime 5728534
line 114000, partTime 3825, wholeTime 5732359
line 115000, partTime 11370, wholeTime 5743729
line 116000, partTime 43215, wholeTime 5786944
line 117000, partTime 41819, wholeTime 5828763
line 118000, partTime 18912, wholeTime 5847676
line 119000, partTime 15824, wholeTime 5863500
line 120000, partTime 34818, wholeTime 5898319
line 121000, partTime 29614, wholeTime 5927933
