thisProcessorNumber 99 out of 120
line 1000, partTime 7079, wholeTime 7079
line 2000, partTime 3133, wholeTime 10213
line 3000, partTime 28863, wholeTime 39077
line 4000, partTime 9175, wholeTime 48252
line 5000, partTime 10242, wholeTime 58495
line 6000, partTime 12978, wholeTime 71473
line 7000, partTime 8228, wholeTime 79701
line 8000, partTime 4969, wholeTime 84670
line 9000, partTime 88493, wholeTime 173163
line 10000, partTime 26968, wholeTime 200131
line 11000, partTime 40190, wholeTime 240321
line 12000, partTime 30671, wholeTime 270993
line 13000, partTime 9158, wholeTime 280151
line 14000, partTime 55751, wholeTime 335903
line 15000, partTime 26395, wholeTime 362298
line 16000, partTime 20495, wholeTime 382794
line 17000, partTime 19082, wholeTime 401877
line 18000, partTime 5845, wholeTime 407723
line 19000, partTime 42330, wholeTime 450053
line 20000, partTime 45950, wholeTime 496003
line 21000, partTime 31031, wholeTime 527034
line 22000, partTime 16447, wholeTime 543481
line 23000, partTime 22605, wholeTime 566086
line 24000, partTime 8227, wholeTime 574313
line 25000, partTime 6576, wholeTime 580889
line 26000, partTime 13170, wholeTime 594059
line 27000, partTime 16391, wholeTime 610450
line 28000, partTime 22601, wholeTime 633051
line 29000, partTime 2804, wholeTime 635855
line 30000, partTime 15290, wholeTime 651145
line 31000, partTime 6462, wholeTime 657607
line 32000, partTime 1535, wholeTime 659142
line 33000, partTime 33406, wholeTime 692548
line 34000, partTime 236707, wholeTime 929256
line 35000, partTime 158036, wholeTime 1087293
line 36000, partTime 171388, wholeTime 1258682
line 37000, partTime 77234, wholeTime 1335916
line 38000, partTime 280628, wholeTime 1616545
line 39000, partTime 88562, wholeTime 1705107
line 40000, partTime 38927, wholeTime 1744035
line 41000, partTime 47650, wholeTime 1791685
line 42000, partTime 64333, wholeTime 1856019
line 43000, partTime 250371, wholeTime 2106390
line 44000, partTime 71881, wholeTime 2178272
line 45000, partTime 39557, wholeTime 2217830
line 46000, partTime 19384, wholeTime 2237214
line 47000, partTime 31800, wholeTime 2269014
