thisProcessorNumber 83 out of 120
line 1000, partTime 3563, wholeTime 3563
line 2000, partTime 2154, wholeTime 5717
line 3000, partTime 23096, wholeTime 28813
line 4000, partTime 12205, wholeTime 41018
line 5000, partTime 8393, wholeTime 49412
line 6000, partTime 13767, wholeTime 63179
line 7000, partTime 4216, wholeTime 67395
line 8000, partTime 1765, wholeTime 69161
line 9000, partTime 86968, wholeTime 156129
line 10000, partTime 22334, wholeTime 178463
line 11000, partTime 19792, wholeTime 198255
line 12000, partTime 36173, wholeTime 234429
line 13000, partTime 13547, wholeTime 247976
line 14000, partTime 45720, wholeTime 293697
line 15000, partTime 32041, wholeTime 325738
line 16000, partTime 18220, wholeTime 343959
line 17000, partTime 14420, wholeTime 358379
line 18000, partTime 8102, wholeTime 366481
line 19000, partTime 34521, wholeTime 401003
line 20000, partTime 32100, wholeTime 433103
line 21000, partTime 20913, wholeTime 454016
line 22000, partTime 17617, wholeTime 471633
line 23000, partTime 23510, wholeTime 495143
line 24000, partTime 10744, wholeTime 505887
line 25000, partTime 11031, wholeTime 516918
line 26000, partTime 26040, wholeTime 542958
line 27000, partTime 26263, wholeTime 569221
line 28000, partTime 10132, wholeTime 579353
line 29000, partTime 10669, wholeTime 590022
line 30000, partTime 19965, wholeTime 609988
line 31000, partTime 7699, wholeTime 617687
line 32000, partTime 1514, wholeTime 619201
line 33000, partTime 34126, wholeTime 653327
line 34000, partTime 227035, wholeTime 880362
line 35000, partTime 152639, wholeTime 1033002
line 36000, partTime 158246, wholeTime 1191248
line 37000, partTime 42739, wholeTime 1233987
line 38000, partTime 114860, wholeTime 1348848
line 39000, partTime 131637, wholeTime 1480485
line 40000, partTime 27484, wholeTime 1507970
line 41000, partTime 72004, wholeTime 1579974
line 42000, partTime 58824, wholeTime 1638798
line 43000, partTime 158411, wholeTime 1797209
line 44000, partTime 96265, wholeTime 1893475
line 45000, partTime 79331, wholeTime 1972806
line 46000, partTime 30307, wholeTime 2003113
line 47000, partTime 62907, wholeTime 2066021
line 48000, partTime 105400, wholeTime 2171421
line 49000, partTime 9570, wholeTime 2180991
line 50000, partTime 44651, wholeTime 2225642
line 51000, partTime 10070, wholeTime 2235712
line 52000, partTime 79896, wholeTime 2315609
line 53000, partTime 211407, wholeTime 2527017
line 54000, partTime 55252, wholeTime 2582269
line 55000, partTime 80255, wholeTime 2662524
line 56000, partTime 45533, wholeTime 2708058
line 57000, partTime 42568, wholeTime 2750626
line 58000, partTime 85200, wholeTime 2835827
line 59000, partTime 60240, wholeTime 2896067
line 60000, partTime 59937, wholeTime 2956005
line 61000, partTime 32328, wholeTime 2988333
line 62000, partTime 16001, wholeTime 3004334
line 63000, partTime 28751, wholeTime 3033086
line 64000, partTime 96412, wholeTime 3129498
line 65000, partTime 34412, wholeTime 3163910
