thisProcessorNumber 89 out of 120
line 1000, partTime 2979, wholeTime 2979
line 2000, partTime 1809, wholeTime 4789
line 3000, partTime 15506, wholeTime 20295
line 4000, partTime 11590, wholeTime 31886
line 5000, partTime 7675, wholeTime 39561
line 6000, partTime 8080, wholeTime 47642
line 7000, partTime 3432, wholeTime 51074
line 8000, partTime 1466, wholeTime 52540
line 9000, partTime 58500, wholeTime 111040
line 10000, partTime 33664, wholeTime 144705
line 11000, partTime 29140, wholeTime 173846
line 12000, partTime 40482, wholeTime 214328
line 13000, partTime 15709, wholeTime 230038
line 14000, partTime 31059, wholeTime 261097
line 15000, partTime 19312, wholeTime 280410
line 16000, partTime 19344, wholeTime 299754
line 17000, partTime 8096, wholeTime 307850
line 18000, partTime 12994, wholeTime 320845
line 19000, partTime 51292, wholeTime 372138
line 20000, partTime 37221, wholeTime 409360
line 21000, partTime 26332, wholeTime 435693
line 22000, partTime 30498, wholeTime 466191
line 23000, partTime 33321, wholeTime 499512
line 24000, partTime 13057, wholeTime 512570
line 25000, partTime 6957, wholeTime 519527
line 26000, partTime 33805, wholeTime 553332
line 27000, partTime 16270, wholeTime 569603
line 28000, partTime 9812, wholeTime 579416
line 29000, partTime 8517, wholeTime 587933
line 30000, partTime 19453, wholeTime 607387
line 31000, partTime 8174, wholeTime 615561
line 32000, partTime 2839, wholeTime 618400
line 33000, partTime 37596, wholeTime 655996
line 34000, partTime 239382, wholeTime 895379
line 35000, partTime 143067, wholeTime 1038447
line 36000, partTime 98108, wholeTime 1136555
line 37000, partTime 131664, wholeTime 1268219
line 38000, partTime 195405, wholeTime 1463625
line 39000, partTime 92929, wholeTime 1556555
line 40000, partTime 31371, wholeTime 1587926
line 41000, partTime 44475, wholeTime 1632402
line 42000, partTime 90417, wholeTime 1722820
line 43000, partTime 81322, wholeTime 1804143
line 44000, partTime 61058, wholeTime 1865201
line 45000, partTime 57470, wholeTime 1922672
line 46000, partTime 29156, wholeTime 1951828
line 47000, partTime 110760, wholeTime 2062588
line 48000, partTime 49311, wholeTime 2111900
line 49000, partTime 37939, wholeTime 2149839
line 50000, partTime 41620, wholeTime 2191460
line 51000, partTime 16801, wholeTime 2208261
line 52000, partTime 111789, wholeTime 2320051
line 53000, partTime 77173, wholeTime 2397225
line 54000, partTime 105222, wholeTime 2502447
line 55000, partTime 147295, wholeTime 2649742
line 56000, partTime 54163, wholeTime 2703905
line 57000, partTime 63679, wholeTime 2767585
line 58000, partTime 75363, wholeTime 2842948
line 59000, partTime 33680, wholeTime 2876629
line 60000, partTime 44865, wholeTime 2921495
line 61000, partTime 23946, wholeTime 2945441
line 62000, partTime 21840, wholeTime 2967281
line 63000, partTime 55224, wholeTime 3022505
line 64000, partTime 44257, wholeTime 3066762
line 65000, partTime 85113, wholeTime 3151876
line 66000, partTime 59326, wholeTime 3211203
line 67000, partTime 48843, wholeTime 3260046
line 68000, partTime 1981, wholeTime 3262028
line 69000, partTime 52774, wholeTime 3314803
line 70000, partTime 10654, wholeTime 3325457
line 71000, partTime 16520, wholeTime 3341978
line 72000, partTime 10264, wholeTime 3352243
line 73000, partTime 3369, wholeTime 3355612
line 74000, partTime 8486, wholeTime 3364099
line 75000, partTime 386537, wholeTime 3750636
line 76000, partTime 57298, wholeTime 3807935
line 77000, partTime 84489, wholeTime 3892425
line 78000, partTime 144003, wholeTime 4036429
line 79000, partTime 94146, wholeTime 4130575
line 80000, partTime 15818, wholeTime 4146393
line 81000, partTime 166467, wholeTime 4312861
line 82000, partTime 43680, wholeTime 4356541
line 83000, partTime 48984, wholeTime 4405525
line 84000, partTime 50918, wholeTime 4456444
line 85000, partTime 16567, wholeTime 4473011
line 86000, partTime 22557, wholeTime 4495569
line 87000, partTime 53164, wholeTime 4548733
line 88000, partTime 116485, wholeTime 4665219
line 89000, partTime 12511, wholeTime 4677730
line 90000, partTime 47798, wholeTime 4725529
line 91000, partTime 44584, wholeTime 4770113
line 92000, partTime 10389, wholeTime 4780503
line 93000, partTime 40388, wholeTime 4820892
line 94000, partTime 59701, wholeTime 4880593
line 95000, partTime 56440, wholeTime 4937034
line 96000, partTime 22526, wholeTime 4959560
line 97000, partTime 20701, wholeTime 4980261
line 98000, partTime 34117, wholeTime 5014379
line 99000, partTime 7597, wholeTime 5021976
line 100000, partTime 7160, wholeTime 5029136
line 101000, partTime 93100, wholeTime 5122237
line 102000, partTime 98046, wholeTime 5220283
line 103000, partTime 31496, wholeTime 5251780
line 104000, partTime 29842, wholeTime 5281623
line 105000, partTime 68296, wholeTime 5349920
line 106000, partTime 12948, wholeTime 5362868
line 107000, partTime 46488, wholeTime 5409356
line 108000, partTime 29827, wholeTime 5439183
line 109000, partTime 79638, wholeTime 5518821
line 110000, partTime 11902, wholeTime 5530724
line 111000, partTime 42946, wholeTime 5573671
line 112000, partTime 3900, wholeTime 5577571
line 113000, partTime 5179, wholeTime 5582750
line 114000, partTime 11388, wholeTime 5594138
line 115000, partTime 11902, wholeTime 5606041
line 116000, partTime 69685, wholeTime 5675726
