thisProcessorNumber 80 out of 120
line 1000, partTime 8281, wholeTime 8281
line 2000, partTime 21156, wholeTime 29437
line 3000, partTime 91437, wholeTime 120875
line 4000, partTime 42531, wholeTime 163406
line 5000, partTime 14171, wholeTime 177578
line 6000, partTime 27140, wholeTime 204718
line 7000, partTime 13437, wholeTime 218156
line 8000, partTime 4890, wholeTime 223046
line 9000, partTime 116093, wholeTime 339140
line 10000, partTime 60062, wholeTime 399203
line 11000, partTime 39015, wholeTime 438218
line 12000, partTime 36312, wholeTime 474531
line 13000, partTime 51406, wholeTime 525937
line 14000, partTime 100000, wholeTime 625937
line 15000, partTime 94906, wholeTime 720843
line 16000, partTime 51843, wholeTime 772687
line 17000, partTime 24359, wholeTime 797046
line 18000, partTime 14937, wholeTime 811984
line 19000, partTime 61218, wholeTime 873203
line 20000, partTime 67515, wholeTime 940718
line 21000, partTime 66843, wholeTime 1007562
line 22000, partTime 39390, wholeTime 1046953
line 23000, partTime 27921, wholeTime 1074875
line 24000, partTime 27125, wholeTime 1102000
line 25000, partTime 29296, wholeTime 1131296
line 26000, partTime 59812, wholeTime 1191109
line 27000, partTime 44984, wholeTime 1236093
line 28000, partTime 27000, wholeTime 1263093
line 29000, partTime 30046, wholeTime 1293140
line 30000, partTime 66203, wholeTime 1359343
line 31000, partTime 5375, wholeTime 1364718
line 32000, partTime 2984, wholeTime 1367703
line 33000, partTime 49593, wholeTime 1417296
line 34000, partTime 375609, wholeTime 1792906
line 35000, partTime 314343, wholeTime 2107250
line 36000, partTime 406968, wholeTime 2514218
line 37000, partTime 96781, wholeTime 2611000
line 38000, partTime 320296, wholeTime 2931296
line 39000, partTime 160734, wholeTime 3092031
line 40000, partTime 177078, wholeTime 3269109
line 41000, partTime 180312, wholeTime 3449421
line 42000, partTime 222468, wholeTime 3671890
line 43000, partTime 198609, wholeTime 3870500
line 44000, partTime 192890, wholeTime 4063390
line 45000, partTime 247265, wholeTime 4310656
line 46000, partTime 105937, wholeTime 4416593
line 47000, partTime 175968, wholeTime 4592562
line 48000, partTime 176812, wholeTime 4769375
line 49000, partTime 48328, wholeTime 4817703
line 50000, partTime 69312, wholeTime 4887015
line 51000, partTime 48968, wholeTime 4935984
line 52000, partTime 286765, wholeTime 5222750
line 53000, partTime 314109, wholeTime 5536859
line 54000, partTime 162000, wholeTime 5698859
line 55000, partTime 141250, wholeTime 5840109
line 56000, partTime 43000, wholeTime 5883109
line 57000, partTime 188593, wholeTime 6071703
line 58000, partTime 166687, wholeTime 6238390
line 59000, partTime 64031, wholeTime 6302421
line 60000, partTime 164671, wholeTime 6467093
line 61000, partTime 93875, wholeTime 6560968
line 62000, partTime 23359, wholeTime 6584328
line 63000, partTime 140859, wholeTime 6725187
line 64000, partTime 84375, wholeTime 6809562
line 65000, partTime 125562, wholeTime 6935125
line 66000, partTime 252968, wholeTime 7188093
line 67000, partTime 64328, wholeTime 7252421
line 68000, partTime 16984, wholeTime 7269406
line 69000, partTime 120593, wholeTime 7390000
line 70000, partTime 34203, wholeTime 7424203
line 71000, partTime 30187, wholeTime 7454390
line 72000, partTime 23046, wholeTime 7477437
line 73000, partTime 21765, wholeTime 7499203
line 74000, partTime 6125, wholeTime 7505328
line 75000, partTime 847312, wholeTime 8352640
line 76000, partTime 186703, wholeTime 8539343
line 77000, partTime 140000, wholeTime 8679343
line 78000, partTime 279078, wholeTime 8958421
line 79000, partTime 262046, wholeTime 9220468
line 80000, partTime 37437, wholeTime 9257906
line 81000, partTime 331687, wholeTime 9589593
line 82000, partTime 145203, wholeTime 9734796
line 83000, partTime 118656, wholeTime 9853453
line 84000, partTime 160875, wholeTime 10014328
line 85000, partTime 61703, wholeTime 10076031
line 86000, partTime 110093, wholeTime 10186125
line 87000, partTime 142890, wholeTime 10329015
line 88000, partTime 230625, wholeTime 10559640
line 89000, partTime 68656, wholeTime 10628296
line 90000, partTime 72812, wholeTime 10701109
line 91000, partTime 92812, wholeTime 10793921
line 92000, partTime 71156, wholeTime 10865078
line 93000, partTime 50859, wholeTime 10915937
line 94000, partTime 129937, wholeTime 11045875
line 95000, partTime 10796, wholeTime 11056671
line 96000, partTime 43500, wholeTime 11100171
line 97000, partTime 14906, wholeTime 11115078
line 98000, partTime 80468, wholeTime 11195546
line 99000, partTime 11750, wholeTime 11207296
line 100000, partTime 23937, wholeTime 11231234
line 101000, partTime 314328, wholeTime 11545562
line 102000, partTime 169171, wholeTime 11714734
line 103000, partTime 155531, wholeTime 11870265
line 104000, partTime 72578, wholeTime 11942843
line 105000, partTime 188843, wholeTime 12131687
line 106000, partTime 74437, wholeTime 12206125
line 107000, partTime 43093, wholeTime 12249218
line 108000, partTime 18296, wholeTime 12267515
line 109000, partTime 87578, wholeTime 12355093
line 110000, partTime 39500, wholeTime 12394593
line 111000, partTime 59906, wholeTime 12454500
line 112000, partTime 19843, wholeTime 12474343
line 113000, partTime 16750, wholeTime 12491093
line 114000, partTime 14953, wholeTime 12506046
line 115000, partTime 4656, wholeTime 12510703
line 116000, partTime 95171, wholeTime 12605875
line 117000, partTime 57171, wholeTime 12663046
line 118000, partTime 38734, wholeTime 12701781
line 119000, partTime 28937, wholeTime 12730718
line 120000, partTime 31265, wholeTime 12761984
line 121000, partTime 57890, wholeTime 12819875
line 122000, partTime 10593, wholeTime 12830468
line 123000, partTime 3515, wholeTime 12833984
line 124000, partTime 43796, wholeTime 12877781
line 125000, partTime 28765, wholeTime 12906546
line 126000, partTime 7375, wholeTime 12913921
line 127000, partTime 5921, wholeTime 12919843
line 128000, partTime 2078, wholeTime 12921921
line 129000, partTime 1046, wholeTime 12922968
line 130000, partTime 750, wholeTime 12923718
line 131000, partTime 1250, wholeTime 12924968
line 131328, partTime 140, wholeTime 12925109
Lines checked 1094
Paths count 14165247
Colors used 8
