thisProcessorNumber 84 out of 120
line 1000, partTime 5305, wholeTime 5305
line 2000, partTime 3420, wholeTime 8725
line 3000, partTime 34450, wholeTime 43175
line 4000, partTime 4834, wholeTime 48009
line 5000, partTime 9934, wholeTime 57944
line 6000, partTime 14825, wholeTime 72770
line 7000, partTime 3886, wholeTime 76656
line 8000, partTime 2127, wholeTime 78783
line 9000, partTime 61279, wholeTime 140062
line 10000, partTime 14744, wholeTime 154806
line 11000, partTime 23682, wholeTime 178488
line 12000, partTime 58037, wholeTime 236526
line 13000, partTime 14917, wholeTime 251443
line 14000, partTime 42981, wholeTime 294425
line 15000, partTime 36627, wholeTime 331052
line 16000, partTime 10940, wholeTime 341993
line 17000, partTime 13012, wholeTime 355005
line 18000, partTime 11419, wholeTime 366425
line 19000, partTime 31703, wholeTime 398128
line 20000, partTime 37864, wholeTime 435993
line 21000, partTime 35446, wholeTime 471439
line 22000, partTime 16624, wholeTime 488064
line 23000, partTime 27667, wholeTime 515731
line 24000, partTime 19910, wholeTime 535641
line 25000, partTime 8646, wholeTime 544288
line 26000, partTime 29101, wholeTime 573389
line 27000, partTime 27804, wholeTime 601193
line 28000, partTime 20206, wholeTime 621399
line 29000, partTime 8422, wholeTime 629821
line 30000, partTime 13828, wholeTime 643649
line 31000, partTime 8975, wholeTime 652624
line 32000, partTime 4299, wholeTime 656923
line 33000, partTime 34967, wholeTime 691890
line 34000, partTime 155635, wholeTime 847525
line 35000, partTime 169772, wholeTime 1017298
line 36000, partTime 185974, wholeTime 1203272
line 37000, partTime 42829, wholeTime 1246101
line 38000, partTime 100784, wholeTime 1346886
line 39000, partTime 121247, wholeTime 1468133
line 40000, partTime 149408, wholeTime 1617542
line 41000, partTime 75913, wholeTime 1693456
line 42000, partTime 78533, wholeTime 1771989
line 43000, partTime 165310, wholeTime 1937300
line 44000, partTime 91130, wholeTime 2028431
line 45000, partTime 77097, wholeTime 2105528
line 46000, partTime 24898, wholeTime 2130426
line 47000, partTime 74767, wholeTime 2205193
line 48000, partTime 108844, wholeTime 2314038
line 49000, partTime 20585, wholeTime 2334623
line 50000, partTime 35155, wholeTime 2369778
line 51000, partTime 10299, wholeTime 2380077
line 52000, partTime 81538, wholeTime 2461616
line 53000, partTime 188223, wholeTime 2649839
line 54000, partTime 31389, wholeTime 2681228
