thisProcessorNumber 97 out of 120
line 1000, partTime 4742, wholeTime 4742
line 2000, partTime 2121, wholeTime 6864
line 3000, partTime 18220, wholeTime 25084
line 4000, partTime 9079, wholeTime 34164
line 5000, partTime 11809, wholeTime 45973
line 6000, partTime 9266, wholeTime 55239
line 7000, partTime 5662, wholeTime 60902
line 8000, partTime 4804, wholeTime 65707
line 9000, partTime 73990, wholeTime 139698
line 10000, partTime 32884, wholeTime 172583
line 11000, partTime 51698, wholeTime 224281
line 12000, partTime 29796, wholeTime 254077
line 13000, partTime 10186, wholeTime 264264
line 14000, partTime 38266, wholeTime 302531
line 15000, partTime 36800, wholeTime 339331
line 16000, partTime 15615, wholeTime 354947
line 17000, partTime 12620, wholeTime 367567
line 18000, partTime 8143, wholeTime 375711
line 19000, partTime 45286, wholeTime 420997
line 20000, partTime 42619, wholeTime 463617
line 21000, partTime 43976, wholeTime 507593
line 22000, partTime 23493, wholeTime 531087
line 23000, partTime 22323, wholeTime 553410
line 24000, partTime 11762, wholeTime 565173
line 25000, partTime 6505, wholeTime 571678
line 26000, partTime 20233, wholeTime 591911
line 27000, partTime 17128, wholeTime 609040
line 28000, partTime 23244, wholeTime 632284
line 29000, partTime 5226, wholeTime 637510
line 30000, partTime 16660, wholeTime 654171
line 31000, partTime 6505, wholeTime 660676
line 32000, partTime 1216, wholeTime 661893
line 33000, partTime 40903, wholeTime 702796
line 34000, partTime 179556, wholeTime 882353
line 35000, partTime 142022, wholeTime 1024375
line 36000, partTime 151023, wholeTime 1175399
line 37000, partTime 78702, wholeTime 1254101
line 38000, partTime 192005, wholeTime 1446106
line 39000, partTime 71713, wholeTime 1517820
line 40000, partTime 61729, wholeTime 1579549
line 41000, partTime 37580, wholeTime 1617130
line 42000, partTime 103225, wholeTime 1720355
line 43000, partTime 159089, wholeTime 1879444
line 44000, partTime 71604, wholeTime 1951048
line 45000, partTime 21824, wholeTime 1972873
line 46000, partTime 24180, wholeTime 1997053
line 47000, partTime 71089, wholeTime 2068142
line 48000, partTime 42728, wholeTime 2110870
line 49000, partTime 14586, wholeTime 2125456
line 50000, partTime 29780, wholeTime 2155237
line 51000, partTime 26520, wholeTime 2181757
line 52000, partTime 142771, wholeTime 2324528
line 53000, partTime 56596, wholeTime 2381125
line 54000, partTime 114691, wholeTime 2495817
line 55000, partTime 174392, wholeTime 2670209
line 56000, partTime 77547, wholeTime 2747757
line 57000, partTime 48032, wholeTime 2795790
line 58000, partTime 88888, wholeTime 2884679
line 59000, partTime 33930, wholeTime 2918609
line 60000, partTime 55068, wholeTime 2973677
line 61000, partTime 18111, wholeTime 2991788
line 62000, partTime 8954, wholeTime 3000743
line 63000, partTime 148496, wholeTime 3149239
line 64000, partTime 49717, wholeTime 3198957
line 65000, partTime 54147, wholeTime 3253104
line 66000, partTime 67891, wholeTime 3320996
line 67000, partTime 16598, wholeTime 3337594
line 68000, partTime 25038, wholeTime 3362632
line 69000, partTime 40528, wholeTime 3403161
line 70000, partTime 5740, wholeTime 3408902
line 71000, partTime 13369, wholeTime 3422271
line 72000, partTime 26598, wholeTime 3448869
line 73000, partTime 5834, wholeTime 3454704
line 74000, partTime 4274, wholeTime 3458978
line 75000, partTime 409422, wholeTime 3868401
line 76000, partTime 67298, wholeTime 3935699
line 77000, partTime 126719, wholeTime 4062418
line 78000, partTime 114239, wholeTime 4176657
line 79000, partTime 45130, wholeTime 4221788
line 80000, partTime 29078, wholeTime 4250867
line 81000, partTime 136235, wholeTime 4387102
line 82000, partTime 33321, wholeTime 4420423
line 83000, partTime 61947, wholeTime 4482371
line 84000, partTime 38188, wholeTime 4520560
line 85000, partTime 27502, wholeTime 4548063
line 86000, partTime 20217, wholeTime 4568280
line 87000, partTime 36597, wholeTime 4604878
line 88000, partTime 76081, wholeTime 4680959
line 89000, partTime 19796, wholeTime 4700756
line 90000, partTime 29484, wholeTime 4730240
line 91000, partTime 43461, wholeTime 4773701
line 92000, partTime 11263, wholeTime 4784965
line 93000, partTime 33493, wholeTime 4818458
line 94000, partTime 49405, wholeTime 4867863
line 95000, partTime 54584, wholeTime 4922448
line 96000, partTime 14929, wholeTime 4937377
line 97000, partTime 15241, wholeTime 4952618
line 98000, partTime 22152, wholeTime 4974770
line 99000, partTime 3962, wholeTime 4978733
line 100000, partTime 9141, wholeTime 4987874
line 101000, partTime 94567, wholeTime 5082442
line 102000, partTime 112522, wholeTime 5194965
line 103000, partTime 29047, wholeTime 5224012
line 104000, partTime 25396, wholeTime 5249409
line 105000, partTime 61230, wholeTime 5310639
line 106000, partTime 4773, wholeTime 5315412
line 107000, partTime 46519, wholeTime 5361932
line 108000, partTime 26956, wholeTime 5388889
line 109000, partTime 58453, wholeTime 5447342
line 110000, partTime 10608, wholeTime 5457950
line 111000, partTime 43960, wholeTime 5501911
line 112000, partTime 7956, wholeTime 5509867
line 113000, partTime 12339, wholeTime 5522206
line 114000, partTime 10140, wholeTime 5532346
line 115000, partTime 8517, wholeTime 5540864
line 116000, partTime 53071, wholeTime 5593935
line 117000, partTime 49015, wholeTime 5642951
line 118000, partTime 16083, wholeTime 5659034
line 119000, partTime 20888, wholeTime 5679923
line 120000, partTime 13384, wholeTime 5693307
line 121000, partTime 11497, wholeTime 5704805
line 122000, partTime 19281, wholeTime 5724086
line 123000, partTime 4742, wholeTime 5728829
line 124000, partTime 34008, wholeTime 5762837
line 125000, partTime 15178, wholeTime 5778016
line 126000, partTime 2043, wholeTime 5780059
line 127000, partTime 5132, wholeTime 5785192
line 128000, partTime 577, wholeTime 5785769
line 129000, partTime 405, wholeTime 5786174
line 130000, partTime 296, wholeTime 5786471
line 131000, partTime 171, wholeTime 5786642
line 131328, partTime 62, wholeTime 5786705
Lines checked 1094
Paths count 16438793
Colors used 8
