thisProcessorNumber 81 out of 120
line 1000, partTime 3734, wholeTime 3734
line 2000, partTime 6250, wholeTime 9984
line 3000, partTime 64593, wholeTime 74578
line 4000, partTime 15062, wholeTime 89640
line 5000, partTime 12843, wholeTime 102484
line 6000, partTime 23250, wholeTime 125734
line 7000, partTime 7484, wholeTime 133218
line 8000, partTime 4625, wholeTime 137843
line 9000, partTime 137640, wholeTime 275484
line 10000, partTime 61109, wholeTime 336593
line 11000, partTime 40765, wholeTime 377359
line 12000, partTime 52531, wholeTime 429890
line 13000, partTime 37984, wholeTime 467875
line 14000, partTime 94437, wholeTime 562312
line 15000, partTime 68562, wholeTime 630875
line 16000, partTime 75515, wholeTime 706390
line 17000, partTime 19765, wholeTime 726156
line 18000, partTime 26609, wholeTime 752765
line 19000, partTime 88890, wholeTime 841656
line 20000, partTime 81312, wholeTime 922968
line 21000, partTime 45640, wholeTime 968609
line 22000, partTime 62156, wholeTime 1030765
line 23000, partTime 32250, wholeTime 1063015
line 24000, partTime 31671, wholeTime 1094687
line 25000, partTime 34343, wholeTime 1129031
line 26000, partTime 85109, wholeTime 1214140
line 27000, partTime 53515, wholeTime 1267656
line 28000, partTime 14765, wholeTime 1282421
line 29000, partTime 36484, wholeTime 1318906
line 30000, partTime 70531, wholeTime 1389437
line 31000, partTime 8640, wholeTime 1398078
line 32000, partTime 2937, wholeTime 1401015
line 33000, partTime 85796, wholeTime 1486812
line 34000, partTime 460968, wholeTime 1947781
line 35000, partTime 330812, wholeTime 2278593
line 36000, partTime 274921, wholeTime 2553515
line 37000, partTime 147171, wholeTime 2700687
line 38000, partTime 306984, wholeTime 3007671
line 39000, partTime 162437, wholeTime 3170109
line 40000, partTime 104828, wholeTime 3274937
line 41000, partTime 84953, wholeTime 3359890
line 42000, partTime 233843, wholeTime 3593734
line 43000, partTime 185515, wholeTime 3779250
line 44000, partTime 239359, wholeTime 4018609
line 45000, partTime 216156, wholeTime 4234765
line 46000, partTime 100140, wholeTime 4334906
line 47000, partTime 260109, wholeTime 4595015
line 48000, partTime 110578, wholeTime 4705593
line 49000, partTime 43453, wholeTime 4749046
line 50000, partTime 86171, wholeTime 4835218
line 51000, partTime 41421, wholeTime 4876640
line 52000, partTime 302109, wholeTime 5178750
line 53000, partTime 172750, wholeTime 5351500
line 54000, partTime 306671, wholeTime 5658171
line 55000, partTime 215015, wholeTime 5873187
line 56000, partTime 46906, wholeTime 5920093
line 57000, partTime 187062, wholeTime 6107156
line 58000, partTime 125171, wholeTime 6232328
line 59000, partTime 90562, wholeTime 6322890
line 60000, partTime 187015, wholeTime 6509906
line 61000, partTime 93828, wholeTime 6603734
line 62000, partTime 48390, wholeTime 6652125
line 63000, partTime 101203, wholeTime 6753328
line 64000, partTime 59296, wholeTime 6812625
line 65000, partTime 171671, wholeTime 6984296
line 66000, partTime 269609, wholeTime 7253906
line 67000, partTime 43968, wholeTime 7297875
line 68000, partTime 13500, wholeTime 7311375
line 69000, partTime 129718, wholeTime 7441093
line 70000, partTime 17953, wholeTime 7459046
line 71000, partTime 47906, wholeTime 7506953
line 72000, partTime 25640, wholeTime 7532593
line 73000, partTime 17609, wholeTime 7550203
line 74000, partTime 10859, wholeTime 7561062
line 75000, partTime 1048765, wholeTime 8609828
line 76000, partTime 134296, wholeTime 8744125
line 77000, partTime 205859, wholeTime 8949984
line 78000, partTime 239656, wholeTime 9189640
line 79000, partTime 161687, wholeTime 9351328
line 80000, partTime 78718, wholeTime 9430046
line 81000, partTime 399093, wholeTime 9829140
line 82000, partTime 83250, wholeTime 9912390
line 83000, partTime 105046, wholeTime 10017437
line 84000, partTime 90687, wholeTime 10108125
line 85000, partTime 32546, wholeTime 10140671
line 86000, partTime 96687, wholeTime 10237359
line 87000, partTime 149187, wholeTime 10386546
line 88000, partTime 232906, wholeTime 10619453
line 89000, partTime 42421, wholeTime 10661875
line 90000, partTime 98812, wholeTime 10760687
line 91000, partTime 126406, wholeTime 10887093
line 92000, partTime 57890, wholeTime 10944984
line 93000, partTime 56015, wholeTime 11001000
line 94000, partTime 169859, wholeTime 11170859
line 95000, partTime 133593, wholeTime 11304453
line 96000, partTime 56750, wholeTime 11361203
line 97000, partTime 21078, wholeTime 11382281
line 98000, partTime 93250, wholeTime 11475531
line 99000, partTime 14093, wholeTime 11489625
line 100000, partTime 18812, wholeTime 11508437
line 101000, partTime 265687, wholeTime 11774125
line 102000, partTime 209687, wholeTime 11983812
line 103000, partTime 77109, wholeTime 12060921
line 104000, partTime 113234, wholeTime 12174156
line 105000, partTime 144031, wholeTime 12318187
line 106000, partTime 41421, wholeTime 12359609
line 107000, partTime 62812, wholeTime 12422421
line 108000, partTime 79312, wholeTime 12501734
line 109000, partTime 176359, wholeTime 12678093
line 110000, partTime 27312, wholeTime 12705406
line 111000, partTime 92796, wholeTime 12798203
line 112000, partTime 14812, wholeTime 12813015
line 113000, partTime 8515, wholeTime 12821531
line 114000, partTime 15546, wholeTime 12837078
line 115000, partTime 10687, wholeTime 12847765
line 116000, partTime 154812, wholeTime 13002578
line 117000, partTime 80656, wholeTime 13083234
line 118000, partTime 22218, wholeTime 13105453
line 119000, partTime 48453, wholeTime 13153906
line 120000, partTime 26546, wholeTime 13180453
line 121000, partTime 47984, wholeTime 13228437
line 122000, partTime 7000, wholeTime 13235437
line 123000, partTime 7890, wholeTime 13243328
line 124000, partTime 69765, wholeTime 13313093
line 125000, partTime 34296, wholeTime 13347390
line 126000, partTime 4125, wholeTime 13351515
line 127000, partTime 11578, wholeTime 13363093
line 128000, partTime 1296, wholeTime 13364390
line 129000, partTime 2234, wholeTime 13366625
line 130000, partTime 781, wholeTime 13367406
line 131000, partTime 406, wholeTime 13367812
line 131328, partTime 140, wholeTime 13367953
Lines checked 1094
Paths count 16051456
Colors used 8
