thisProcessorNumber 94 out of 120
line 1000, partTime 2246, wholeTime 2246
line 2000, partTime 2979, wholeTime 5226
line 3000, partTime 12729, wholeTime 17955
line 4000, partTime 8767, wholeTime 26722
line 5000, partTime 6910, wholeTime 33633
line 6000, partTime 11310, wholeTime 44943
line 7000, partTime 3556, wholeTime 48500
line 8000, partTime 4492, wholeTime 52993
line 9000, partTime 49842, wholeTime 102835
line 10000, partTime 47127, wholeTime 149963
line 11000, partTime 19921, wholeTime 169884
line 12000, partTime 48609, wholeTime 218493
line 13000, partTime 15085, wholeTime 233579
line 14000, partTime 20545, wholeTime 254124
line 15000, partTime 35708, wholeTime 289832
line 16000, partTime 8736, wholeTime 298568
line 17000, partTime 9157, wholeTime 307726
line 18000, partTime 13962, wholeTime 321688
line 19000, partTime 28797, wholeTime 350485
line 20000, partTime 33898, wholeTime 384384
line 21000, partTime 38766, wholeTime 423150
line 22000, partTime 34460, wholeTime 457611
line 23000, partTime 21153, wholeTime 478764
line 24000, partTime 25100, wholeTime 503865
line 25000, partTime 5132, wholeTime 508997
line 26000, partTime 14211, wholeTime 523209
line 27000, partTime 30934, wholeTime 554144
line 28000, partTime 20826, wholeTime 574970
line 29000, partTime 5850, wholeTime 580820
line 30000, partTime 13182, wholeTime 594002
line 31000, partTime 8564, wholeTime 602566
line 32000, partTime 4290, wholeTime 606856
line 33000, partTime 33181, wholeTime 640037
line 34000, partTime 175281, wholeTime 815319
line 35000, partTime 145236, wholeTime 960556
line 36000, partTime 140353, wholeTime 1100909
line 37000, partTime 83163, wholeTime 1184073
line 38000, partTime 137592, wholeTime 1321665
line 39000, partTime 125205, wholeTime 1446871
line 40000, partTime 83725, wholeTime 1530596
line 41000, partTime 27409, wholeTime 1558005
line 42000, partTime 74318, wholeTime 1632324
line 43000, partTime 114566, wholeTime 1746891
line 44000, partTime 81525, wholeTime 1828416
line 45000, partTime 47143, wholeTime 1875560
line 46000, partTime 10467, wholeTime 1886027
line 47000, partTime 56659, wholeTime 1942687
line 48000, partTime 58468, wholeTime 2001155
line 49000, partTime 34460, wholeTime 2035616
line 50000, partTime 35084, wholeTime 2070700
line 51000, partTime 21309, wholeTime 2092010
line 52000, partTime 80028, wholeTime 2172038
line 53000, partTime 101259, wholeTime 2273298
line 54000, partTime 79263, wholeTime 2352562
line 55000, partTime 130197, wholeTime 2482759
line 56000, partTime 53414, wholeTime 2536174
line 57000, partTime 19437, wholeTime 2555612
line 58000, partTime 81244, wholeTime 2636857
line 59000, partTime 24897, wholeTime 2661754
line 60000, partTime 76767, wholeTime 2738522
line 61000, partTime 23930, wholeTime 2762452
line 62000, partTime 13556, wholeTime 2776009
line 63000, partTime 48016, wholeTime 2824026
line 64000, partTime 125315, wholeTime 2949341
line 65000, partTime 45957, wholeTime 2995298
line 66000, partTime 90807, wholeTime 3086106
line 67000, partTime 44179, wholeTime 3130285
line 68000, partTime 16738, wholeTime 3147024
line 69000, partTime 22120, wholeTime 3169145
line 70000, partTime 24944, wholeTime 3194090
line 71000, partTime 16317, wholeTime 3210407
line 72000, partTime 32572, wholeTime 3242980
line 73000, partTime 12277, wholeTime 3255257
line 74000, partTime 6489, wholeTime 3261747
line 75000, partTime 219336, wholeTime 3481083
line 76000, partTime 71229, wholeTime 3552313
line 77000, partTime 99028, wholeTime 3651342
line 78000, partTime 118029, wholeTime 3769372
line 79000, partTime 77750, wholeTime 3847122
line 80000, partTime 22822, wholeTime 3869945
line 81000, partTime 106594, wholeTime 3976540
