thisProcessorNumber 86 out of 120
line 1000, partTime 2402, wholeTime 2402
line 2000, partTime 3775, wholeTime 6177
line 3000, partTime 14648, wholeTime 20826
line 4000, partTime 7690, wholeTime 28516
line 5000, partTime 5834, wholeTime 34351
line 6000, partTime 12480, wholeTime 46831
line 7000, partTime 2808, wholeTime 49639
line 8000, partTime 2277, wholeTime 51916
line 9000, partTime 50419, wholeTime 102336
line 10000, partTime 44912, wholeTime 147248
line 11000, partTime 20607, wholeTime 167856
line 12000, partTime 52899, wholeTime 220755
line 13000, partTime 15553, wholeTime 236309
line 14000, partTime 24897, wholeTime 261206
line 15000, partTime 47907, wholeTime 309114
line 16000, partTime 9625, wholeTime 318739
line 17000, partTime 12043, wholeTime 330782
line 18000, partTime 12402, wholeTime 343185
line 19000, partTime 28828, wholeTime 372013
line 20000, partTime 44803, wholeTime 416817
line 21000, partTime 47002, wholeTime 463820
line 22000, partTime 14008, wholeTime 477828
line 23000, partTime 28844, wholeTime 506673
line 24000, partTime 20420, wholeTime 527093
line 25000, partTime 5569, wholeTime 532662
line 26000, partTime 20732, wholeTime 553395
line 27000, partTime 23259, wholeTime 576655
line 28000, partTime 20311, wholeTime 596966
line 29000, partTime 8392, wholeTime 605359
line 30000, partTime 12402, wholeTime 617761
line 31000, partTime 7394, wholeTime 625155
line 32000, partTime 4274, wholeTime 629429
line 33000, partTime 37533, wholeTime 666963
line 34000, partTime 149838, wholeTime 816801
line 35000, partTime 188760, wholeTime 1005562
line 36000, partTime 137951, wholeTime 1143513
line 37000, partTime 105736, wholeTime 1249250
line 38000, partTime 65629, wholeTime 1314879
line 39000, partTime 102289, wholeTime 1417168
line 40000, partTime 105487, wholeTime 1522656
line 41000, partTime 46846, wholeTime 1569503
line 42000, partTime 59420, wholeTime 1628923
line 43000, partTime 141679, wholeTime 1770603
line 44000, partTime 99933, wholeTime 1870536
line 45000, partTime 71510, wholeTime 1942047
line 46000, partTime 48438, wholeTime 1990485
line 47000, partTime 59202, wholeTime 2049687
line 48000, partTime 49561, wholeTime 2099248
line 49000, partTime 25084, wholeTime 2124333
line 50000, partTime 26239, wholeTime 2150572
line 51000, partTime 16816, wholeTime 2167389
line 52000, partTime 66783, wholeTime 2234173
line 53000, partTime 122288, wholeTime 2356462
line 54000, partTime 65410, wholeTime 2421873
line 55000, partTime 126017, wholeTime 2547890
line 56000, partTime 44959, wholeTime 2592849
line 57000, partTime 39998, wholeTime 2632847
line 58000, partTime 75082, wholeTime 2707930
line 59000, partTime 32463, wholeTime 2740394
line 60000, partTime 70730, wholeTime 2811124
