thisProcessorNumber 82 out of 120
line 1000, partTime 7171, wholeTime 7171
line 2000, partTime 6468, wholeTime 13640
line 3000, partTime 42375, wholeTime 56015
line 4000, partTime 16281, wholeTime 72296
line 5000, partTime 11750, wholeTime 84046
line 6000, partTime 35343, wholeTime 119390
line 7000, partTime 7718, wholeTime 127109
line 8000, partTime 3562, wholeTime 130671
line 9000, partTime 133125, wholeTime 263796
line 10000, partTime 48046, wholeTime 311843
line 11000, partTime 59500, wholeTime 371343
line 12000, partTime 91031, wholeTime 462375
line 13000, partTime 37515, wholeTime 499890
line 14000, partTime 97343, wholeTime 597234
line 15000, partTime 87546, wholeTime 684781
line 16000, partTime 60875, wholeTime 745656
line 17000, partTime 35640, wholeTime 781296
line 18000, partTime 19890, wholeTime 801187
line 19000, partTime 80140, wholeTime 881328
line 20000, partTime 102890, wholeTime 984218
line 21000, partTime 59593, wholeTime 1043812
line 22000, partTime 58609, wholeTime 1102421
line 23000, partTime 40203, wholeTime 1142625
line 24000, partTime 19312, wholeTime 1161937
line 25000, partTime 14031, wholeTime 1175968
line 26000, partTime 62343, wholeTime 1238312
line 27000, partTime 46375, wholeTime 1284687
line 28000, partTime 23781, wholeTime 1308468
line 29000, partTime 23421, wholeTime 1331890
line 30000, partTime 58890, wholeTime 1390781
line 31000, partTime 12656, wholeTime 1403437
line 32000, partTime 5640, wholeTime 1409078
line 33000, partTime 84375, wholeTime 1493453
line 34000, partTime 373578, wholeTime 1867031
line 35000, partTime 491984, wholeTime 2359015
line 36000, partTime 334140, wholeTime 2693156
line 37000, partTime 114156, wholeTime 2807312
line 38000, partTime 196718, wholeTime 3004031
line 39000, partTime 252218, wholeTime 3256250
line 40000, partTime 89218, wholeTime 3345468
line 41000, partTime 95703, wholeTime 3441171
line 42000, partTime 214968, wholeTime 3656140
line 43000, partTime 349203, wholeTime 4005343
line 44000, partTime 189203, wholeTime 4194546
line 45000, partTime 171062, wholeTime 4365609
line 46000, partTime 83015, wholeTime 4448625
line 47000, partTime 217953, wholeTime 4666578
line 48000, partTime 172312, wholeTime 4838890
line 49000, partTime 25531, wholeTime 4864421
line 50000, partTime 56484, wholeTime 4920906
line 51000, partTime 29750, wholeTime 4950656
line 52000, partTime 214609, wholeTime 5165265
line 53000, partTime 323437, wholeTime 5488703
line 54000, partTime 126218, wholeTime 5614921
line 55000, partTime 106140, wholeTime 5721062
line 56000, partTime 65015, wholeTime 5786078
line 57000, partTime 179687, wholeTime 5965765
line 58000, partTime 164953, wholeTime 6130718
line 59000, partTime 134828, wholeTime 6265546
line 60000, partTime 161546, wholeTime 6427093
