thisProcessorNumber 98 out of 120
line 1000, partTime 3662, wholeTime 3662
line 2000, partTime 1666, wholeTime 5328
line 3000, partTime 14778, wholeTime 20107
line 4000, partTime 6872, wholeTime 26980
line 5000, partTime 5744, wholeTime 32725
line 6000, partTime 13253, wholeTime 45978
line 7000, partTime 3893, wholeTime 49872
line 8000, partTime 4062, wholeTime 53934
line 9000, partTime 67521, wholeTime 121455
line 10000, partTime 21007, wholeTime 142463
line 11000, partTime 39147, wholeTime 181610
line 12000, partTime 37636, wholeTime 219246
line 13000, partTime 13222, wholeTime 232468
line 14000, partTime 21536, wholeTime 254005
line 15000, partTime 23708, wholeTime 277713
line 16000, partTime 13931, wholeTime 291645
line 17000, partTime 13292, wholeTime 304937
line 18000, partTime 6853, wholeTime 311790
line 19000, partTime 38019, wholeTime 349809
line 20000, partTime 42718, wholeTime 392527
line 21000, partTime 31859, wholeTime 424387
line 22000, partTime 24955, wholeTime 449342
line 23000, partTime 24455, wholeTime 473797
line 24000, partTime 8879, wholeTime 482676
line 25000, partTime 7631, wholeTime 490307
line 26000, partTime 18650, wholeTime 508957
line 27000, partTime 18695, wholeTime 527652
line 28000, partTime 16200, wholeTime 543853
line 29000, partTime 5143, wholeTime 548996
line 30000, partTime 15349, wholeTime 564345
line 31000, partTime 5477, wholeTime 569822
line 32000, partTime 1274, wholeTime 571097
line 33000, partTime 40430, wholeTime 611527
line 34000, partTime 157769, wholeTime 769297
line 35000, partTime 96443, wholeTime 865740
line 36000, partTime 127289, wholeTime 993030
line 37000, partTime 58739, wholeTime 1051770
line 38000, partTime 154513, wholeTime 1206283
line 39000, partTime 101791, wholeTime 1308074
line 40000, partTime 32911, wholeTime 1340985
line 41000, partTime 21449, wholeTime 1362435
line 42000, partTime 81711, wholeTime 1444146
line 43000, partTime 148943, wholeTime 1593090
line 44000, partTime 92842, wholeTime 1685932
line 45000, partTime 31119, wholeTime 1717052
line 46000, partTime 15246, wholeTime 1732298
line 47000, partTime 45101, wholeTime 1777400
line 48000, partTime 52566, wholeTime 1829966
line 49000, partTime 12757, wholeTime 1842723
line 50000, partTime 13417, wholeTime 1856140
line 51000, partTime 34400, wholeTime 1890540
line 52000, partTime 114303, wholeTime 2004844
line 53000, partTime 70761, wholeTime 2075606
line 54000, partTime 58293, wholeTime 2133899
line 55000, partTime 131381, wholeTime 2265281
line 56000, partTime 31583, wholeTime 2296864
line 57000, partTime 48869, wholeTime 2345733
line 58000, partTime 56861, wholeTime 2402595
line 59000, partTime 42273, wholeTime 2444868
line 60000, partTime 42408, wholeTime 2487276
line 61000, partTime 22169, wholeTime 2509445
line 62000, partTime 7883, wholeTime 2517328
line 63000, partTime 101059, wholeTime 2618388
line 64000, partTime 114652, wholeTime 2733040
line 65000, partTime 23131, wholeTime 2756171
