thisProcessorNumber 95 out of 120
line 1000, partTime 3042, wholeTime 3042
line 2000, partTime 3510, wholeTime 6552
line 3000, partTime 21387, wholeTime 27939
line 4000, partTime 9360, wholeTime 37299
line 5000, partTime 11668, wholeTime 48968
line 6000, partTime 11154, wholeTime 60122
line 7000, partTime 4633, wholeTime 64755
line 8000, partTime 4321, wholeTime 69076
line 9000, partTime 69420, wholeTime 138497
line 10000, partTime 41620, wholeTime 180117
line 11000, partTime 28735, wholeTime 208853
line 12000, partTime 33462, wholeTime 242315
line 13000, partTime 9001, wholeTime 251316
line 14000, partTime 42400, wholeTime 293717
line 15000, partTime 49420, wholeTime 343138
line 16000, partTime 7909, wholeTime 351047
line 17000, partTime 10186, wholeTime 361234
line 18000, partTime 10779, wholeTime 372013
line 19000, partTime 28282, wholeTime 400296
line 20000, partTime 53352, wholeTime 453648
line 21000, partTime 50029, wholeTime 503678
line 22000, partTime 19266, wholeTime 522944
line 23000, partTime 29265, wholeTime 552209
line 24000, partTime 13587, wholeTime 565797
line 25000, partTime 5725, wholeTime 571522
line 26000, partTime 11559, wholeTime 583082
line 27000, partTime 23805, wholeTime 606887
line 28000, partTime 27066, wholeTime 633953
line 29000, partTime 3135, wholeTime 637089
line 30000, partTime 15178, wholeTime 652268
line 31000, partTime 5257, wholeTime 657525
line 32000, partTime 4102, wholeTime 661628
line 33000, partTime 21699, wholeTime 683328
line 34000, partTime 225373, wholeTime 908701
line 35000, partTime 202207, wholeTime 1110909
line 36000, partTime 230084, wholeTime 1340993
line 37000, partTime 66409, wholeTime 1407403
line 38000, partTime 169151, wholeTime 1576554
line 39000, partTime 89778, wholeTime 1666332
line 40000, partTime 63242, wholeTime 1729575
line 41000, partTime 47299, wholeTime 1776874
line 42000, partTime 62727, wholeTime 1839602
line 43000, partTime 162614, wholeTime 2002216
line 44000, partTime 87968, wholeTime 2090185
line 45000, partTime 32978, wholeTime 2123163
line 46000, partTime 19858, wholeTime 2143022
line 47000, partTime 46098, wholeTime 2189120
line 48000, partTime 76268, wholeTime 2265389
line 49000, partTime 14554, wholeTime 2279944
line 50000, partTime 39530, wholeTime 2319474
line 51000, partTime 22448, wholeTime 2341922
line 52000, partTime 95518, wholeTime 2437441
line 53000, partTime 158246, wholeTime 2595688
line 54000, partTime 128981, wholeTime 2724669
line 55000, partTime 183721, wholeTime 2908391
line 56000, partTime 87032, wholeTime 2995423
line 57000, partTime 10545, wholeTime 3005969
line 58000, partTime 141336, wholeTime 3147305
line 59000, partTime 42634, wholeTime 3189940
line 60000, partTime 55504, wholeTime 3245445
line 61000, partTime 37627, wholeTime 3283072
line 62000, partTime 12745, wholeTime 3295817
line 63000, partTime 83350, wholeTime 3379168
line 64000, partTime 107140, wholeTime 3486309
line 65000, partTime 51542, wholeTime 3537852
line 66000, partTime 92742, wholeTime 3630594
line 67000, partTime 24117, wholeTime 3654712
line 68000, partTime 7909, wholeTime 3662621
line 69000, partTime 27830, wholeTime 3690451
line 70000, partTime 17596, wholeTime 3708048
line 71000, partTime 13821, wholeTime 3721870
line 72000, partTime 31262, wholeTime 3753132
line 73000, partTime 8065, wholeTime 3761197
line 74000, partTime 4118, wholeTime 3765316
line 75000, partTime 275543, wholeTime 4040859
line 76000, partTime 87890, wholeTime 4128750
line 77000, partTime 128856, wholeTime 4257606
line 78000, partTime 121461, wholeTime 4379068
line 79000, partTime 73694, wholeTime 4452762
line 80000, partTime 22432, wholeTime 4475195
line 81000, partTime 88592, wholeTime 4563788
line 82000, partTime 76518, wholeTime 4640306
line 83000, partTime 67688, wholeTime 4707994
line 84000, partTime 38235, wholeTime 4746230
line 85000, partTime 53071, wholeTime 4799301
line 86000, partTime 30045, wholeTime 4829347
line 87000, partTime 16879, wholeTime 4846226
line 88000, partTime 61885, wholeTime 4908111
line 89000, partTime 27112, wholeTime 4935224
line 90000, partTime 32276, wholeTime 4967501
line 91000, partTime 43695, wholeTime 5011196
line 92000, partTime 36550, wholeTime 5047747
line 93000, partTime 21559, wholeTime 5069306
line 94000, partTime 21762, wholeTime 5091068
line 95000, partTime 48890, wholeTime 5139959
line 96000, partTime 15506, wholeTime 5155465
line 97000, partTime 17378, wholeTime 5172844
line 98000, partTime 22432, wholeTime 5195277
line 99000, partTime 22916, wholeTime 5218193
line 100000, partTime 7176, wholeTime 5225369
line 101000, partTime 29686, wholeTime 5255056
line 102000, partTime 109933, wholeTime 5364989
line 103000, partTime 54787, wholeTime 5419777
line 104000, partTime 29484, wholeTime 5449261
line 105000, partTime 61448, wholeTime 5510709
line 106000, partTime 20560, wholeTime 5531270
line 107000, partTime 59654, wholeTime 5590925
line 108000, partTime 5428, wholeTime 5596353
line 109000, partTime 26707, wholeTime 5623061
line 110000, partTime 12558, wholeTime 5635619
line 111000, partTime 53258, wholeTime 5688877
line 112000, partTime 8096, wholeTime 5696974
line 113000, partTime 10904, wholeTime 5707878
line 114000, partTime 17877, wholeTime 5725756
line 115000, partTime 6520, wholeTime 5732276
line 116000, partTime 21106, wholeTime 5753383
line 117000, partTime 49545, wholeTime 5802929
line 118000, partTime 29234, wholeTime 5832163
line 119000, partTime 12916, wholeTime 5845080
line 120000, partTime 13696, wholeTime 5858777
line 121000, partTime 31309, wholeTime 5890086
line 122000, partTime 23727, wholeTime 5913814
line 123000, partTime 1591, wholeTime 5915405
line 124000, partTime 8767, wholeTime 5924172
line 125000, partTime 14102, wholeTime 5938275
line 126000, partTime 7207, wholeTime 5945482
line 127000, partTime 5959, wholeTime 5951441
line 128000, partTime 858, wholeTime 5952299
line 129000, partTime 6021, wholeTime 5958321
line 130000, partTime 343, wholeTime 5958664
line 131000, partTime 156, wholeTime 5958820
line 131328, partTime 93, wholeTime 5958914
Lines checked 1094
Paths count 18104830
Colors used 8
