thisProcessorNumber 3 out of 120
line 1000, partTime 7519, wholeTime 7519
line 2000, partTime 7872, wholeTime 15391
line 3000, partTime 30299, wholeTime 45691
line 4000, partTime 41075, wholeTime 86767
line 5000, partTime 44148, wholeTime 130915
line 6000, partTime 13086, wholeTime 144001
line 7000, partTime 23184, wholeTime 167185
line 8000, partTime 4124, wholeTime 171309
line 9000, partTime 78474, wholeTime 249784
line 10000, partTime 86870, wholeTime 336654
line 11000, partTime 160102, wholeTime 496757
line 12000, partTime 122877, wholeTime 619635
line 13000, partTime 103621, wholeTime 723256
line 14000, partTime 115314, wholeTime 838571
line 15000, partTime 47910, wholeTime 886481
line 16000, partTime 48800, wholeTime 935282
line 17000, partTime 52300, wholeTime 987582
line 18000, partTime 35375, wholeTime 1022958
line 19000, partTime 77110, wholeTime 1100069
line 20000, partTime 159065, wholeTime 1259134
line 21000, partTime 53014, wholeTime 1312148
line 22000, partTime 48363, wholeTime 1360512
line 23000, partTime 141029, wholeTime 1501541
line 24000, partTime 24149, wholeTime 1525691
line 25000, partTime 41016, wholeTime 1566707
line 26000, partTime 116211, wholeTime 1682919
line 27000, partTime 48098, wholeTime 1731017
line 28000, partTime 27868, wholeTime 1758885
line 29000, partTime 3999, wholeTime 1762884
line 30000, partTime 12731, wholeTime 1775616
line 31000, partTime 14777, wholeTime 1790393
line 32000, partTime 11231, wholeTime 1801625
line 33000, partTime 2311, wholeTime 1803937
line 34000, partTime 988669, wholeTime 2792607
line 35000, partTime 311362, wholeTime 3103969
line 36000, partTime 332484, wholeTime 3436453
line 37000, partTime 301460, wholeTime 3737914
line 38000, partTime 635475, wholeTime 4373389
line 39000, partTime 217035, wholeTime 4590425
line 40000, partTime 222151, wholeTime 4812577
line 41000, partTime 136862, wholeTime 4949439
line 42000, partTime 327920, wholeTime 5277360
line 43000, partTime 357938, wholeTime 5635299
line 44000, partTime 105874, wholeTime 5741174
line 45000, partTime 165619, wholeTime 5906793
line 46000, partTime 157146, wholeTime 6063940
line 47000, partTime 244763, wholeTime 6308704
line 48000, partTime 282505, wholeTime 6591209
line 49000, partTime 93486, wholeTime 6684696
line 50000, partTime 31934, wholeTime 6716631
line 51000, partTime 25619, wholeTime 6742250
line 52000, partTime 467679, wholeTime 7209930
line 53000, partTime 560916, wholeTime 7770846
line 54000, partTime 91181, wholeTime 7862028
line 55000, partTime 284104, wholeTime 8146133
line 56000, partTime 178457, wholeTime 8324591
line 57000, partTime 222619, wholeTime 8547210
line 58000, partTime 312645, wholeTime 8859855
line 59000, partTime 69811, wholeTime 8929667
line 60000, partTime 58453, wholeTime 8988120
line 61000, partTime 59733, wholeTime 9047854
line 62000, partTime 28290, wholeTime 9076144
line 63000, partTime 326030, wholeTime 9402174
line 64000, partTime 252627, wholeTime 9654802
line 65000, partTime 55236, wholeTime 9710039
line 66000, partTime 34601, wholeTime 9744640
line 67000, partTime 74810, wholeTime 9819451
line 68000, partTime 44005, wholeTime 9863456
line 69000, partTime 214423, wholeTime 10077879
line 70000, partTime 67372, wholeTime 10145251
line 71000, partTime 23650, wholeTime 10168902
line 72000, partTime 26587, wholeTime 10195489
line 73000, partTime 17442, wholeTime 10212932
line 74000, partTime 14735, wholeTime 10227668
line 75000, partTime 759602, wholeTime 10987270
line 76000, partTime 578350, wholeTime 11565620
line 77000, partTime 128594, wholeTime 11694215
line 78000, partTime 276950, wholeTime 11971165
line 79000, partTime 224290, wholeTime 12195456
line 80000, partTime 183399, wholeTime 12378855
line 81000, partTime 412853, wholeTime 12791709
line 82000, partTime 272339, wholeTime 13064049
line 83000, partTime 179470, wholeTime 13243519
line 84000, partTime 93638, wholeTime 13337158
line 85000, partTime 91384, wholeTime 13428543
line 86000, partTime 38787, wholeTime 13467330
line 87000, partTime 117175, wholeTime 13584506
line 88000, partTime 697791, wholeTime 14282297
line 89000, partTime 284263, wholeTime 14566560
line 90000, partTime 96548, wholeTime 14663109
line 91000, partTime 177208, wholeTime 14840317
line 92000, partTime 53956, wholeTime 14894273
line 93000, partTime 51537, wholeTime 14945811
line 94000, partTime 86390, wholeTime 15032201
line 95000, partTime 71373, wholeTime 15103575
line 96000, partTime 118253, wholeTime 15221828
line 97000, partTime 27321, wholeTime 15249150
line 98000, partTime 24088, wholeTime 15273238
line 99000, partTime 61329, wholeTime 15334567
line 100000, partTime 10684, wholeTime 15345252
line 101000, partTime 129063, wholeTime 15474315
line 102000, partTime 526121, wholeTime 16000437
line 103000, partTime 130713, wholeTime 16131150
line 104000, partTime 59985, wholeTime 16191136
line 105000, partTime 80773, wholeTime 16271909
line 106000, partTime 58759, wholeTime 16330669
line 107000, partTime 44787, wholeTime 16375456
line 108000, partTime 19667, wholeTime 16395124
line 109000, partTime 96673, wholeTime 16491798
line 110000, partTime 64302, wholeTime 16556100
line 111000, partTime 43386, wholeTime 16599486
line 112000, partTime 13246, wholeTime 16612733
line 113000, partTime 15905, wholeTime 16628639
line 114000, partTime 3288, wholeTime 16631927
line 115000, partTime 343, wholeTime 16632271
line 116000, partTime 13512, wholeTime 16645783
line 117000, partTime 43986, wholeTime 16689770
line 118000, partTime 25156, wholeTime 16714926
line 119000, partTime 7475, wholeTime 16722402
line 120000, partTime 16543, wholeTime 16738945
line 121000, partTime 12620, wholeTime 16751566
line 122000, partTime 8630, wholeTime 16760196
line 123000, partTime 7522, wholeTime 16767719
line 124000, partTime 11519, wholeTime 16779239
line 125000, partTime 23655, wholeTime 16802895
line 126000, partTime 15309, wholeTime 16818204
line 127000, partTime 343, wholeTime 16818548
line 128000, partTime 390, wholeTime 16818939
line 129000, partTime 374, wholeTime 16819313
line 130000, partTime 374, wholeTime 16819688
line 131000, partTime 296, wholeTime 16819985
line 131328, partTime 78, wholeTime 16820063
Lines checked 1094
Paths count 17531806
Colors used 8
