thisProcessorNumber 7 out of 120
line 1000, partTime 2957, wholeTime 2957
line 2000, partTime 2280, wholeTime 5237
line 3000, partTime 22278, wholeTime 27515
line 4000, partTime 29542, wholeTime 57057
line 5000, partTime 45536, wholeTime 102593
line 6000, partTime 40305, wholeTime 142899
line 7000, partTime 21541, wholeTime 164440
line 8000, partTime 8643, wholeTime 173084
line 9000, partTime 30698, wholeTime 203782
line 10000, partTime 236776, wholeTime 440558
line 11000, partTime 125923, wholeTime 566482
line 12000, partTime 89010, wholeTime 655492
line 13000, partTime 66224, wholeTime 721716
line 14000, partTime 99318, wholeTime 821034
line 15000, partTime 71264, wholeTime 892299
line 16000, partTime 76731, wholeTime 969031
line 17000, partTime 57876, wholeTime 1026908
line 18000, partTime 28149, wholeTime 1055057
line 19000, partTime 77151, wholeTime 1132208
line 20000, partTime 104901, wholeTime 1237110
line 21000, partTime 96690, wholeTime 1333801
line 22000, partTime 60615, wholeTime 1394417
line 23000, partTime 91572, wholeTime 1485989
line 24000, partTime 33382, wholeTime 1519372
line 25000, partTime 19916, wholeTime 1539288
line 26000, partTime 72607, wholeTime 1611895
line 27000, partTime 60282, wholeTime 1672178
line 28000, partTime 41552, wholeTime 1713731
line 29000, partTime 5420, wholeTime 1719151
line 30000, partTime 7732, wholeTime 1726884
line 31000, partTime 12684, wholeTime 1739568
line 32000, partTime 15480, wholeTime 1755049
line 33000, partTime 2265, wholeTime 1757314
line 34000, partTime 832907, wholeTime 2590222
line 35000, partTime 407196, wholeTime 2997418
line 36000, partTime 426997, wholeTime 3424416
line 37000, partTime 271905, wholeTime 3696321
line 38000, partTime 537920, wholeTime 4234241
line 39000, partTime 242114, wholeTime 4476356
line 40000, partTime 223387, wholeTime 4699743
line 41000, partTime 140708, wholeTime 4840452
line 42000, partTime 215781, wholeTime 5056233
line 43000, partTime 211006, wholeTime 5267240
line 44000, partTime 244893, wholeTime 5512134
line 45000, partTime 252931, wholeTime 5765065
line 46000, partTime 128925, wholeTime 5893990
line 47000, partTime 219788, wholeTime 6113779
line 48000, partTime 201086, wholeTime 6314865
line 49000, partTime 81733, wholeTime 6396598
line 50000, partTime 181903, wholeTime 6578502
line 51000, partTime 23175, wholeTime 6601677
line 52000, partTime 320880, wholeTime 6922558
line 53000, partTime 303125, wholeTime 7225683
line 54000, partTime 229258, wholeTime 7454942
line 55000, partTime 386488, wholeTime 7841430
line 56000, partTime 280808, wholeTime 8122239
line 57000, partTime 147762, wholeTime 8270001
line 58000, partTime 273091, wholeTime 8543093
line 59000, partTime 124095, wholeTime 8667189
line 60000, partTime 84636, wholeTime 8751825
line 61000, partTime 98726, wholeTime 8850552
line 62000, partTime 34320, wholeTime 8884872
line 63000, partTime 239861, wholeTime 9124733
line 64000, partTime 207165, wholeTime 9331898
line 65000, partTime 83170, wholeTime 9415068
line 66000, partTime 107646, wholeTime 9522715
line 67000, partTime 84183, wholeTime 9606898
line 68000, partTime 31726, wholeTime 9638625
line 69000, partTime 231179, wholeTime 9869805
line 70000, partTime 28508, wholeTime 9898314
line 71000, partTime 39167, wholeTime 9937481
line 72000, partTime 79660, wholeTime 10017141
line 73000, partTime 20800, wholeTime 10037942
line 74000, partTime 10403, wholeTime 10048346
line 75000, partTime 602498, wholeTime 10650845
line 76000, partTime 454328, wholeTime 11105173
line 77000, partTime 384315, wholeTime 11489489
line 78000, partTime 415480, wholeTime 11904969
line 79000, partTime 209466, wholeTime 12114435
line 80000, partTime 94618, wholeTime 12209054
line 81000, partTime 280275, wholeTime 12489329
line 82000, partTime 126847, wholeTime 12616177
line 83000, partTime 216966, wholeTime 12833144
line 84000, partTime 90975, wholeTime 12924120
line 85000, partTime 221663, wholeTime 13145784
line 86000, partTime 48948, wholeTime 13194732
line 87000, partTime 81707, wholeTime 13276440
line 88000, partTime 525614, wholeTime 13802055
line 89000, partTime 178348, wholeTime 13980404
line 90000, partTime 178520, wholeTime 14158924
line 91000, partTime 277533, wholeTime 14436457
line 92000, partTime 57752, wholeTime 14494209
line 93000, partTime 41865, wholeTime 14536074
line 94000, partTime 53096, wholeTime 14589171
line 95000, partTime 92018, wholeTime 14681190
line 96000, partTime 83167, wholeTime 14764357
line 97000, partTime 47035, wholeTime 14811393
line 98000, partTime 24587, wholeTime 14835981
line 99000, partTime 34913, wholeTime 14870895
line 100000, partTime 5451, wholeTime 14876347
line 101000, partTime 77147, wholeTime 14953494
line 102000, partTime 487570, wholeTime 15441064
line 103000, partTime 121908, wholeTime 15562973
line 104000, partTime 107802, wholeTime 15670776
line 105000, partTime 96461, wholeTime 15767237
line 106000, partTime 110221, wholeTime 15877459
line 107000, partTime 83098, wholeTime 15960558
line 108000, partTime 11408, wholeTime 15971966
line 109000, partTime 152473, wholeTime 16124440
line 110000, partTime 123955, wholeTime 16248395
line 111000, partTime 41863, wholeTime 16290258
line 112000, partTime 30073, wholeTime 16320332
line 113000, partTime 46000, wholeTime 16366332
line 114000, partTime 4492, wholeTime 16370825
line 115000, partTime 453, wholeTime 16371278
line 116000, partTime 15410, wholeTime 16386688
line 117000, partTime 29343, wholeTime 16416032
line 118000, partTime 25605, wholeTime 16441637
line 119000, partTime 23897, wholeTime 16465534
line 120000, partTime 20905, wholeTime 16486440
line 121000, partTime 43430, wholeTime 16529870
line 122000, partTime 22028, wholeTime 16551899
line 123000, partTime 10417, wholeTime 16562316
line 124000, partTime 10249, wholeTime 16572566
line 125000, partTime 21210, wholeTime 16593776
line 126000, partTime 14059, wholeTime 16607835
line 127000, partTime 14340, wholeTime 16622175
line 128000, partTime 1421, wholeTime 16623597
line 129000, partTime 10841, wholeTime 16634438
line 130000, partTime 468, wholeTime 16634907
line 131000, partTime 421, wholeTime 16635328
line 131328, partTime 124, wholeTime 16635453
Lines checked 1094
Paths count 18761618
Colors used 8
