thisProcessorNumber 1 out of 120
line 1000, partTime 9809, wholeTime 9809
line 2000, partTime 7073, wholeTime 16883
line 3000, partTime 17672, wholeTime 34555
line 4000, partTime 57896, wholeTime 92452
line 5000, partTime 53125, wholeTime 145578
line 6000, partTime 14791, wholeTime 160369
line 7000, partTime 26534, wholeTime 186903
line 8000, partTime 4467, wholeTime 191371
line 9000, partTime 41505, wholeTime 232876
line 10000, partTime 109099, wholeTime 341976
line 11000, partTime 142856, wholeTime 484833
line 12000, partTime 109942, wholeTime 594776
line 13000, partTime 98658, wholeTime 693434
line 14000, partTime 86832, wholeTime 780266
line 15000, partTime 53331, wholeTime 833597
line 16000, partTime 90994, wholeTime 924592
line 17000, partTime 33695, wholeTime 958287
line 18000, partTime 30211, wholeTime 988498
line 19000, partTime 82290, wholeTime 1070789
line 20000, partTime 110978, wholeTime 1181767
line 21000, partTime 51753, wholeTime 1233521
line 22000, partTime 79840, wholeTime 1313361
line 23000, partTime 98273, wholeTime 1411635
line 24000, partTime 34366, wholeTime 1446002
line 25000, partTime 24744, wholeTime 1470746
line 26000, partTime 78658, wholeTime 1549405
line 27000, partTime 46281, wholeTime 1595686
line 28000, partTime 25014, wholeTime 1620700
line 29000, partTime 8252, wholeTime 1628953
line 30000, partTime 18625, wholeTime 1647578
line 31000, partTime 20338, wholeTime 1667917
line 32000, partTime 8685, wholeTime 1676602
line 33000, partTime 7060, wholeTime 1683663
line 34000, partTime 777092, wholeTime 2460756
line 35000, partTime 418302, wholeTime 2879059
line 36000, partTime 264457, wholeTime 3143517
line 37000, partTime 302194, wholeTime 3445711
line 38000, partTime 761102, wholeTime 4206813
line 39000, partTime 283776, wholeTime 4490590
line 40000, partTime 281673, wholeTime 4772264
line 41000, partTime 77849, wholeTime 4850113
line 42000, partTime 477682, wholeTime 5327796
line 43000, partTime 331855, wholeTime 5659652
line 44000, partTime 244871, wholeTime 5904523
line 45000, partTime 287006, wholeTime 6191529
line 46000, partTime 64228, wholeTime 6255758
line 47000, partTime 386438, wholeTime 6642196
line 48000, partTime 60619, wholeTime 6702816
line 49000, partTime 153636, wholeTime 6856452
line 50000, partTime 64234, wholeTime 6920687
line 51000, partTime 30680, wholeTime 6951367
line 52000, partTime 613051, wholeTime 7564419
line 53000, partTime 199563, wholeTime 7763983
line 54000, partTime 173490, wholeTime 7937474
line 55000, partTime 359852, wholeTime 8297326
line 56000, partTime 162477, wholeTime 8459803
line 57000, partTime 306693, wholeTime 8766497
line 58000, partTime 309329, wholeTime 9075826
line 59000, partTime 131953, wholeTime 9207779
line 60000, partTime 76554, wholeTime 9284334
line 61000, partTime 49447, wholeTime 9333781
line 62000, partTime 34692, wholeTime 9368473
line 63000, partTime 552472, wholeTime 9920946
line 64000, partTime 118780, wholeTime 10039726
line 65000, partTime 116313, wholeTime 10156040
line 66000, partTime 67888, wholeTime 10223929
line 67000, partTime 83953, wholeTime 10307882
line 68000, partTime 68515, wholeTime 10376397
line 69000, partTime 290275, wholeTime 10666672
line 70000, partTime 31180, wholeTime 10697853
line 71000, partTime 42505, wholeTime 10740358
line 72000, partTime 33695, wholeTime 10774053
line 73000, partTime 14954, wholeTime 10789007
line 74000, partTime 15953, wholeTime 10804961
line 75000, partTime 990927, wholeTime 11795889
line 76000, partTime 214933, wholeTime 12010822
line 77000, partTime 252777, wholeTime 12263600
line 78000, partTime 328898, wholeTime 12592498
line 79000, partTime 172633, wholeTime 12765132
line 80000, partTime 113622, wholeTime 12878754
line 81000, partTime 547705, wholeTime 13426459
line 82000, partTime 151433, wholeTime 13577892
line 83000, partTime 163367, wholeTime 13741260
line 84000, partTime 145356, wholeTime 13886617
line 85000, partTime 120143, wholeTime 14006760
line 86000, partTime 17870, wholeTime 14024631
line 87000, partTime 186558, wholeTime 14211190
line 88000, partTime 770470, wholeTime 14981660
line 89000, partTime 101366, wholeTime 15083027
line 90000, partTime 191204, wholeTime 15274232
line 91000, partTime 247769, wholeTime 15522002
line 92000, partTime 13996, wholeTime 15535998
line 93000, partTime 63188, wholeTime 15599187
line 94000, partTime 190783, wholeTime 15789970
line 95000, partTime 98057, wholeTime 15888027
line 96000, partTime 23905, wholeTime 15911932
line 97000, partTime 64957, wholeTime 15976890
line 98000, partTime 36132, wholeTime 16013022
line 99000, partTime 14371, wholeTime 16027394
line 100000, partTime 10622, wholeTime 16038016
line 101000, partTime 210449, wholeTime 16248466
line 102000, partTime 174123, wholeTime 16422589
line 103000, partTime 50847, wholeTime 16473437
line 104000, partTime 75331, wholeTime 16548768
line 105000, partTime 83262, wholeTime 16632031
line 106000, partTime 16712, wholeTime 16648743
line 107000, partTime 39779, wholeTime 16688523
line 108000, partTime 28296, wholeTime 16716819
line 109000, partTime 70724, wholeTime 16787544
line 110000, partTime 33958, wholeTime 16821502
line 111000, partTime 18672, wholeTime 16840175
line 112000, partTime 17667, wholeTime 16857842
line 113000, partTime 18448, wholeTime 16876291
line 114000, partTime 2171, wholeTime 16878462
line 115000, partTime 955, wholeTime 16879417
line 116000, partTime 26530, wholeTime 16905948
line 117000, partTime 37706, wholeTime 16943654
line 118000, partTime 6467, wholeTime 16950122
line 119000, partTime 17202, wholeTime 16967324
line 120000, partTime 23382, wholeTime 16990706
line 121000, partTime 8018, wholeTime 16998725
line 122000, partTime 6114, wholeTime 17004839
line 123000, partTime 9206, wholeTime 17014045
line 124000, partTime 28712, wholeTime 17042758
line 125000, partTime 27342, wholeTime 17070101
line 126000, partTime 926, wholeTime 17071027
line 127000, partTime 3827, wholeTime 17074854
line 128000, partTime 515, wholeTime 17075370
line 129000, partTime 671, wholeTime 17076041
line 130000, partTime 359, wholeTime 17076401
line 131000, partTime 4529, wholeTime 17080930
line 131328, partTime 62, wholeTime 17080993
Lines checked 1094
Paths count 18176030
Colors used 8
