thisProcessorNumber 75 out of 120
line 1000, partTime 2803, wholeTime 2803
line 2000, partTime 2246, wholeTime 5049
line 3000, partTime 9809, wholeTime 14858
line 4000, partTime 12846, wholeTime 27704
line 5000, partTime 8172, wholeTime 35876
line 6000, partTime 15317, wholeTime 51193
line 7000, partTime 1490, wholeTime 52684
line 8000, partTime 1667, wholeTime 54352
line 9000, partTime 60556, wholeTime 114908
line 10000, partTime 51407, wholeTime 166315
line 11000, partTime 25994, wholeTime 192310
line 12000, partTime 17366, wholeTime 209676
line 13000, partTime 22034, wholeTime 231710
line 14000, partTime 57592, wholeTime 289302
line 15000, partTime 15839, wholeTime 305141
line 16000, partTime 27738, wholeTime 332880
line 17000, partTime 22820, wholeTime 355700
line 18000, partTime 6954, wholeTime 362655
line 19000, partTime 25363, wholeTime 388018
line 20000, partTime 40551, wholeTime 428569
line 21000, partTime 30039, wholeTime 458608
line 22000, partTime 22932, wholeTime 481540
line 23000, partTime 22614, wholeTime 504154
line 24000, partTime 7249, wholeTime 511403
line 25000, partTime 5914, wholeTime 517318
line 26000, partTime 39210, wholeTime 556528
line 27000, partTime 22654, wholeTime 579182
line 28000, partTime 10680, wholeTime 589862
line 29000, partTime 12868, wholeTime 602730
line 30000, partTime 31204, wholeTime 633934
line 31000, partTime 2327, wholeTime 636261
line 32000, partTime 2919, wholeTime 639180
line 33000, partTime 12520, wholeTime 651700
line 34000, partTime 239514, wholeTime 891214
line 35000, partTime 177421, wholeTime 1068635
line 36000, partTime 173236, wholeTime 1241872
line 37000, partTime 45594, wholeTime 1287467
line 38000, partTime 183636, wholeTime 1471103
line 39000, partTime 97293, wholeTime 1568397
line 40000, partTime 27831, wholeTime 1596228
line 41000, partTime 55629, wholeTime 1651857
line 42000, partTime 44740, wholeTime 1696598
line 43000, partTime 151069, wholeTime 1847667
line 44000, partTime 92917, wholeTime 1940585
line 45000, partTime 84972, wholeTime 2025557
line 46000, partTime 47669, wholeTime 2073227
line 47000, partTime 71378, wholeTime 2144605
line 48000, partTime 97004, wholeTime 2241609
line 49000, partTime 18115, wholeTime 2259725
line 50000, partTime 27348, wholeTime 2287074
line 51000, partTime 15072, wholeTime 2302147
line 52000, partTime 116595, wholeTime 2418742
line 53000, partTime 185822, wholeTime 2604565
line 54000, partTime 53196, wholeTime 2657761
line 55000, partTime 71971, wholeTime 2729732
line 56000, partTime 47036, wholeTime 2776768
line 57000, partTime 46885, wholeTime 2823654
line 58000, partTime 73554, wholeTime 2897208
line 59000, partTime 46562, wholeTime 2943771
line 60000, partTime 41322, wholeTime 2985093
line 61000, partTime 14145, wholeTime 2999238
line 62000, partTime 20501, wholeTime 3019740
line 63000, partTime 44792, wholeTime 3064532
line 64000, partTime 51796, wholeTime 3116329
line 65000, partTime 16487, wholeTime 3132816
line 66000, partTime 60080, wholeTime 3192896
line 67000, partTime 5700, wholeTime 3198597
line 68000, partTime 12766, wholeTime 3211363
line 69000, partTime 49820, wholeTime 3261183
line 70000, partTime 21610, wholeTime 3282793
line 71000, partTime 9685, wholeTime 3292479
line 72000, partTime 14846, wholeTime 3307325
line 73000, partTime 4028, wholeTime 3311353
line 74000, partTime 55780, wholeTime 3367133
line 75000, partTime 296173, wholeTime 3663307
line 76000, partTime 177606, wholeTime 3840913
line 77000, partTime 60343, wholeTime 3901257
line 78000, partTime 114307, wholeTime 4015564
line 79000, partTime 81367, wholeTime 4096932
line 80000, partTime 63498, wholeTime 4160430
line 81000, partTime 125756, wholeTime 4286187
line 82000, partTime 86577, wholeTime 4372764
line 83000, partTime 51038, wholeTime 4423802
line 84000, partTime 22494, wholeTime 4446297
line 85000, partTime 20135, wholeTime 4466432
line 86000, partTime 23885, wholeTime 4490317
line 87000, partTime 33607, wholeTime 4523925
line 88000, partTime 169836, wholeTime 4693761
line 89000, partTime 43667, wholeTime 4737428
line 90000, partTime 24155, wholeTime 4761583
line 91000, partTime 45369, wholeTime 4806952
line 92000, partTime 46625, wholeTime 4853578
line 93000, partTime 15131, wholeTime 4868709
line 94000, partTime 63545, wholeTime 4932254
line 95000, partTime 43666, wholeTime 4975920
line 96000, partTime 13377, wholeTime 4989298
line 97000, partTime 4513, wholeTime 4993811
line 98000, partTime 19081, wholeTime 5012892
line 99000, partTime 3247, wholeTime 5016139
line 100000, partTime 5154, wholeTime 5021294
line 101000, partTime 90800, wholeTime 5112094
line 102000, partTime 91123, wholeTime 5203217
line 103000, partTime 109121, wholeTime 5312338
line 104000, partTime 16674, wholeTime 5329013
line 105000, partTime 44609, wholeTime 5373622
line 106000, partTime 38228, wholeTime 5411850
line 107000, partTime 15790, wholeTime 5427640
line 108000, partTime 20800, wholeTime 5448440
line 109000, partTime 53415, wholeTime 5501855
line 110000, partTime 32571, wholeTime 5534427
line 111000, partTime 15690, wholeTime 5550117
line 112000, partTime 6730, wholeTime 5556847
line 113000, partTime 4933, wholeTime 5561780
line 114000, partTime 2241, wholeTime 5564021
line 115000, partTime 2638, wholeTime 5566659
line 116000, partTime 35489, wholeTime 5602149
line 117000, partTime 44024, wholeTime 5646174
line 118000, partTime 25150, wholeTime 5671324
line 119000, partTime 13344, wholeTime 5684668
line 120000, partTime 6232, wholeTime 5690900
line 121000, partTime 34397, wholeTime 5725297
line 122000, partTime 4244, wholeTime 5729542
line 123000, partTime 3766, wholeTime 5733308
line 124000, partTime 13361, wholeTime 5746669
line 125000, partTime 25647, wholeTime 5772317
line 126000, partTime 5317, wholeTime 5777634
line 127000, partTime 3240, wholeTime 5780875
line 128000, partTime 353, wholeTime 5781228
line 129000, partTime 272, wholeTime 5781500
line 130000, partTime 315, wholeTime 5781815
line 131000, partTime 207, wholeTime 5782022
line 131328, partTime 38, wholeTime 5782060
Lines checked 1094
Paths count 17596063
Colors used 8
