thisProcessorNumber 79 out of 120
line 1000, partTime 3837, wholeTime 3837
line 2000, partTime 3120, wholeTime 6957
line 3000, partTime 12230, wholeTime 19188
line 4000, partTime 15397, wholeTime 34585
line 5000, partTime 2917, wholeTime 37502
line 6000, partTime 15054, wholeTime 52556
line 7000, partTime 1638, wholeTime 54194
line 8000, partTime 1965, wholeTime 56160
line 9000, partTime 59560, wholeTime 115721
line 10000, partTime 36738, wholeTime 152459
line 11000, partTime 13400, wholeTime 165859
line 12000, partTime 16177, wholeTime 182036
line 13000, partTime 17596, wholeTime 199633
line 14000, partTime 49561, wholeTime 249194
line 15000, partTime 35614, wholeTime 284809
line 16000, partTime 21465, wholeTime 306275
line 17000, partTime 10077, wholeTime 316352
line 18000, partTime 13260, wholeTime 329612
line 19000, partTime 21481, wholeTime 351094
line 20000, partTime 38126, wholeTime 389220
line 21000, partTime 25755, wholeTime 414976
line 22000, partTime 16473, wholeTime 431449
line 23000, partTime 14601, wholeTime 446051
line 24000, partTime 13962, wholeTime 460013
line 25000, partTime 13416, wholeTime 473429
line 26000, partTime 25880, wholeTime 499310
line 27000, partTime 20607, wholeTime 519917
line 28000, partTime 9765, wholeTime 529683
line 29000, partTime 13119, wholeTime 542802
line 30000, partTime 33462, wholeTime 576265
line 31000, partTime 2620, wholeTime 578885
line 32000, partTime 3588, wholeTime 582473
line 33000, partTime 8346, wholeTime 590819
line 34000, partTime 218618, wholeTime 809438
line 35000, partTime 188370, wholeTime 997808
line 36000, partTime 217916, wholeTime 1215725
line 37000, partTime 39655, wholeTime 1255381
line 38000, partTime 131835, wholeTime 1387216
line 39000, partTime 92071, wholeTime 1479288
line 40000, partTime 43570, wholeTime 1522859
line 41000, partTime 42322, wholeTime 1565181
line 42000, partTime 28735, wholeTime 1593917
line 43000, partTime 102351, wholeTime 1696268
line 44000, partTime 120541, wholeTime 1816810
line 45000, partTime 99543, wholeTime 1916354
line 46000, partTime 51511, wholeTime 1967865
line 47000, partTime 48999, wholeTime 2016865
line 48000, partTime 88452, wholeTime 2105317
line 49000, partTime 20389, wholeTime 2125706
line 50000, partTime 51386, wholeTime 2177093
line 51000, partTime 22074, wholeTime 2199167
line 52000, partTime 82851, wholeTime 2282018
line 53000, partTime 161709, wholeTime 2443728
line 54000, partTime 127889, wholeTime 2571617
line 55000, partTime 157362, wholeTime 2728980
line 56000, partTime 28766, wholeTime 2757746
line 57000, partTime 25443, wholeTime 2783190
line 58000, partTime 92055, wholeTime 2875245
line 59000, partTime 47268, wholeTime 2922514
line 60000, partTime 79700, wholeTime 3002214
line 61000, partTime 64630, wholeTime 3066845
line 62000, partTime 15350, wholeTime 3082195
line 63000, partTime 28267, wholeTime 3110463
line 64000, partTime 39265, wholeTime 3149728
line 65000, partTime 52306, wholeTime 3202035
line 66000, partTime 118092, wholeTime 3320127
line 67000, partTime 26925, wholeTime 3347053
line 68000, partTime 3759, wholeTime 3350812
line 69000, partTime 42369, wholeTime 3393182
line 70000, partTime 14742, wholeTime 3407924
line 71000, partTime 13572, wholeTime 3421496
line 72000, partTime 15974, wholeTime 3437470
line 73000, partTime 9141, wholeTime 3446612
line 74000, partTime 3088, wholeTime 3449701
line 75000, partTime 294824, wholeTime 3744526
line 76000, partTime 79466, wholeTime 3823992
line 77000, partTime 101712, wholeTime 3925704
line 78000, partTime 109668, wholeTime 4035373
line 79000, partTime 92133, wholeTime 4127506
line 80000, partTime 31792, wholeTime 4159299
line 81000, partTime 84942, wholeTime 4244241
line 82000, partTime 76580, wholeTime 4320822
line 83000, partTime 50700, wholeTime 4371522
line 84000, partTime 38563, wholeTime 4410085
line 85000, partTime 27393, wholeTime 4437479
line 86000, partTime 52962, wholeTime 4490441
line 87000, partTime 17877, wholeTime 4508319
line 88000, partTime 95113, wholeTime 4603432
line 89000, partTime 30342, wholeTime 4633774
line 90000, partTime 35661, wholeTime 4669436
line 91000, partTime 53866, wholeTime 4723303
line 92000, partTime 57657, wholeTime 4780960
line 93000, partTime 24273, wholeTime 4805234
line 94000, partTime 42884, wholeTime 4848119
line 95000, partTime 19250, wholeTime 4867369
line 96000, partTime 23041, wholeTime 4890410
line 97000, partTime 9048, wholeTime 4899458
line 98000, partTime 39780, wholeTime 4939238
line 99000, partTime 21278, wholeTime 4960517
line 100000, partTime 10124, wholeTime 4970641
line 101000, partTime 38625, wholeTime 5009267
line 102000, partTime 71994, wholeTime 5081261
line 103000, partTime 111992, wholeTime 5193254
line 104000, partTime 73117, wholeTime 5266371
line 105000, partTime 64693, wholeTime 5331064
line 106000, partTime 44943, wholeTime 5376008
line 107000, partTime 26161, wholeTime 5402169
line 108000, partTime 12714, wholeTime 5414883
line 109000, partTime 33025, wholeTime 5447908
line 110000, partTime 21512, wholeTime 5469421
line 111000, partTime 32697, wholeTime 5502118
line 112000, partTime 6786, wholeTime 5508904
line 113000, partTime 16083, wholeTime 5524988
line 114000, partTime 12214, wholeTime 5537203
line 115000, partTime 2823, wholeTime 5540027
line 116000, partTime 20529, wholeTime 5560556
line 117000, partTime 40092, wholeTime 5600648
line 118000, partTime 17596, wholeTime 5618245
line 119000, partTime 25272, wholeTime 5643517
line 120000, partTime 12012, wholeTime 5655529
line 121000, partTime 20108, wholeTime 5675638
line 122000, partTime 4960, wholeTime 5680598
line 123000, partTime 2012, wholeTime 5682611
line 124000, partTime 10171, wholeTime 5692782
line 125000, partTime 20092, wholeTime 5712875
line 126000, partTime 3868, wholeTime 5716744
line 127000, partTime 6786, wholeTime 5723530
line 128000, partTime 842, wholeTime 5724372
line 129000, partTime 10389, wholeTime 5734762
line 130000, partTime 405, wholeTime 5735167
line 131000, partTime 124, wholeTime 5735292
line 131328, partTime 78, wholeTime 5735370
Lines checked 1094
Paths count 17196211
Colors used 8
