thisProcessorNumber 72 out of 120
line 1000, partTime 3651, wholeTime 3651
line 2000, partTime 3173, wholeTime 6824
line 3000, partTime 9922, wholeTime 16747
line 4000, partTime 14147, wholeTime 30894
line 5000, partTime 12791, wholeTime 43685
line 6000, partTime 12140, wholeTime 55825
line 7000, partTime 5844, wholeTime 61669
line 8000, partTime 1926, wholeTime 63595
line 9000, partTime 44393, wholeTime 107988
line 10000, partTime 34765, wholeTime 142754
line 11000, partTime 58227, wholeTime 200982
line 12000, partTime 20363, wholeTime 221346
line 13000, partTime 23792, wholeTime 245138
line 14000, partTime 58441, wholeTime 303579
line 15000, partTime 18943, wholeTime 322523
line 16000, partTime 16838, wholeTime 339361
line 17000, partTime 23072, wholeTime 362433
line 18000, partTime 11858, wholeTime 374292
line 19000, partTime 25231, wholeTime 399523
line 20000, partTime 38348, wholeTime 437872
line 21000, partTime 25051, wholeTime 462924
line 22000, partTime 41580, wholeTime 504505
line 23000, partTime 15543, wholeTime 520048
line 24000, partTime 10516, wholeTime 530564
line 25000, partTime 4452, wholeTime 535016
line 26000, partTime 26703, wholeTime 561720
line 27000, partTime 8139, wholeTime 569859
line 28000, partTime 11558, wholeTime 581417
line 29000, partTime 15672, wholeTime 597090
line 30000, partTime 14154, wholeTime 611244
line 31000, partTime 3623, wholeTime 614868
line 32000, partTime 1247, wholeTime 616115
line 33000, partTime 24114, wholeTime 640229
line 34000, partTime 159902, wholeTime 800131
line 35000, partTime 112481, wholeTime 912613
line 36000, partTime 177191, wholeTime 1089805
line 37000, partTime 93282, wholeTime 1183087
line 38000, partTime 165273, wholeTime 1348360
line 39000, partTime 55513, wholeTime 1403874
line 40000, partTime 54609, wholeTime 1458483
line 41000, partTime 81697, wholeTime 1540181
line 42000, partTime 129811, wholeTime 1669993
line 43000, partTime 87254, wholeTime 1757247
line 44000, partTime 64121, wholeTime 1821369
line 45000, partTime 107127, wholeTime 1928496
line 46000, partTime 43307, wholeTime 1971803
line 47000, partTime 65032, wholeTime 2036835
line 48000, partTime 83990, wholeTime 2120826
line 49000, partTime 28213, wholeTime 2149040
line 50000, partTime 20293, wholeTime 2169334
line 51000, partTime 25525, wholeTime 2194859
line 52000, partTime 115772, wholeTime 2310631
line 53000, partTime 131442, wholeTime 2442074
line 54000, partTime 81087, wholeTime 2523161
line 55000, partTime 74855, wholeTime 2598016
line 56000, partTime 38517, wholeTime 2636533
line 57000, partTime 69209, wholeTime 2705742
line 58000, partTime 89400, wholeTime 2795143
line 59000, partTime 40352, wholeTime 2835495
line 60000, partTime 53851, wholeTime 2889347
line 61000, partTime 18413, wholeTime 2907761
line 62000, partTime 17188, wholeTime 2924949
