thisProcessorNumber 66 out of 120
line 1000, partTime 5187, wholeTime 5187
line 2000, partTime 10421, wholeTime 15609
line 3000, partTime 12562, wholeTime 28171
line 4000, partTime 29031, wholeTime 57203
line 5000, partTime 31890, wholeTime 89093
line 6000, partTime 20484, wholeTime 109578
line 7000, partTime 15093, wholeTime 124671
line 8000, partTime 3015, wholeTime 127687
line 9000, partTime 116093, wholeTime 243781
line 10000, partTime 46375, wholeTime 290156
line 11000, partTime 142765, wholeTime 432921
line 12000, partTime 66453, wholeTime 499375
line 13000, partTime 56109, wholeTime 555484
line 14000, partTime 142828, wholeTime 698312
line 15000, partTime 62140, wholeTime 760453
line 16000, partTime 59765, wholeTime 820218
line 17000, partTime 46687, wholeTime 866906
line 18000, partTime 16890, wholeTime 883796
line 19000, partTime 77218, wholeTime 961015
line 20000, partTime 124703, wholeTime 1085718
line 21000, partTime 45921, wholeTime 1131640
line 22000, partTime 96750, wholeTime 1228390
line 23000, partTime 77875, wholeTime 1306265
line 24000, partTime 27984, wholeTime 1334250
line 25000, partTime 33546, wholeTime 1367796
line 26000, partTime 69453, wholeTime 1437250
line 27000, partTime 32203, wholeTime 1469453
line 28000, partTime 25953, wholeTime 1495406
line 29000, partTime 36234, wholeTime 1531640
line 30000, partTime 21687, wholeTime 1553328
line 31000, partTime 11390, wholeTime 1564718
line 32000, partTime 3046, wholeTime 1567765
line 33000, partTime 66562, wholeTime 1634328
line 34000, partTime 481968, wholeTime 2116296
line 35000, partTime 324562, wholeTime 2440859
line 36000, partTime 234656, wholeTime 2675515
line 37000, partTime 195765, wholeTime 2871281
line 38000, partTime 544937, wholeTime 3416218
line 39000, partTime 266687, wholeTime 3682906
line 40000, partTime 119171, wholeTime 3802078
line 41000, partTime 103390, wholeTime 3905468
line 42000, partTime 425390, wholeTime 4330859
line 43000, partTime 243984, wholeTime 4574843
line 44000, partTime 177390, wholeTime 4752234
line 45000, partTime 240890, wholeTime 4993125
line 46000, partTime 95437, wholeTime 5088562
line 47000, partTime 364671, wholeTime 5453234
line 48000, partTime 108812, wholeTime 5562046
line 49000, partTime 55984, wholeTime 5618031
line 50000, partTime 30750, wholeTime 5648781
line 51000, partTime 47703, wholeTime 5696484
line 52000, partTime 411562, wholeTime 6108046
line 53000, partTime 436859, wholeTime 6544906
line 54000, partTime 164375, wholeTime 6709281
line 55000, partTime 248031, wholeTime 6957312
line 56000, partTime 121281, wholeTime 7078593
line 57000, partTime 262218, wholeTime 7340812
line 58000, partTime 121828, wholeTime 7462640
line 59000, partTime 279234, wholeTime 7741875
line 60000, partTime 61609, wholeTime 7803484
line 61000, partTime 83218, wholeTime 7886703
line 62000, partTime 76375, wholeTime 7963078
line 63000, partTime 224343, wholeTime 8187421
line 64000, partTime 89671, wholeTime 8277093
line 65000, partTime 5734, wholeTime 8282828
line 66000, partTime 6156, wholeTime 8288984
line 67000, partTime 31812, wholeTime 8320796
line 68000, partTime 43546, wholeTime 8364343
line 69000, partTime 132750, wholeTime 8497093
line 70000, partTime 89031, wholeTime 8586125
line 71000, partTime 32937, wholeTime 8619062
line 72000, partTime 14640, wholeTime 8633703
line 73000, partTime 24546, wholeTime 8658250
line 74000, partTime 215656, wholeTime 8873906
line 75000, partTime 556671, wholeTime 9430578
line 76000, partTime 606968, wholeTime 10037546
line 77000, partTime 198890, wholeTime 10236437
line 78000, partTime 261640, wholeTime 10498078
line 79000, partTime 172468, wholeTime 10670546
line 80000, partTime 111468, wholeTime 10782015
line 81000, partTime 443015, wholeTime 11225031
line 82000, partTime 221578, wholeTime 11446609
line 83000, partTime 153640, wholeTime 11600250
line 84000, partTime 158015, wholeTime 11758265
line 85000, partTime 55890, wholeTime 11814156
line 86000, partTime 46718, wholeTime 11860875
line 87000, partTime 279625, wholeTime 12140500
line 88000, partTime 313296, wholeTime 12453796
line 89000, partTime 341531, wholeTime 12795328
line 90000, partTime 86171, wholeTime 12881500
line 91000, partTime 186437, wholeTime 13067937
line 92000, partTime 36984, wholeTime 13104921
line 93000, partTime 61093, wholeTime 13166015
line 94000, partTime 226343, wholeTime 13392359
line 95000, partTime 48031, wholeTime 13440390
line 96000, partTime 193765, wholeTime 13634156
line 97000, partTime 19859, wholeTime 13654015
line 98000, partTime 18015, wholeTime 13672031
line 99000, partTime 5843, wholeTime 13677875
line 100000, partTime 21906, wholeTime 13699781
line 101000, partTime 509812, wholeTime 14209593
line 102000, partTime 107265, wholeTime 14316859
line 103000, partTime 438171, wholeTime 14755031
line 104000, partTime 41750, wholeTime 14796781
line 105000, partTime 213437, wholeTime 15010218
line 106000, partTime 62046, wholeTime 15072265
line 107000, partTime 56796, wholeTime 15129062
line 108000, partTime 111968, wholeTime 15241031
line 109000, partTime 160781, wholeTime 15401812
line 110000, partTime 52421, wholeTime 15454234
line 111000, partTime 43421, wholeTime 15497656
line 112000, partTime 53375, wholeTime 15551031
line 113000, partTime 29890, wholeTime 15580921
line 114000, partTime 9078, wholeTime 15590000
line 115000, partTime 5546, wholeTime 15595546
line 116000, partTime 147781, wholeTime 15743328
line 117000, partTime 49375, wholeTime 15792703
line 118000, partTime 142015, wholeTime 15934718
line 119000, partTime 27000, wholeTime 15961718
line 120000, partTime 78734, wholeTime 16040453
