thisProcessorNumber 69 out of 120
line 1000, partTime 3811, wholeTime 3811
line 2000, partTime 3968, wholeTime 7779
line 3000, partTime 7729, wholeTime 15509
line 4000, partTime 15995, wholeTime 31504
line 5000, partTime 5509, wholeTime 37013
line 6000, partTime 10231, wholeTime 47244
line 7000, partTime 7061, wholeTime 54305
line 8000, partTime 2063, wholeTime 56369
line 9000, partTime 46561, wholeTime 102931
line 10000, partTime 59882, wholeTime 162813
line 11000, partTime 38824, wholeTime 201637
line 12000, partTime 28148, wholeTime 229786
line 13000, partTime 14913, wholeTime 244699
line 14000, partTime 44959, wholeTime 289659
line 15000, partTime 23059, wholeTime 312719
line 16000, partTime 17696, wholeTime 330415
line 17000, partTime 24704, wholeTime 355120
line 18000, partTime 10785, wholeTime 365905
line 19000, partTime 29038, wholeTime 394943
line 20000, partTime 52101, wholeTime 447044
line 21000, partTime 41101, wholeTime 488146
line 22000, partTime 19838, wholeTime 507985
line 23000, partTime 26347, wholeTime 534332
line 24000, partTime 23924, wholeTime 558256
line 25000, partTime 8219, wholeTime 566475
line 26000, partTime 31862, wholeTime 598338
line 27000, partTime 17521, wholeTime 615860
line 28000, partTime 18713, wholeTime 634573
line 29000, partTime 14361, wholeTime 648934
line 30000, partTime 7403, wholeTime 656337
line 31000, partTime 4379, wholeTime 660716
line 32000, partTime 6009, wholeTime 666726
line 33000, partTime 17392, wholeTime 684118
line 34000, partTime 175728, wholeTime 859846
line 35000, partTime 196066, wholeTime 1055913
line 36000, partTime 259041, wholeTime 1314955
line 37000, partTime 70109, wholeTime 1385064
line 38000, partTime 227622, wholeTime 1612687
line 39000, partTime 67726, wholeTime 1680413
line 40000, partTime 72316, wholeTime 1752730
line 41000, partTime 17479, wholeTime 1770210
line 42000, partTime 82083, wholeTime 1852293
line 43000, partTime 159685, wholeTime 2011978
line 44000, partTime 110554, wholeTime 2122533
line 45000, partTime 139163, wholeTime 2261697
line 46000, partTime 26432, wholeTime 2288130
line 47000, partTime 90482, wholeTime 2378612
line 48000, partTime 22184, wholeTime 2400797
