thisProcessorNumber 62 out of 120
line 1000, partTime 3042, wholeTime 3042
line 2000, partTime 3666, wholeTime 6708
line 3000, partTime 5569, wholeTime 12277
line 4000, partTime 6926, wholeTime 19203
line 5000, partTime 8845, wholeTime 28048
line 6000, partTime 6910, wholeTime 34959
line 7000, partTime 6520, wholeTime 41480
line 8000, partTime 982, wholeTime 42463
line 9000, partTime 27362, wholeTime 69825
line 10000, partTime 33103, wholeTime 102928
line 11000, partTime 25022, wholeTime 127951
line 12000, partTime 40310, wholeTime 168261
line 13000, partTime 13743, wholeTime 182005
line 14000, partTime 45505, wholeTime 227510
line 15000, partTime 46222, wholeTime 273733
line 16000, partTime 20404, wholeTime 294138
line 17000, partTime 13806, wholeTime 307944
line 18000, partTime 14492, wholeTime 322436
line 19000, partTime 23634, wholeTime 346071
line 20000, partTime 64116, wholeTime 410187
line 21000, partTime 28095, wholeTime 438282
line 22000, partTime 34008, wholeTime 472290
line 23000, partTime 33789, wholeTime 506080
line 24000, partTime 24024, wholeTime 530104
line 25000, partTime 11653, wholeTime 541757
line 26000, partTime 22323, wholeTime 564081
line 27000, partTime 20233, wholeTime 584314
line 28000, partTime 19047, wholeTime 603362
line 29000, partTime 3619, wholeTime 606981
line 30000, partTime 8892, wholeTime 615873
line 31000, partTime 5803, wholeTime 621676
line 32000, partTime 7066, wholeTime 628743
line 33000, partTime 15241, wholeTime 643984
line 34000, partTime 213517, wholeTime 857502
line 35000, partTime 142833, wholeTime 1000336
line 36000, partTime 166311, wholeTime 1166648
line 37000, partTime 70870, wholeTime 1237518
line 38000, partTime 136110, wholeTime 1373629
line 39000, partTime 95066, wholeTime 1468695
line 40000, partTime 59732, wholeTime 1528428
line 41000, partTime 58032, wholeTime 1586460
line 42000, partTime 98108, wholeTime 1684568
line 43000, partTime 80199, wholeTime 1764768
line 44000, partTime 112320, wholeTime 1877088
line 45000, partTime 136484, wholeTime 2013573
line 46000, partTime 43742, wholeTime 2057316
line 47000, partTime 122803, wholeTime 2180119
line 48000, partTime 39717, wholeTime 2219837
line 49000, partTime 30700, wholeTime 2250537
line 50000, partTime 58905, wholeTime 2309443
line 51000, partTime 17082, wholeTime 2326525
line 52000, partTime 109122, wholeTime 2435647
line 53000, partTime 173051, wholeTime 2608698
line 54000, partTime 102226, wholeTime 2710925
line 55000, partTime 84552, wholeTime 2795478
line 56000, partTime 71042, wholeTime 2866520
line 57000, partTime 72040, wholeTime 2938561
line 58000, partTime 51948, wholeTime 2990509
line 59000, partTime 54412, wholeTime 3044922
