thisProcessorNumber 77 out of 120
line 1000, partTime 3712, wholeTime 3712
line 2000, partTime 3400, wholeTime 7113
line 3000, partTime 11902, wholeTime 19016
line 4000, partTime 11029, wholeTime 30045
line 5000, partTime 5116, wholeTime 35162
line 6000, partTime 15100, wholeTime 50263
line 7000, partTime 1981, wholeTime 52244
line 8000, partTime 1903, wholeTime 54147
line 9000, partTime 42681, wholeTime 96829
line 10000, partTime 34491, wholeTime 131321
line 11000, partTime 26754, wholeTime 158075
line 12000, partTime 16270, wholeTime 174345
line 13000, partTime 16520, wholeTime 190866
line 14000, partTime 51230, wholeTime 242096
line 15000, partTime 28345, wholeTime 270442
line 16000, partTime 30544, wholeTime 300986
line 17000, partTime 13930, wholeTime 314917
line 18000, partTime 15709, wholeTime 330626
line 19000, partTime 25989, wholeTime 356616
line 20000, partTime 39577, wholeTime 396193
line 21000, partTime 42650, wholeTime 438844
line 22000, partTime 22058, wholeTime 460902
line 23000, partTime 14055, wholeTime 474958
line 24000, partTime 34819, wholeTime 509777
line 25000, partTime 5553, wholeTime 515331
line 26000, partTime 36894, wholeTime 552225
line 27000, partTime 25927, wholeTime 578152
line 28000, partTime 19718, wholeTime 597871
line 29000, partTime 15428, wholeTime 613299
line 30000, partTime 30810, wholeTime 644109
line 31000, partTime 4602, wholeTime 648711
line 32000, partTime 8689, wholeTime 657400
line 33000, partTime 14086, wholeTime 671487
line 34000, partTime 181100, wholeTime 852588
line 35000, partTime 192051, wholeTime 1044640
line 36000, partTime 180804, wholeTime 1225444
line 37000, partTime 41059, wholeTime 1266503
line 38000, partTime 99777, wholeTime 1366281
line 39000, partTime 100604, wholeTime 1466886
line 40000, partTime 91431, wholeTime 1558317
line 41000, partTime 30576, wholeTime 1588893
line 42000, partTime 45520, wholeTime 1634414
line 43000, partTime 92664, wholeTime 1727079
line 44000, partTime 148309, wholeTime 1875388
line 45000, partTime 111384, wholeTime 1986772
line 46000, partTime 37003, wholeTime 2023775
line 47000, partTime 73039, wholeTime 2096815
line 48000, partTime 71276, wholeTime 2168091
line 49000, partTime 22807, wholeTime 2190899
line 50000, partTime 43243, wholeTime 2234142
line 51000, partTime 11466, wholeTime 2245608
line 52000, partTime 119761, wholeTime 2365369
line 53000, partTime 77048, wholeTime 2442418
line 54000, partTime 140337, wholeTime 2582756
line 55000, partTime 133946, wholeTime 2716702
line 56000, partTime 41340, wholeTime 2758042
