thisProcessorNumber 67 out of 120
line 1000, partTime 7265, wholeTime 7265
line 2000, partTime 9531, wholeTime 16796
line 3000, partTime 27171, wholeTime 43968
line 4000, partTime 28609, wholeTime 72578
line 5000, partTime 17703, wholeTime 90281
line 6000, partTime 27625, wholeTime 117906
line 7000, partTime 20093, wholeTime 138000
line 8000, partTime 5031, wholeTime 143031
line 9000, partTime 175984, wholeTime 319015
line 10000, partTime 60656, wholeTime 379671
line 11000, partTime 124046, wholeTime 503718
line 12000, partTime 61125, wholeTime 564843
line 13000, partTime 48906, wholeTime 613750
line 14000, partTime 153046, wholeTime 766796
line 15000, partTime 66484, wholeTime 833281
line 16000, partTime 45531, wholeTime 878812
line 17000, partTime 66562, wholeTime 945375
line 18000, partTime 27375, wholeTime 972750
line 19000, partTime 76546, wholeTime 1049296
line 20000, partTime 113781, wholeTime 1163078
line 21000, partTime 82093, wholeTime 1245171
line 22000, partTime 48468, wholeTime 1293640
line 23000, partTime 92171, wholeTime 1385812
line 24000, partTime 29765, wholeTime 1415578
line 25000, partTime 27625, wholeTime 1443203
line 26000, partTime 117171, wholeTime 1560375
line 27000, partTime 26718, wholeTime 1587093
line 28000, partTime 38046, wholeTime 1625140
line 29000, partTime 33531, wholeTime 1658671
line 30000, partTime 26937, wholeTime 1685609
line 31000, partTime 12000, wholeTime 1697609
line 32000, partTime 4562, wholeTime 1702171
line 33000, partTime 50125, wholeTime 1752296
line 34000, partTime 631046, wholeTime 2383343
line 35000, partTime 473000, wholeTime 2856343
line 36000, partTime 392781, wholeTime 3249125
line 37000, partTime 229531, wholeTime 3478656
line 38000, partTime 821671, wholeTime 4300328
line 39000, partTime 163843, wholeTime 4464171
line 40000, partTime 113203, wholeTime 4577375
line 41000, partTime 68515, wholeTime 4645890
line 42000, partTime 232328, wholeTime 4878218
line 43000, partTime 568296, wholeTime 5446515
line 44000, partTime 158843, wholeTime 5605359
line 45000, partTime 272031, wholeTime 5877390
line 46000, partTime 92187, wholeTime 5969578
line 47000, partTime 258437, wholeTime 6228015
line 48000, partTime 172390, wholeTime 6400406
line 49000, partTime 53843, wholeTime 6454250
line 50000, partTime 60312, wholeTime 6514562
line 51000, partTime 78578, wholeTime 6593140
line 52000, partTime 293609, wholeTime 6886750
line 53000, partTime 508234, wholeTime 7394984
line 54000, partTime 107812, wholeTime 7502796
line 55000, partTime 404328, wholeTime 7907125
line 56000, partTime 119437, wholeTime 8026562
line 57000, partTime 161718, wholeTime 8188281
line 58000, partTime 182171, wholeTime 8370453
line 59000, partTime 175359, wholeTime 8545812
line 60000, partTime 110515, wholeTime 8656328
line 61000, partTime 79703, wholeTime 8736031
line 62000, partTime 64140, wholeTime 8800171
line 63000, partTime 161296, wholeTime 8961468
line 64000, partTime 117734, wholeTime 9079203
line 65000, partTime 13500, wholeTime 9092703
line 66000, partTime 5734, wholeTime 9098437
line 67000, partTime 25718, wholeTime 9124156
line 68000, partTime 43218, wholeTime 9167375
line 69000, partTime 177812, wholeTime 9345187
line 70000, partTime 61000, wholeTime 9406187
line 71000, partTime 28671, wholeTime 9434859
line 72000, partTime 20093, wholeTime 9454953
line 73000, partTime 15281, wholeTime 9470234
line 74000, partTime 236187, wholeTime 9706421
line 75000, partTime 608859, wholeTime 10315281
line 76000, partTime 643125, wholeTime 10958406
line 77000, partTime 153828, wholeTime 11112234
line 78000, partTime 261093, wholeTime 11373328
line 79000, partTime 108921, wholeTime 11482250
line 80000, partTime 139921, wholeTime 11622171
line 81000, partTime 393984, wholeTime 12016156
line 82000, partTime 254390, wholeTime 12270546
line 83000, partTime 145218, wholeTime 12415765
line 84000, partTime 104281, wholeTime 12520046
line 85000, partTime 109203, wholeTime 12629250
line 86000, partTime 52312, wholeTime 12681562
line 87000, partTime 113031, wholeTime 12794593
line 88000, partTime 596812, wholeTime 13391406
line 89000, partTime 225859, wholeTime 13617265
line 90000, partTime 92281, wholeTime 13709546
line 91000, partTime 180281, wholeTime 13889828
line 92000, partTime 80984, wholeTime 13970812
line 93000, partTime 71125, wholeTime 14041937
line 94000, partTime 197703, wholeTime 14239640
line 95000, partTime 159156, wholeTime 14398796
line 96000, partTime 128359, wholeTime 14527156
line 97000, partTime 13093, wholeTime 14540250
line 98000, partTime 28531, wholeTime 14568781
line 99000, partTime 4015, wholeTime 14572796
line 100000, partTime 25562, wholeTime 14598359
line 101000, partTime 349171, wholeTime 14947531
line 102000, partTime 311234, wholeTime 15258765
line 103000, partTime 345593, wholeTime 15604359
line 104000, partTime 30953, wholeTime 15635312
line 105000, partTime 183359, wholeTime 15818671
line 106000, partTime 61078, wholeTime 15879750
line 107000, partTime 46468, wholeTime 15926218
line 108000, partTime 78062, wholeTime 16004281
line 109000, partTime 135468, wholeTime 16139750
