thisProcessorNumber 61 out of 120
line 1000, partTime 3042, wholeTime 3042
line 2000, partTime 3993, wholeTime 7035
line 3000, partTime 7098, wholeTime 14133
line 4000, partTime 6349, wholeTime 20482
line 5000, partTime 7784, wholeTime 28267
line 6000, partTime 9672, wholeTime 37939
line 7000, partTime 9282, wholeTime 47221
line 8000, partTime 1279, wholeTime 48500
line 9000, partTime 41683, wholeTime 90183
line 10000, partTime 33664, wholeTime 123848
line 11000, partTime 36207, wholeTime 160056
line 12000, partTime 39218, wholeTime 199274
line 13000, partTime 12105, wholeTime 211380
line 14000, partTime 35287, wholeTime 246667
line 15000, partTime 40232, wholeTime 286900
line 16000, partTime 30123, wholeTime 317023
line 17000, partTime 11263, wholeTime 328286
line 18000, partTime 13868, wholeTime 342155
line 19000, partTime 35256, wholeTime 377411
line 20000, partTime 49561, wholeTime 426972
line 21000, partTime 28173, wholeTime 455146
line 22000, partTime 32713, wholeTime 487859
line 23000, partTime 42900, wholeTime 530759
line 24000, partTime 26754, wholeTime 557513
line 25000, partTime 8751, wholeTime 566265
line 26000, partTime 29172, wholeTime 595437
line 27000, partTime 14820, wholeTime 610257
line 28000, partTime 19297, wholeTime 629554
line 29000, partTime 1794, wholeTime 631348
line 30000, partTime 11029, wholeTime 642377
line 31000, partTime 4992, wholeTime 647369
line 32000, partTime 9172, wholeTime 656542
line 33000, partTime 15085, wholeTime 671627
line 34000, partTime 180975, wholeTime 852603
line 35000, partTime 194204, wholeTime 1046808
line 36000, partTime 174111, wholeTime 1220920
line 37000, partTime 95721, wholeTime 1316642
line 38000, partTime 156811, wholeTime 1473453
line 39000, partTime 88951, wholeTime 1562405
line 40000, partTime 111259, wholeTime 1673664
line 41000, partTime 25178, wholeTime 1698842
line 42000, partTime 100042, wholeTime 1798885
line 43000, partTime 124644, wholeTime 1923530
line 44000, partTime 88592, wholeTime 2012122
line 45000, partTime 182021, wholeTime 2194143
line 46000, partTime 25459, wholeTime 2219603
line 47000, partTime 152583, wholeTime 2372186
line 48000, partTime 22698, wholeTime 2394885
line 49000, partTime 34990, wholeTime 2429875
line 50000, partTime 66643, wholeTime 2496519
line 51000, partTime 14227, wholeTime 2510746
line 52000, partTime 130166, wholeTime 2640913
line 53000, partTime 94832, wholeTime 2735745
line 54000, partTime 116282, wholeTime 2852028
line 55000, partTime 95643, wholeTime 2947671
line 56000, partTime 35568, wholeTime 2983240
line 57000, partTime 75582, wholeTime 3058822
line 58000, partTime 45864, wholeTime 3104686
line 59000, partTime 74224, wholeTime 3178911
line 60000, partTime 28360, wholeTime 3207272
line 61000, partTime 14398, wholeTime 3221670
line 62000, partTime 21762, wholeTime 3243432
line 63000, partTime 76970, wholeTime 3320403
line 64000, partTime 36082, wholeTime 3356486
line 65000, partTime 10701, wholeTime 3367187
line 66000, partTime 28891, wholeTime 3396079
line 67000, partTime 10062, wholeTime 3406141
line 68000, partTime 16738, wholeTime 3422880
line 69000, partTime 50341, wholeTime 3473221
line 70000, partTime 19312, wholeTime 3492534
line 71000, partTime 14118, wholeTime 3506652
line 72000, partTime 25568, wholeTime 3532220
line 73000, partTime 4633, wholeTime 3536853
line 74000, partTime 4118, wholeTime 3540972
line 75000, partTime 217199, wholeTime 3758171
line 76000, partTime 120229, wholeTime 3878400
line 77000, partTime 71666, wholeTime 3950067
line 78000, partTime 135689, wholeTime 4085756
line 79000, partTime 27783, wholeTime 4113540
line 80000, partTime 60122, wholeTime 4173662
line 81000, partTime 168152, wholeTime 4341815
line 82000, partTime 37174, wholeTime 4378990
line 83000, partTime 48360, wholeTime 4427350
line 84000, partTime 93100, wholeTime 4520451
line 85000, partTime 34538, wholeTime 4554989
line 86000, partTime 13400, wholeTime 4568390
line 87000, partTime 65239, wholeTime 4633629
line 88000, partTime 198822, wholeTime 4832451
line 89000, partTime 53695, wholeTime 4886146
line 90000, partTime 80433, wholeTime 4966580
line 91000, partTime 112366, wholeTime 5078947
line 92000, partTime 12823, wholeTime 5091770
line 93000, partTime 23290, wholeTime 5115061
line 94000, partTime 33633, wholeTime 5148695
line 95000, partTime 29281, wholeTime 5177976
line 96000, partTime 22464, wholeTime 5200440
line 97000, partTime 16676, wholeTime 5217117
line 98000, partTime 24835, wholeTime 5241952
line 99000, partTime 3634, wholeTime 5245587
line 100000, partTime 10062, wholeTime 5255649
line 101000, partTime 114722, wholeTime 5370371
line 102000, partTime 58671, wholeTime 5429043
line 103000, partTime 70792, wholeTime 5499836
line 104000, partTime 32292, wholeTime 5532128
line 105000, partTime 135267, wholeTime 5667396
line 106000, partTime 16894, wholeTime 5684291
line 107000, partTime 12464, wholeTime 5696755
line 108000, partTime 16270, wholeTime 5713026
line 109000, partTime 43321, wholeTime 5756347
line 110000, partTime 21668, wholeTime 5778016
line 111000, partTime 19422, wholeTime 5797438
line 112000, partTime 35521, wholeTime 5832959
line 113000, partTime 33493, wholeTime 5866452
line 114000, partTime 405, wholeTime 5866858
line 115000, partTime 390, wholeTime 5867248
line 116000, partTime 33774, wholeTime 5901022
line 117000, partTime 39889, wholeTime 5940911
line 118000, partTime 24351, wholeTime 5965263
line 119000, partTime 16614, wholeTime 5981877
line 120000, partTime 56316, wholeTime 6038193
line 121000, partTime 9266, wholeTime 6047459
line 122000, partTime 2028, wholeTime 6049487
line 123000, partTime 7503, wholeTime 6056991
line 124000, partTime 17144, wholeTime 6074135
line 125000, partTime 12417, wholeTime 6086553
line 126000, partTime 5569, wholeTime 6092122
line 127000, partTime 889, wholeTime 6093011
line 128000, partTime 7581, wholeTime 6100593
line 129000, partTime 5428, wholeTime 6106022
line 130000, partTime 234, wholeTime 6106256
line 131000, partTime 218, wholeTime 6106474
line 131328, partTime 31, wholeTime 6106505
Lines checked 1094
Paths count 18121505
Colors used 8
