thisProcessorNumber 74 out of 120
line 1000, partTime 3903, wholeTime 3903
line 2000, partTime 3794, wholeTime 7697
line 3000, partTime 9294, wholeTime 16991
line 4000, partTime 14128, wholeTime 31119
line 5000, partTime 6381, wholeTime 37500
line 6000, partTime 6193, wholeTime 43693
line 7000, partTime 6968, wholeTime 50661
line 8000, partTime 1499, wholeTime 52161
line 9000, partTime 56376, wholeTime 108538
line 10000, partTime 30398, wholeTime 138936
line 11000, partTime 47473, wholeTime 186409
line 12000, partTime 23348, wholeTime 209758
line 13000, partTime 17158, wholeTime 226917
line 14000, partTime 63663, wholeTime 290580
line 15000, partTime 15328, wholeTime 305908
line 16000, partTime 24362, wholeTime 330271
line 17000, partTime 13713, wholeTime 343984
line 18000, partTime 6688, wholeTime 350672
line 19000, partTime 36763, wholeTime 387435
line 20000, partTime 51499, wholeTime 438934
line 21000, partTime 26798, wholeTime 465732
line 22000, partTime 31231, wholeTime 496963
line 23000, partTime 24098, wholeTime 521061
line 24000, partTime 7789, wholeTime 528850
line 25000, partTime 3430, wholeTime 532280
line 26000, partTime 31535, wholeTime 563816
line 27000, partTime 9296, wholeTime 573112
line 28000, partTime 10750, wholeTime 583862
line 29000, partTime 18462, wholeTime 602324
line 30000, partTime 18737, wholeTime 621061
line 31000, partTime 1429, wholeTime 622491
line 32000, partTime 1799, wholeTime 624291
line 33000, partTime 18956, wholeTime 643247
line 34000, partTime 153669, wholeTime 796916
line 35000, partTime 223382, wholeTime 1020299
line 36000, partTime 165012, wholeTime 1185311
line 37000, partTime 93312, wholeTime 1278623
line 38000, partTime 132575, wholeTime 1411198
line 39000, partTime 76261, wholeTime 1487460
line 40000, partTime 35335, wholeTime 1522796
line 41000, partTime 43275, wholeTime 1566071
line 42000, partTime 123039, wholeTime 1689110
line 43000, partTime 132365, wholeTime 1821475
line 44000, partTime 59576, wholeTime 1881052
line 45000, partTime 77499, wholeTime 1958551
line 46000, partTime 51243, wholeTime 2009794
line 47000, partTime 86604, wholeTime 2096399
line 48000, partTime 61556, wholeTime 2157955
line 49000, partTime 15217, wholeTime 2173172
line 50000, partTime 13507, wholeTime 2186679
line 51000, partTime 15765, wholeTime 2202444
line 52000, partTime 134584, wholeTime 2337029
line 53000, partTime 131503, wholeTime 2468533
line 54000, partTime 78039, wholeTime 2546572
line 55000, partTime 48955, wholeTime 2595527
line 56000, partTime 40197, wholeTime 2635724
line 57000, partTime 79430, wholeTime 2715155
line 58000, partTime 69237, wholeTime 2784392
line 59000, partTime 46276, wholeTime 2830669
line 60000, partTime 42556, wholeTime 2873226
line 61000, partTime 12661, wholeTime 2885887
line 62000, partTime 20569, wholeTime 2906456
line 63000, partTime 59400, wholeTime 2965857
line 64000, partTime 14446, wholeTime 2980303
line 65000, partTime 23402, wholeTime 3003706
line 66000, partTime 52909, wholeTime 3056615
line 67000, partTime 5024, wholeTime 3061640
