thisProcessorNumber 78 out of 120
line 1000, partTime 3666, wholeTime 3666
line 2000, partTime 3931, wholeTime 7597
line 3000, partTime 13150, wholeTime 20748
line 4000, partTime 13650, wholeTime 34398
line 5000, partTime 4399, wholeTime 38797
line 6000, partTime 10732, wholeTime 49530
line 7000, partTime 1996, wholeTime 51526
line 8000, partTime 2262, wholeTime 53788
line 9000, partTime 42104, wholeTime 95893
line 10000, partTime 48812, wholeTime 144705
line 11000, partTime 17284, wholeTime 161990
line 12000, partTime 16099, wholeTime 178089
line 13000, partTime 17222, wholeTime 195312
line 14000, partTime 53398, wholeTime 248711
line 15000, partTime 28844, wholeTime 277555
line 16000, partTime 21762, wholeTime 299317
line 17000, partTime 17050, wholeTime 316368
line 18000, partTime 16723, wholeTime 333091
line 19000, partTime 19656, wholeTime 352747
line 20000, partTime 55255, wholeTime 408003
line 21000, partTime 34694, wholeTime 442697
line 22000, partTime 22167, wholeTime 464865
line 23000, partTime 18408, wholeTime 483273
line 24000, partTime 32900, wholeTime 516173
line 25000, partTime 5054, wholeTime 521228
line 26000, partTime 24180, wholeTime 545408
line 27000, partTime 11622, wholeTime 557030
line 28000, partTime 14851, wholeTime 571881
line 29000, partTime 14695, wholeTime 586576
line 30000, partTime 23290, wholeTime 609867
line 31000, partTime 4258, wholeTime 614126
line 32000, partTime 8860, wholeTime 622987
line 33000, partTime 14866, wholeTime 637853
line 34000, partTime 120947, wholeTime 758800
line 35000, partTime 151507, wholeTime 910308
line 36000, partTime 133208, wholeTime 1043517
line 37000, partTime 52774, wholeTime 1096291
line 38000, partTime 112834, wholeTime 1209126
line 39000, partTime 77235, wholeTime 1286362
line 40000, partTime 68374, wholeTime 1354737
line 41000, partTime 27924, wholeTime 1382661
line 42000, partTime 39546, wholeTime 1422207
line 43000, partTime 123162, wholeTime 1545369
line 44000, partTime 98514, wholeTime 1643884
line 45000, partTime 90511, wholeTime 1734395
line 46000, partTime 52540, wholeTime 1786936
line 47000, partTime 57860, wholeTime 1844796
line 48000, partTime 47268, wholeTime 1892064
line 49000, partTime 18267, wholeTime 1910332
line 50000, partTime 41059, wholeTime 1951391
line 51000, partTime 17300, wholeTime 1968692
line 52000, partTime 97437, wholeTime 2066130
line 53000, partTime 122725, wholeTime 2188855
line 54000, partTime 94224, wholeTime 2283079
line 55000, partTime 63226, wholeTime 2346306
line 56000, partTime 52774, wholeTime 2399081
line 57000, partTime 40123, wholeTime 2439204
line 58000, partTime 66019, wholeTime 2505224
line 59000, partTime 36488, wholeTime 2541712
line 60000, partTime 72290, wholeTime 2614002
line 61000, partTime 60829, wholeTime 2674832
line 62000, partTime 35224, wholeTime 2710057
line 63000, partTime 35942, wholeTime 2745999
line 64000, partTime 23134, wholeTime 2769134
line 65000, partTime 68499, wholeTime 2837634
line 66000, partTime 81556, wholeTime 2919191
line 67000, partTime 17659, wholeTime 2936850
line 68000, partTime 8814, wholeTime 2945664
line 69000, partTime 27081, wholeTime 2972746
line 70000, partTime 24804, wholeTime 2997550
line 71000, partTime 16114, wholeTime 3013664
line 72000, partTime 15085, wholeTime 3028750
line 73000, partTime 12090, wholeTime 3040840
line 74000, partTime 56253, wholeTime 3097093
line 75000, partTime 186685, wholeTime 3283779
line 76000, partTime 113771, wholeTime 3397550
line 77000, partTime 92632, wholeTime 3490183
line 78000, partTime 108264, wholeTime 3598447
line 79000, partTime 96142, wholeTime 3694590
line 80000, partTime 32432, wholeTime 3727023
line 81000, partTime 98623, wholeTime 3825646
line 82000, partTime 56440, wholeTime 3882087
line 83000, partTime 57954, wholeTime 3940041
line 84000, partTime 72633, wholeTime 4012675
line 85000, partTime 15740, wholeTime 4028415
