thisProcessorNumber 64 out of 120
line 1000, partTime 4071, wholeTime 4071
line 2000, partTime 5070, wholeTime 9141
line 3000, partTime 14788, wholeTime 23930
line 4000, partTime 5647, wholeTime 29577
line 5000, partTime 12043, wholeTime 41620
line 6000, partTime 8892, wholeTime 50512
line 7000, partTime 5959, wholeTime 56472
line 8000, partTime 1076, wholeTime 57548
line 9000, partTime 42447, wholeTime 99996
line 10000, partTime 30544, wholeTime 130541
line 11000, partTime 40029, wholeTime 170570
line 12000, partTime 28610, wholeTime 199181
line 13000, partTime 25178, wholeTime 224359
line 14000, partTime 30591, wholeTime 254951
line 15000, partTime 40513, wholeTime 295464
line 16000, partTime 22245, wholeTime 317710
line 17000, partTime 9984, wholeTime 327694
line 18000, partTime 6177, wholeTime 333871
line 19000, partTime 16801, wholeTime 350673
line 20000, partTime 34663, wholeTime 385336
line 21000, partTime 28158, wholeTime 413494
line 22000, partTime 38656, wholeTime 452151
line 23000, partTime 28376, wholeTime 480527
line 24000, partTime 12386, wholeTime 492914
line 25000, partTime 7550, wholeTime 500464
line 26000, partTime 18189, wholeTime 518654
line 27000, partTime 13650, wholeTime 532304
line 28000, partTime 10826, wholeTime 543130
line 29000, partTime 2464, wholeTime 545595
line 30000, partTime 9048, wholeTime 554643
line 31000, partTime 2012, wholeTime 556655
line 32000, partTime 2137, wholeTime 558792
line 33000, partTime 21387, wholeTime 580180
line 34000, partTime 207870, wholeTime 788050
line 35000, partTime 131711, wholeTime 919762
line 36000, partTime 132132, wholeTime 1051894
line 37000, partTime 98326, wholeTime 1150221
line 38000, partTime 161507, wholeTime 1311728
line 39000, partTime 63835, wholeTime 1375563
line 40000, partTime 58500, wholeTime 1434063
line 41000, partTime 46644, wholeTime 1480707
line 42000, partTime 188666, wholeTime 1669374
line 43000, partTime 69638, wholeTime 1739013
line 44000, partTime 92632, wholeTime 1831646
line 45000, partTime 157139, wholeTime 1988785
line 46000, partTime 59966, wholeTime 2048751
line 47000, partTime 83382, wholeTime 2132133
line 48000, partTime 49062, wholeTime 2181195
line 49000, partTime 35802, wholeTime 2216997
line 50000, partTime 71026, wholeTime 2288024
line 51000, partTime 37112, wholeTime 2325137
line 52000, partTime 166733, wholeTime 2491870
line 53000, partTime 165906, wholeTime 2657776
line 54000, partTime 64911, wholeTime 2722688
line 55000, partTime 142677, wholeTime 2865366
line 56000, partTime 41995, wholeTime 2907361
line 57000, partTime 77766, wholeTime 2985127
line 58000, partTime 53242, wholeTime 3038370
line 59000, partTime 47174, wholeTime 3085545
line 60000, partTime 22214, wholeTime 3107759
line 61000, partTime 23306, wholeTime 3131065
line 62000, partTime 17440, wholeTime 3148506
line 63000, partTime 85363, wholeTime 3233870
line 64000, partTime 32042, wholeTime 3265912
line 65000, partTime 5272, wholeTime 3271185
line 66000, partTime 1825, wholeTime 3273010
line 67000, partTime 18158, wholeTime 3291168
line 68000, partTime 13852, wholeTime 3305021
line 69000, partTime 51745, wholeTime 3356767
line 70000, partTime 16738, wholeTime 3373505
line 71000, partTime 14102, wholeTime 3387608
line 72000, partTime 16660, wholeTime 3404269
line 73000, partTime 10062, wholeTime 3414331
line 74000, partTime 20124, wholeTime 3434455
line 75000, partTime 231925, wholeTime 3666380
line 76000, partTime 113053, wholeTime 3779434
line 77000, partTime 93646, wholeTime 3873081
line 78000, partTime 122787, wholeTime 3995869
line 79000, partTime 50996, wholeTime 4046865
line 80000, partTime 18751, wholeTime 4065616
line 81000, partTime 133271, wholeTime 4198887
line 82000, partTime 42650, wholeTime 4241538
line 83000, partTime 41199, wholeTime 4282737
line 84000, partTime 76486, wholeTime 4359224
line 85000, partTime 40482, wholeTime 4399706
line 86000, partTime 22698, wholeTime 4422404
line 87000, partTime 107936, wholeTime 4530341
line 88000, partTime 151803, wholeTime 4682145
line 89000, partTime 60949, wholeTime 4743094
line 90000, partTime 46410, wholeTime 4789504
line 91000, partTime 80480, wholeTime 4869985
line 92000, partTime 29468, wholeTime 4899453
line 93000, partTime 21200, wholeTime 4920654
line 94000, partTime 31324, wholeTime 4951979
line 95000, partTime 14071, wholeTime 4966050
line 96000, partTime 19640, wholeTime 4985690
line 97000, partTime 7378, wholeTime 4993069
line 98000, partTime 6864, wholeTime 4999933
line 99000, partTime 3541, wholeTime 5003474
line 100000, partTime 13494, wholeTime 5016968
line 101000, partTime 193892, wholeTime 5210861
line 102000, partTime 36192, wholeTime 5247053
line 103000, partTime 52665, wholeTime 5299719
line 104000, partTime 20654, wholeTime 5320373
line 105000, partTime 104114, wholeTime 5424488
line 106000, partTime 17706, wholeTime 5442194
line 107000, partTime 20514, wholeTime 5462708
line 108000, partTime 22947, wholeTime 5485656
line 109000, partTime 60122, wholeTime 5545778
line 110000, partTime 24960, wholeTime 5570738
line 111000, partTime 20404, wholeTime 5591143
line 112000, partTime 33165, wholeTime 5624309
line 113000, partTime 16224, wholeTime 5640533
line 114000, partTime 561, wholeTime 5641094
line 115000, partTime 249, wholeTime 5641344
line 116000, partTime 57751, wholeTime 5699095
line 117000, partTime 25131, wholeTime 5724227
line 118000, partTime 23602, wholeTime 5747830
line 119000, partTime 10514, wholeTime 5758344
line 120000, partTime 42010, wholeTime 5800355
line 121000, partTime 16286, wholeTime 5816641
line 122000, partTime 4555, wholeTime 5821197
line 123000, partTime 1747, wholeTime 5822944
line 124000, partTime 21060, wholeTime 5844004
line 125000, partTime 9937, wholeTime 5853941
line 126000, partTime 6614, wholeTime 5860555
line 127000, partTime 1294, wholeTime 5861850
line 128000, partTime 858, wholeTime 5862708
line 129000, partTime 436, wholeTime 5863145
line 130000, partTime 327, wholeTime 5863473
line 131000, partTime 187, wholeTime 5863660
line 131328, partTime 46, wholeTime 5863707
Lines checked 1094
Paths count 15733049
Colors used 8
