thisProcessorNumber 68 out of 120
line 1000, partTime 10296, wholeTime 10296
line 2000, partTime 9500, wholeTime 19796
line 3000, partTime 33296, wholeTime 53093
line 4000, partTime 30421, wholeTime 83515
line 5000, partTime 25171, wholeTime 108687
line 6000, partTime 22812, wholeTime 131500
line 7000, partTime 19578, wholeTime 151078
line 8000, partTime 3187, wholeTime 154265
line 9000, partTime 137671, wholeTime 291937
line 10000, partTime 121984, wholeTime 413921
line 11000, partTime 144437, wholeTime 558359
line 12000, partTime 85453, wholeTime 643812
line 13000, partTime 81140, wholeTime 724953
line 14000, partTime 162781, wholeTime 887734
line 15000, partTime 91515, wholeTime 979250
line 16000, partTime 58406, wholeTime 1037656
line 17000, partTime 75562, wholeTime 1113218
line 18000, partTime 30187, wholeTime 1143406
line 19000, partTime 77531, wholeTime 1220937
line 20000, partTime 111671, wholeTime 1332609
line 21000, partTime 50921, wholeTime 1383531
line 22000, partTime 48093, wholeTime 1431625
line 23000, partTime 65812, wholeTime 1497437
line 24000, partTime 40093, wholeTime 1537531
line 25000, partTime 22453, wholeTime 1559984
line 26000, partTime 64531, wholeTime 1624515
line 27000, partTime 12250, wholeTime 1636765
line 28000, partTime 33578, wholeTime 1670343
line 29000, partTime 32562, wholeTime 1702906
line 30000, partTime 25140, wholeTime 1728046
line 31000, partTime 16062, wholeTime 1744109
line 32000, partTime 12437, wholeTime 1756546
line 33000, partTime 63718, wholeTime 1820265
line 34000, partTime 619406, wholeTime 2439671
line 35000, partTime 469140, wholeTime 2908812
line 36000, partTime 428437, wholeTime 3337250
line 37000, partTime 180015, wholeTime 3517265
line 38000, partTime 732421, wholeTime 4249687
line 39000, partTime 142609, wholeTime 4392296
line 40000, partTime 182843, wholeTime 4575140
line 41000, partTime 70578, wholeTime 4645718
line 42000, partTime 322750, wholeTime 4968468
line 43000, partTime 393953, wholeTime 5362421
line 44000, partTime 167796, wholeTime 5530218
line 45000, partTime 368343, wholeTime 5898562
line 46000, partTime 86531, wholeTime 5985093
line 47000, partTime 311343, wholeTime 6296437
line 48000, partTime 224343, wholeTime 6520781
line 49000, partTime 73531, wholeTime 6594312
line 50000, partTime 123906, wholeTime 6718218
line 51000, partTime 65015, wholeTime 6783234
line 52000, partTime 232625, wholeTime 7015859
line 53000, partTime 501765, wholeTime 7517625
line 54000, partTime 144640, wholeTime 7662265
line 55000, partTime 307578, wholeTime 7969843
line 56000, partTime 113296, wholeTime 8083140
line 57000, partTime 198500, wholeTime 8281640
line 58000, partTime 244000, wholeTime 8525640
line 59000, partTime 151031, wholeTime 8676671
line 60000, partTime 82125, wholeTime 8758796
line 61000, partTime 69671, wholeTime 8828468
line 62000, partTime 55046, wholeTime 8883515
line 63000, partTime 145515, wholeTime 9029031
line 64000, partTime 98671, wholeTime 9127703
line 65000, partTime 6921, wholeTime 9134625
line 66000, partTime 29062, wholeTime 9163687
line 67000, partTime 20218, wholeTime 9183906
line 68000, partTime 31562, wholeTime 9215468
line 69000, partTime 150203, wholeTime 9365671
line 70000, partTime 59750, wholeTime 9425421
line 71000, partTime 29671, wholeTime 9455093
line 72000, partTime 48437, wholeTime 9503531
line 73000, partTime 15296, wholeTime 9518828
line 74000, partTime 228250, wholeTime 9747078
line 75000, partTime 717531, wholeTime 10464609
line 76000, partTime 515796, wholeTime 10980406
line 77000, partTime 266531, wholeTime 11246937
line 78000, partTime 488546, wholeTime 11735484
line 79000, partTime 109375, wholeTime 11844859
line 80000, partTime 108812, wholeTime 11953671
line 81000, partTime 442515, wholeTime 12396187
line 82000, partTime 270781, wholeTime 12666968
line 83000, partTime 113546, wholeTime 12780515
line 84000, partTime 187281, wholeTime 12967796
line 85000, partTime 71218, wholeTime 13039015
line 86000, partTime 44875, wholeTime 13083890
line 87000, partTime 156437, wholeTime 13240328
line 88000, partTime 435015, wholeTime 13675343
line 89000, partTime 215750, wholeTime 13891093
line 90000, partTime 103859, wholeTime 13994953
line 91000, partTime 268750, wholeTime 14263703
line 92000, partTime 63343, wholeTime 14327046
line 93000, partTime 51109, wholeTime 14378156
line 94000, partTime 135062, wholeTime 14513218
line 95000, partTime 88437, wholeTime 14601656
line 96000, partTime 123531, wholeTime 14725187
line 97000, partTime 17578, wholeTime 14742765
line 98000, partTime 39968, wholeTime 14782734
line 99000, partTime 3671, wholeTime 14786406
line 100000, partTime 21093, wholeTime 14807500
line 101000, partTime 421750, wholeTime 15229250
line 102000, partTime 196515, wholeTime 15425765
line 103000, partTime 335937, wholeTime 15761703
line 104000, partTime 24250, wholeTime 15785953
line 105000, partTime 264468, wholeTime 16050421
line 106000, partTime 55359, wholeTime 16105781
line 107000, partTime 38828, wholeTime 16144609
line 108000, partTime 75140, wholeTime 16219750
line 109000, partTime 98109, wholeTime 16317859
line 110000, partTime 45734, wholeTime 16363593
line 111000, partTime 17421, wholeTime 16381015
line 112000, partTime 68281, wholeTime 16449296
line 113000, partTime 31687, wholeTime 16480984
line 114000, partTime 1015, wholeTime 16482000
line 115000, partTime 3343, wholeTime 16485343
line 116000, partTime 103796, wholeTime 16589140
line 117000, partTime 70250, wholeTime 16659390
line 118000, partTime 73718, wholeTime 16733109
line 119000, partTime 14156, wholeTime 16747265
line 120000, partTime 107765, wholeTime 16855031
line 121000, partTime 26421, wholeTime 16881453
line 122000, partTime 6031, wholeTime 16887484
line 123000, partTime 7156, wholeTime 16894640
line 124000, partTime 32250, wholeTime 16926890
line 125000, partTime 43093, wholeTime 16969984
line 126000, partTime 13125, wholeTime 16983109
line 127000, partTime 875, wholeTime 16983984
line 128000, partTime 7656, wholeTime 16991640
line 129000, partTime 500, wholeTime 16992140
line 130000, partTime 500, wholeTime 16992640
line 131000, partTime 390, wholeTime 16993031
line 131328, partTime 46, wholeTime 16993078
Lines checked 1094
Paths count 16504356
Colors used 8
