thisProcessorNumber 71 out of 120
line 1000, partTime 2144, wholeTime 2144
line 2000, partTime 3622, wholeTime 5766
line 3000, partTime 11673, wholeTime 17439
line 4000, partTime 11864, wholeTime 29303
line 5000, partTime 8945, wholeTime 38249
line 6000, partTime 14183, wholeTime 52433
line 7000, partTime 4576, wholeTime 57009
line 8000, partTime 1374, wholeTime 58384
line 9000, partTime 57411, wholeTime 115795
line 10000, partTime 60478, wholeTime 176274
line 11000, partTime 45364, wholeTime 221639
line 12000, partTime 16743, wholeTime 238382
line 13000, partTime 20086, wholeTime 258469
line 14000, partTime 54818, wholeTime 313288
line 15000, partTime 21568, wholeTime 334856
line 16000, partTime 12510, wholeTime 347367
line 17000, partTime 26625, wholeTime 373992
line 18000, partTime 13962, wholeTime 387955
line 19000, partTime 26143, wholeTime 414098
line 20000, partTime 43057, wholeTime 457156
line 21000, partTime 35543, wholeTime 492699
line 22000, partTime 25745, wholeTime 518445
line 23000, partTime 25196, wholeTime 543641
line 24000, partTime 7519, wholeTime 551160
line 25000, partTime 6191, wholeTime 557352
line 26000, partTime 30063, wholeTime 587415
line 27000, partTime 16715, wholeTime 604131
line 28000, partTime 19996, wholeTime 624127
line 29000, partTime 14443, wholeTime 638571
line 30000, partTime 12690, wholeTime 651262
line 31000, partTime 4504, wholeTime 655766
line 32000, partTime 3182, wholeTime 658949
line 33000, partTime 11625, wholeTime 670575
line 34000, partTime 184129, wholeTime 854704
line 35000, partTime 178723, wholeTime 1033427
line 36000, partTime 229812, wholeTime 1263240
line 37000, partTime 103981, wholeTime 1367221
line 38000, partTime 231050, wholeTime 1598272
line 39000, partTime 79230, wholeTime 1677503
line 40000, partTime 43983, wholeTime 1721486
line 41000, partTime 68469, wholeTime 1789955
line 42000, partTime 51538, wholeTime 1841494
line 43000, partTime 135457, wholeTime 1976952
line 44000, partTime 111518, wholeTime 2088470
line 45000, partTime 107428, wholeTime 2195899
line 46000, partTime 44830, wholeTime 2240730
line 47000, partTime 61516, wholeTime 2302246
line 48000, partTime 86632, wholeTime 2388878
line 49000, partTime 34314, wholeTime 2423192
line 50000, partTime 31457, wholeTime 2454650
line 51000, partTime 27090, wholeTime 2481740
line 52000, partTime 72400, wholeTime 2554140
line 53000, partTime 164189, wholeTime 2718329
line 54000, partTime 100101, wholeTime 2818431
line 55000, partTime 145066, wholeTime 2963497
line 56000, partTime 40796, wholeTime 3004294
line 57000, partTime 38114, wholeTime 3042409
line 58000, partTime 95775, wholeTime 3138184
line 59000, partTime 51821, wholeTime 3190006
line 60000, partTime 55390, wholeTime 3245397
line 61000, partTime 46469, wholeTime 3291866
line 62000, partTime 20537, wholeTime 3312403
line 63000, partTime 40116, wholeTime 3352520
line 64000, partTime 17075, wholeTime 3369595
line 65000, partTime 15080, wholeTime 3384675
line 66000, partTime 57631, wholeTime 3442306
line 67000, partTime 4803, wholeTime 3447109
line 68000, partTime 8088, wholeTime 3455198
line 69000, partTime 49952, wholeTime 3505151
line 70000, partTime 19296, wholeTime 3524447
line 71000, partTime 18195, wholeTime 3542642
line 72000, partTime 18418, wholeTime 3561060
line 73000, partTime 5129, wholeTime 3566190
line 74000, partTime 57961, wholeTime 3624152
line 75000, partTime 228027, wholeTime 3852179
line 76000, partTime 109012, wholeTime 3961192
line 77000, partTime 130850, wholeTime 4092042
line 78000, partTime 157745, wholeTime 4249787
line 79000, partTime 92457, wholeTime 4342245
line 80000, partTime 31166, wholeTime 4373411
line 81000, partTime 90744, wholeTime 4464156
line 82000, partTime 88881, wholeTime 4553038
line 83000, partTime 50686, wholeTime 4603724
line 84000, partTime 40406, wholeTime 4644131
line 85000, partTime 29572, wholeTime 4673704
line 86000, partTime 27707, wholeTime 4701411
line 87000, partTime 21768, wholeTime 4723179
line 88000, partTime 138799, wholeTime 4861978
line 89000, partTime 49297, wholeTime 4911276
line 90000, partTime 65329, wholeTime 4976605
line 91000, partTime 61777, wholeTime 5038382
line 92000, partTime 70037, wholeTime 5108419
line 93000, partTime 23070, wholeTime 5131490
line 94000, partTime 49911, wholeTime 5181401
line 95000, partTime 38882, wholeTime 5220284
line 96000, partTime 25377, wholeTime 5245661
line 97000, partTime 13785, wholeTime 5259447
line 98000, partTime 25754, wholeTime 5285202
line 99000, partTime 17952, wholeTime 5303154
line 100000, partTime 9314, wholeTime 5312468
line 101000, partTime 74813, wholeTime 5387281
line 102000, partTime 86695, wholeTime 5473977
line 103000, partTime 80097, wholeTime 5554074
line 104000, partTime 27107, wholeTime 5581181
line 105000, partTime 70340, wholeTime 5651521
line 106000, partTime 38766, wholeTime 5690287
line 107000, partTime 10090, wholeTime 5700377
line 108000, partTime 17928, wholeTime 5718305
line 109000, partTime 38578, wholeTime 5756884
line 110000, partTime 22717, wholeTime 5779601
line 111000, partTime 20672, wholeTime 5800273
line 112000, partTime 14838, wholeTime 5815111
line 113000, partTime 34387, wholeTime 5849499
line 114000, partTime 2802, wholeTime 5852302
line 115000, partTime 1070, wholeTime 5853373
line 116000, partTime 30867, wholeTime 5884241
line 117000, partTime 35779, wholeTime 5920021
line 118000, partTime 18870, wholeTime 5938891
line 119000, partTime 28147, wholeTime 5967039
line 120000, partTime 9779, wholeTime 5976818
line 121000, partTime 27310, wholeTime 6004128
line 122000, partTime 6654, wholeTime 6010782
line 123000, partTime 2716, wholeTime 6013498
