thisProcessorNumber 2 out of 120
line 1000, partTime 9533, wholeTime 9533
line 2000, partTime 6404, wholeTime 15938
line 3000, partTime 23777, wholeTime 39716
line 4000, partTime 42427, wholeTime 82143
line 5000, partTime 38696, wholeTime 120839
line 6000, partTime 13616, wholeTime 134456
line 7000, partTime 18724, wholeTime 153180
line 8000, partTime 2844, wholeTime 156025
line 9000, partTime 161587, wholeTime 317612
line 10000, partTime 85073, wholeTime 402686
line 11000, partTime 91025, wholeTime 493711
line 12000, partTime 110239, wholeTime 603951
line 13000, partTime 114212, wholeTime 718164
line 14000, partTime 118907, wholeTime 837071
line 15000, partTime 26353, wholeTime 863424
line 16000, partTime 71358, wholeTime 934782
line 17000, partTime 36694, wholeTime 971477
line 18000, partTime 44337, wholeTime 1015815
line 19000, partTime 50523, wholeTime 1066338
line 20000, partTime 98173, wholeTime 1164511
line 21000, partTime 35835, wholeTime 1200346
line 22000, partTime 89406, wholeTime 1289753
line 23000, partTime 75913, wholeTime 1365667
line 24000, partTime 27634, wholeTime 1393301
line 25000, partTime 48676, wholeTime 1441977
line 26000, partTime 49207, wholeTime 1491184
line 27000, partTime 66213, wholeTime 1557397
line 28000, partTime 24748, wholeTime 1582146
line 29000, partTime 6799, wholeTime 1588946
line 30000, partTime 14150, wholeTime 1603096
line 31000, partTime 14422, wholeTime 1617519
line 32000, partTime 6154, wholeTime 1623674
line 33000, partTime 2858, wholeTime 1626532
line 34000, partTime 585261, wholeTime 2211794
line 35000, partTime 445077, wholeTime 2656871
line 36000, partTime 259480, wholeTime 2916352
line 37000, partTime 460364, wholeTime 3376717
line 38000, partTime 612152, wholeTime 3988870
line 39000, partTime 289947, wholeTime 4278817
line 40000, partTime 270991, wholeTime 4549809
line 41000, partTime 107593, wholeTime 4657402
line 42000, partTime 476567, wholeTime 5133970
line 43000, partTime 263455, wholeTime 5397426
line 44000, partTime 159157, wholeTime 5556583
line 45000, partTime 150848, wholeTime 5707432
line 46000, partTime 183818, wholeTime 5891250
line 47000, partTime 285382, wholeTime 6176632
line 48000, partTime 125916, wholeTime 6302549
line 49000, partTime 106227, wholeTime 6408776
line 50000, partTime 26415, wholeTime 6435192
line 51000, partTime 85285, wholeTime 6520478
line 52000, partTime 365129, wholeTime 6885607
line 53000, partTime 491939, wholeTime 7377547
line 54000, partTime 80527, wholeTime 7458075
line 55000, partTime 286574, wholeTime 7744650
line 56000, partTime 161805, wholeTime 7906455
line 57000, partTime 305927, wholeTime 8212383
line 58000, partTime 166976, wholeTime 8379359
line 59000, partTime 160227, wholeTime 8539587
line 60000, partTime 55283, wholeTime 8594871
line 61000, partTime 50191, wholeTime 8645062
line 62000, partTime 77200, wholeTime 8722263
line 63000, partTime 450358, wholeTime 9172621
line 64000, partTime 209229, wholeTime 9381851
line 65000, partTime 40709, wholeTime 9422560
line 66000, partTime 36319, wholeTime 9458879
line 67000, partTime 64078, wholeTime 9522958
line 68000, partTime 64469, wholeTime 9587427
line 69000, partTime 217604, wholeTime 9805032
line 70000, partTime 79496, wholeTime 9884529
line 71000, partTime 18214, wholeTime 9902744
line 72000, partTime 22956, wholeTime 9925700
line 73000, partTime 29729, wholeTime 9955430
line 74000, partTime 20526, wholeTime 9975957
line 75000, partTime 659635, wholeTime 10635592
line 76000, partTime 337353, wholeTime 10972945
line 77000, partTime 155137, wholeTime 11128083
line 78000, partTime 221916, wholeTime 11349999
line 79000, partTime 291493, wholeTime 11641493
line 80000, partTime 95055, wholeTime 11736549
line 81000, partTime 469998, wholeTime 12206547
line 82000, partTime 155140, wholeTime 12361688
line 83000, partTime 151794, wholeTime 12513482
line 84000, partTime 143589, wholeTime 12657071
line 85000, partTime 74315, wholeTime 12731386
line 86000, partTime 19182, wholeTime 12750569
line 87000, partTime 223047, wholeTime 12973617
line 88000, partTime 524221, wholeTime 13497839
line 89000, partTime 372630, wholeTime 13870470
line 90000, partTime 102444, wholeTime 13972914
line 91000, partTime 208787, wholeTime 14181702
line 92000, partTime 71539, wholeTime 14253241
line 93000, partTime 43302, wholeTime 14296543
line 94000, partTime 188004, wholeTime 14484548
line 95000, partTime 23713, wholeTime 14508262
line 96000, partTime 56533, wholeTime 14564795
line 97000, partTime 25065, wholeTime 14589861
line 98000, partTime 35444, wholeTime 14625306
line 99000, partTime 45926, wholeTime 14671232
line 100000, partTime 20292, wholeTime 14691524
line 101000, partTime 212590, wholeTime 14904115
line 102000, partTime 124180, wholeTime 15028296
line 103000, partTime 231976, wholeTime 15260272
line 104000, partTime 69608, wholeTime 15329881
line 105000, partTime 119815, wholeTime 15449696
line 106000, partTime 101038, wholeTime 15550735
line 107000, partTime 83823, wholeTime 15634559
line 108000, partTime 52518, wholeTime 15687078
line 109000, partTime 92087, wholeTime 15779165
line 110000, partTime 114756, wholeTime 15893922
line 111000, partTime 78474, wholeTime 15972397
line 112000, partTime 33648, wholeTime 16006045
line 113000, partTime 26540, wholeTime 16032586
line 114000, partTime 7076, wholeTime 16039662
line 115000, partTime 796, wholeTime 16040459
line 116000, partTime 59479, wholeTime 16099939
line 117000, partTime 10919, wholeTime 16110858
line 118000, partTime 75654, wholeTime 16186512
line 119000, partTime 10638, wholeTime 16197150
line 120000, partTime 47589, wholeTime 16244740
line 121000, partTime 12276, wholeTime 16257017
line 122000, partTime 21549, wholeTime 16278566
line 123000, partTime 28822, wholeTime 16307388
line 124000, partTime 44481, wholeTime 16351870
line 125000, partTime 9927, wholeTime 16361797
line 126000, partTime 16627, wholeTime 16378424
line 127000, partTime 624, wholeTime 16379049
line 128000, partTime 671, wholeTime 16379721
line 129000, partTime 906, wholeTime 16380627
line 130000, partTime 921, wholeTime 16381549
line 131000, partTime 531, wholeTime 16382080
line 131328, partTime 109, wholeTime 16382189
Lines checked 1094
Paths count 16416706
Colors used 8
