thisProcessorNumber 0 out of 120
line 1000, partTime 6982, wholeTime 6982
line 2000, partTime 8482, wholeTime 15465
line 3000, partTime 22433, wholeTime 37898
line 4000, partTime 33495, wholeTime 71393
line 5000, partTime 47235, wholeTime 118629
line 6000, partTime 12330, wholeTime 130960
line 7000, partTime 13034, wholeTime 143994
line 8000, partTime 3412, wholeTime 147407
line 9000, partTime 80052, wholeTime 227459
line 10000, partTime 115925, wholeTime 343385
line 11000, partTime 99788, wholeTime 443174
line 12000, partTime 90525, wholeTime 533700
line 13000, partTime 106053, wholeTime 639753
line 14000, partTime 88718, wholeTime 728471
line 15000, partTime 35973, wholeTime 764445
line 16000, partTime 44614, wholeTime 809060
line 17000, partTime 42552, wholeTime 851612
line 18000, partTime 38490, wholeTime 890103
line 19000, partTime 90884, wholeTime 980988
line 20000, partTime 121301, wholeTime 1102289
line 21000, partTime 54674, wholeTime 1156964
line 22000, partTime 61032, wholeTime 1217996
line 23000, partTime 100070, wholeTime 1318066
line 24000, partTime 31086, wholeTime 1349153
line 25000, partTime 32211, wholeTime 1381364
line 26000, partTime 84933, wholeTime 1466297
line 27000, partTime 46133, wholeTime 1512430
line 28000, partTime 27937, wholeTime 1540368
line 29000, partTime 5561, wholeTime 1545929
line 30000, partTime 24280, wholeTime 1570209
line 31000, partTime 15107, wholeTime 1585317
line 32000, partTime 8471, wholeTime 1593788
line 33000, partTime 1718, wholeTime 1595506
line 34000, partTime 572384, wholeTime 2167891
line 35000, partTime 322314, wholeTime 2490205
line 36000, partTime 242755, wholeTime 2732961
line 37000, partTime 338216, wholeTime 3071178
line 38000, partTime 617870, wholeTime 3689048
line 39000, partTime 190689, wholeTime 3879737
line 40000, partTime 264875, wholeTime 4144612
line 41000, partTime 142575, wholeTime 4287188
line 42000, partTime 494919, wholeTime 4782108
line 43000, partTime 255332, wholeTime 5037441
line 44000, partTime 173204, wholeTime 5210646
line 45000, partTime 157956, wholeTime 5368602
line 46000, partTime 75913, wholeTime 5444516
line 47000, partTime 355572, wholeTime 5800088
line 48000, partTime 107389, wholeTime 5907478
line 49000, partTime 172221, wholeTime 6079700
line 50000, partTime 27634, wholeTime 6107334
line 51000, partTime 26696, wholeTime 6134031
line 52000, partTime 297519, wholeTime 6431550
line 53000, partTime 360733, wholeTime 6792283
line 54000, partTime 120127, wholeTime 6912411
line 55000, partTime 429626, wholeTime 7342037
line 56000, partTime 224665, wholeTime 7566703
line 57000, partTime 225901, wholeTime 7792605
line 58000, partTime 121596, wholeTime 7914201
line 59000, partTime 110224, wholeTime 8024425
line 60000, partTime 97414, wholeTime 8121840
line 61000, partTime 56877, wholeTime 8178717
line 62000, partTime 17136, wholeTime 8195853
line 63000, partTime 406872, wholeTime 8602726
line 64000, partTime 207310, wholeTime 8810037
line 65000, partTime 74263, wholeTime 8884300
line 66000, partTime 14579, wholeTime 8898880
line 67000, partTime 107961, wholeTime 9006841
line 68000, partTime 44462, wholeTime 9051304
