thisProcessorNumber 5 out of 120
line 1000, partTime 4561, wholeTime 4561
line 2000, partTime 5170, wholeTime 9732
line 3000, partTime 39294, wholeTime 49026
line 4000, partTime 55194, wholeTime 104220
line 5000, partTime 37239, wholeTime 141460
line 6000, partTime 34067, wholeTime 175527
line 7000, partTime 24737, wholeTime 200265
line 8000, partTime 9185, wholeTime 209450
line 9000, partTime 87588, wholeTime 297039
line 10000, partTime 163461, wholeTime 460500
line 11000, partTime 133812, wholeTime 594312
line 12000, partTime 131110, wholeTime 725423
line 13000, partTime 88981, wholeTime 814404
line 14000, partTime 89213, wholeTime 903618
line 15000, partTime 68515, wholeTime 972133
line 16000, partTime 52175, wholeTime 1024308
line 17000, partTime 44587, wholeTime 1068895
line 18000, partTime 53683, wholeTime 1122579
line 19000, partTime 55507, wholeTime 1178086
line 20000, partTime 87823, wholeTime 1265909
line 21000, partTime 85870, wholeTime 1351779
line 22000, partTime 67952, wholeTime 1419732
line 23000, partTime 100418, wholeTime 1520150
line 24000, partTime 61334, wholeTime 1581485
line 25000, partTime 35623, wholeTime 1617108
line 26000, partTime 89664, wholeTime 1706773
line 27000, partTime 62907, wholeTime 1769680
line 28000, partTime 45067, wholeTime 1814747
line 29000, partTime 4170, wholeTime 1818918
line 30000, partTime 5654, wholeTime 1824573
line 31000, partTime 21682, wholeTime 1846255
line 32000, partTime 22666, wholeTime 1868922
line 33000, partTime 3342, wholeTime 1872265
line 34000, partTime 683614, wholeTime 2555880
line 35000, partTime 539653, wholeTime 3095534
line 36000, partTime 487215, wholeTime 3582749
line 37000, partTime 222476, wholeTime 3805226
line 38000, partTime 581019, wholeTime 4386245
line 39000, partTime 178326, wholeTime 4564572
line 40000, partTime 523469, wholeTime 5088041
line 41000, partTime 86388, wholeTime 5174429
line 42000, partTime 333547, wholeTime 5507976
line 43000, partTime 258316, wholeTime 5766293
line 44000, partTime 304817, wholeTime 6071110
line 45000, partTime 392106, wholeTime 6463217
line 46000, partTime 135345, wholeTime 6598562
line 47000, partTime 245101, wholeTime 6843664
line 48000, partTime 134640, wholeTime 6978304
line 49000, partTime 139569, wholeTime 7117874
line 50000, partTime 152698, wholeTime 7270572
line 51000, partTime 19245, wholeTime 7289818
line 52000, partTime 470687, wholeTime 7760505
line 53000, partTime 389455, wholeTime 8149960
line 54000, partTime 198468, wholeTime 8348429
line 55000, partTime 442708, wholeTime 8791137
line 56000, partTime 149980, wholeTime 8941117
line 57000, partTime 218350, wholeTime 9159468
line 58000, partTime 235660, wholeTime 9395129
line 59000, partTime 96555, wholeTime 9491684
line 60000, partTime 143731, wholeTime 9635416
line 61000, partTime 49082, wholeTime 9684498
line 62000, partTime 54127, wholeTime 9738626
line 63000, partTime 321788, wholeTime 10060414
line 64000, partTime 130388, wholeTime 10190803
line 65000, partTime 81108, wholeTime 10271912
line 66000, partTime 169756, wholeTime 10441669
line 67000, partTime 42880, wholeTime 10484549
line 68000, partTime 59673, wholeTime 10544222
line 69000, partTime 225681, wholeTime 10769904
line 70000, partTime 32168, wholeTime 10802072
line 71000, partTime 33871, wholeTime 10835944
line 72000, partTime 90809, wholeTime 10926753
line 73000, partTime 10544, wholeTime 10937297
line 74000, partTime 14965, wholeTime 10952263
line 75000, partTime 682029, wholeTime 11634292
line 76000, partTime 431413, wholeTime 12065706
line 77000, partTime 399872, wholeTime 12465578
line 78000, partTime 499072, wholeTime 12964650
line 79000, partTime 95586, wholeTime 13060237
line 80000, partTime 176143, wholeTime 13236380
line 81000, partTime 411329, wholeTime 13647710
line 82000, partTime 75747, wholeTime 13723457
line 83000, partTime 179348, wholeTime 13902806
line 84000, partTime 143138, wholeTime 14045944
line 85000, partTime 97211, wholeTime 14143155
line 86000, partTime 38468, wholeTime 14181624
line 87000, partTime 117606, wholeTime 14299230
line 88000, partTime 531464, wholeTime 14830695
line 89000, partTime 188681, wholeTime 15019376
line 90000, partTime 191845, wholeTime 15211221
line 91000, partTime 408138, wholeTime 15619359
line 92000, partTime 29696, wholeTime 15649056
line 93000, partTime 58783, wholeTime 15707839
line 94000, partTime 86323, wholeTime 15794162
line 95000, partTime 45149, wholeTime 15839312
line 96000, partTime 113386, wholeTime 15952698
line 97000, partTime 53784, wholeTime 16006482
line 98000, partTime 106812, wholeTime 16113295
line 99000, partTime 32492, wholeTime 16145787
line 100000, partTime 17917, wholeTime 16163705
line 101000, partTime 117032, wholeTime 16280738
line 102000, partTime 230492, wholeTime 16511231
line 103000, partTime 63293, wholeTime 16574524
line 104000, partTime 98797, wholeTime 16673321
line 105000, partTime 87705, wholeTime 16761027
line 106000, partTime 41097, wholeTime 16802124
line 107000, partTime 22023, wholeTime 16824148
line 108000, partTime 12591, wholeTime 16836739
line 109000, partTime 57677, wholeTime 16894417
line 110000, partTime 27829, wholeTime 16922246
line 111000, partTime 19121, wholeTime 16941368
line 112000, partTime 32699, wholeTime 16974067
line 113000, partTime 23653, wholeTime 16997720
line 114000, partTime 1421, wholeTime 16999142
line 115000, partTime 343, wholeTime 16999485
line 116000, partTime 12538, wholeTime 17012024
line 117000, partTime 11082, wholeTime 17023106
line 118000, partTime 16007, wholeTime 17039114
line 119000, partTime 13881, wholeTime 17052996
line 120000, partTime 42406, wholeTime 17095402
line 121000, partTime 10778, wholeTime 17106180
line 122000, partTime 4811, wholeTime 17110991
line 123000, partTime 5376, wholeTime 17116368
line 124000, partTime 11456, wholeTime 17127824
line 125000, partTime 12998, wholeTime 17140823
line 126000, partTime 12034, wholeTime 17152857
line 127000, partTime 5065, wholeTime 17157923
line 128000, partTime 11684, wholeTime 17169608
line 129000, partTime 9197, wholeTime 17178806
line 130000, partTime 296, wholeTime 17179103
line 131000, partTime 265, wholeTime 17179368
line 131328, partTime 62, wholeTime 17179431
Lines checked 1094
Paths count 17659310
Colors used 8
