thisProcessorNumber 1 out of 4
line 1000, partTime 1398, wholeTime 1398
line 2000, partTime 2401, wholeTime 3800
line 3000, partTime 9688, wholeTime 13489
line 4000, partTime 9356, wholeTime 22846
line 5000, partTime 8811, wholeTime 31657
line 6000, partTime 11351, wholeTime 43008
line 7000, partTime 9405, wholeTime 52414
line 8000, partTime 7700, wholeTime 60114
line 9000, partTime 44662, wholeTime 104777
line 10000, partTime 65987, wholeTime 170764
line 11000, partTime 63576, wholeTime 234340
line 12000, partTime 67477, wholeTime 301818
line 13000, partTime 51970, wholeTime 353789
line 14000, partTime 69884, wholeTime 423674
line 15000, partTime 46078, wholeTime 469752
line 16000, partTime 61272, wholeTime 531024
line 17000, partTime 56872, wholeTime 587897
line 18000, partTime 47272, wholeTime 635170
line 19000, partTime 50298, wholeTime 685469
line 20000, partTime 94065, wholeTime 779534
line 21000, partTime 49574, wholeTime 829109
line 22000, partTime 91142, wholeTime 920251
line 23000, partTime 79654, wholeTime 999905
line 24000, partTime 47789, wholeTime 1047694
line 25000, partTime 60927, wholeTime 1108621
line 26000, partTime 51492, wholeTime 1160114
line 27000, partTime 81081, wholeTime 1241196
line 28000, partTime 29061, wholeTime 1270257
line 29000, partTime 55535, wholeTime 1325793
line 30000, partTime 31809, wholeTime 1357602
line 31000, partTime 44594, wholeTime 1402197
line 32000, partTime 23503, wholeTime 1425700
line 33000, partTime 26484, wholeTime 1452184
line 34000, partTime 276236, wholeTime 1728421
line 35000, partTime 484730, wholeTime 2213151
line 36000, partTime 303711, wholeTime 2516863
line 37000, partTime 416562, wholeTime 2933425
line 38000, partTime 326049, wholeTime 3259475
line 39000, partTime 397557, wholeTime 3657032
line 40000, partTime 306670, wholeTime 3963702
line 41000, partTime 318048, wholeTime 4281751
line 42000, partTime 258038, wholeTime 4539789
line 43000, partTime 301361, wholeTime 4841151
line 44000, partTime 429976, wholeTime 5271127
line 45000, partTime 245005, wholeTime 5516132
