thisProcessorNumber 0 out of 4
line 1000, partTime 1311, wholeTime 1311
line 2000, partTime 1987, wholeTime 3298
line 3000, partTime 9051, wholeTime 12349
line 4000, partTime 8248, wholeTime 20598
line 5000, partTime 9320, wholeTime 29918
line 6000, partTime 10547, wholeTime 40466
line 7000, partTime 8516, wholeTime 48983
line 8000, partTime 6144, wholeTime 55127
line 9000, partTime 47628, wholeTime 102756
line 10000, partTime 56340, wholeTime 159096
line 11000, partTime 60249, wholeTime 219346
line 12000, partTime 45748, wholeTime 265094
line 13000, partTime 46362, wholeTime 311456
line 14000, partTime 63273, wholeTime 374729
line 15000, partTime 55427, wholeTime 430157
line 16000, partTime 39287, wholeTime 469444
line 17000, partTime 58152, wholeTime 527597
line 18000, partTime 34698, wholeTime 562295
line 19000, partTime 42493, wholeTime 604789
line 20000, partTime 88087, wholeTime 692877
line 21000, partTime 69341, wholeTime 762218
line 22000, partTime 61206, wholeTime 823425
line 23000, partTime 76536, wholeTime 899962
line 24000, partTime 57922, wholeTime 957884
line 25000, partTime 49121, wholeTime 1007006
line 26000, partTime 66495, wholeTime 1073501
line 27000, partTime 68712, wholeTime 1142213
line 28000, partTime 51499, wholeTime 1193713
line 29000, partTime 41778, wholeTime 1235491
line 30000, partTime 36389, wholeTime 1271881
line 31000, partTime 32645, wholeTime 1304527
line 32000, partTime 19760, wholeTime 1324287
line 33000, partTime 21071, wholeTime 1345359
line 34000, partTime 383604, wholeTime 1728963
line 35000, partTime 376827, wholeTime 2105791
line 36000, partTime 297095, wholeTime 2402887
line 37000, partTime 285294, wholeTime 2688181
line 38000, partTime 349848, wholeTime 3038030
line 39000, partTime 292496, wholeTime 3330527
line 40000, partTime 231300, wholeTime 3561828
line 41000, partTime 314377, wholeTime 3876205
line 42000, partTime 175400, wholeTime 4051606
line 43000, partTime 421103, wholeTime 4472709
line 44000, partTime 330179, wholeTime 4802888
line 45000, partTime 250927, wholeTime 5053816
line 46000, partTime 258940, wholeTime 5312756
line 47000, partTime 189402, wholeTime 5502159
