thisProcessorNumber 50 out of 120
line 1000, partTime 6034, wholeTime 6034
line 2000, partTime 4226, wholeTime 10260
line 3000, partTime 27623, wholeTime 37883
line 4000, partTime 12994, wholeTime 50877
line 5000, partTime 17029, wholeTime 67907
line 6000, partTime 10549, wholeTime 78457
line 7000, partTime 12339, wholeTime 90796
line 8000, partTime 1780, wholeTime 92576
line 9000, partTime 37226, wholeTime 129802
line 10000, partTime 16620, wholeTime 146423
line 11000, partTime 57493, wholeTime 203916
line 12000, partTime 19228, wholeTime 223145
line 13000, partTime 12377, wholeTime 235522
line 14000, partTime 68885, wholeTime 304407
line 15000, partTime 33366, wholeTime 337774
line 16000, partTime 49578, wholeTime 387353
line 17000, partTime 26804, wholeTime 414157
line 18000, partTime 5580, wholeTime 419738
line 19000, partTime 21419, wholeTime 441158
line 20000, partTime 39111, wholeTime 480269
line 21000, partTime 21974, wholeTime 502244
line 22000, partTime 32378, wholeTime 534622
line 23000, partTime 23573, wholeTime 558196
line 24000, partTime 22852, wholeTime 581048
line 25000, partTime 13390, wholeTime 594439
line 26000, partTime 33404, wholeTime 627843
line 27000, partTime 21460, wholeTime 649304
line 28000, partTime 14594, wholeTime 663898
line 29000, partTime 10598, wholeTime 674497
line 30000, partTime 16457, wholeTime 690954
line 31000, partTime 5705, wholeTime 696660
line 32000, partTime 2070, wholeTime 698731
line 33000, partTime 21947, wholeTime 720678
line 34000, partTime 247829, wholeTime 968508
line 35000, partTime 248382, wholeTime 1216890
line 36000, partTime 167974, wholeTime 1384865
line 37000, partTime 37703, wholeTime 1422569
line 38000, partTime 110229, wholeTime 1532798
line 39000, partTime 271619, wholeTime 1804418
line 40000, partTime 77531, wholeTime 1881949
line 41000, partTime 41910, wholeTime 1923860
line 42000, partTime 204557, wholeTime 2128417
line 43000, partTime 164570, wholeTime 2292988
line 44000, partTime 57447, wholeTime 2350435
line 45000, partTime 135659, wholeTime 2486095
line 46000, partTime 59841, wholeTime 2545937
line 47000, partTime 154917, wholeTime 2700855
line 48000, partTime 77611, wholeTime 2778466
line 49000, partTime 16060, wholeTime 2794527
line 50000, partTime 28383, wholeTime 2822910
line 51000, partTime 7490, wholeTime 2830401
line 52000, partTime 232170, wholeTime 3062571
line 53000, partTime 187803, wholeTime 3250375
line 54000, partTime 54674, wholeTime 3305049
line 55000, partTime 64647, wholeTime 3369696
line 56000, partTime 40848, wholeTime 3410545
line 57000, partTime 143781, wholeTime 3554326
line 58000, partTime 71149, wholeTime 3625475
line 59000, partTime 88970, wholeTime 3714446
line 60000, partTime 7605, wholeTime 3722051
line 61000, partTime 52638, wholeTime 3774690
line 62000, partTime 23253, wholeTime 3797943
line 63000, partTime 132107, wholeTime 3930051
line 64000, partTime 72127, wholeTime 4002178
line 65000, partTime 19663, wholeTime 4021842
line 66000, partTime 27768, wholeTime 4049610
line 67000, partTime 24170, wholeTime 4073781
line 68000, partTime 24006, wholeTime 4097788
line 69000, partTime 55172, wholeTime 4152960
line 70000, partTime 25750, wholeTime 4178711
line 71000, partTime 10981, wholeTime 4189693
line 72000, partTime 8795, wholeTime 4198488
line 73000, partTime 12596, wholeTime 4211084
line 74000, partTime 51593, wholeTime 4262678
line 75000, partTime 302600, wholeTime 4565279
line 76000, partTime 248224, wholeTime 4813503
line 77000, partTime 55234, wholeTime 4868738
line 78000, partTime 93622, wholeTime 4962361
line 79000, partTime 110650, wholeTime 5073011
line 80000, partTime 35896, wholeTime 5108908
line 81000, partTime 118362, wholeTime 5227270
line 82000, partTime 31981, wholeTime 5259252
line 83000, partTime 114458, wholeTime 5373711
line 84000, partTime 34203, wholeTime 5407915
line 85000, partTime 33334, wholeTime 5441249
line 86000, partTime 36387, wholeTime 5477636
