thisProcessorNumber 106 out of 120
line 1000, partTime 1355, wholeTime 1355
line 2000, partTime 3242, wholeTime 4597
line 3000, partTime 12579, wholeTime 17177
line 4000, partTime 5726, wholeTime 22903
line 5000, partTime 6118, wholeTime 29021
line 6000, partTime 14844, wholeTime 43865
line 7000, partTime 5785, wholeTime 49651
line 8000, partTime 3340, wholeTime 52991
line 9000, partTime 63118, wholeTime 116109
line 10000, partTime 38013, wholeTime 154122
line 11000, partTime 37048, wholeTime 191171
line 12000, partTime 8874, wholeTime 200045
line 13000, partTime 38430, wholeTime 238475
line 14000, partTime 37129, wholeTime 275605
line 15000, partTime 33452, wholeTime 309057
line 16000, partTime 27949, wholeTime 337006
line 17000, partTime 20058, wholeTime 357064
line 18000, partTime 7643, wholeTime 364707
line 19000, partTime 36088, wholeTime 400796
line 20000, partTime 28664, wholeTime 429460
line 21000, partTime 37385, wholeTime 466845
line 22000, partTime 20965, wholeTime 487810
line 23000, partTime 17923, wholeTime 505734
line 24000, partTime 15821, wholeTime 521555
line 25000, partTime 10071, wholeTime 531626
line 26000, partTime 14419, wholeTime 546045
line 27000, partTime 24472, wholeTime 570517
line 28000, partTime 15533, wholeTime 586050
line 29000, partTime 7083, wholeTime 593134
line 30000, partTime 16009, wholeTime 609144
line 31000, partTime 5235, wholeTime 614379
line 32000, partTime 2545, wholeTime 616924
line 33000, partTime 34938, wholeTime 651862
line 34000, partTime 162564, wholeTime 814426
line 35000, partTime 156572, wholeTime 970999
line 36000, partTime 185990, wholeTime 1156989
line 37000, partTime 11544, wholeTime 1168534
line 38000, partTime 105093, wholeTime 1273628
line 39000, partTime 151525, wholeTime 1425153
line 40000, partTime 18034, wholeTime 1443187
line 41000, partTime 44647, wholeTime 1487834
line 42000, partTime 142971, wholeTime 1630806
line 43000, partTime 76687, wholeTime 1707494
line 44000, partTime 38484, wholeTime 1745978
line 45000, partTime 76561, wholeTime 1822539
line 46000, partTime 68402, wholeTime 1890942
line 47000, partTime 46766, wholeTime 1937708
line 48000, partTime 70487, wholeTime 2008196
line 49000, partTime 24823, wholeTime 2033019
line 50000, partTime 12741, wholeTime 2045761
line 51000, partTime 29970, wholeTime 2075731
line 52000, partTime 144167, wholeTime 2219899
line 53000, partTime 114253, wholeTime 2334153
line 54000, partTime 58084, wholeTime 2392237
line 55000, partTime 94754, wholeTime 2486992
line 56000, partTime 22697, wholeTime 2509689
line 57000, partTime 132016, wholeTime 2641706
line 58000, partTime 60981, wholeTime 2702687
line 59000, partTime 48892, wholeTime 2751580
line 60000, partTime 20138, wholeTime 2771718
line 61000, partTime 25216, wholeTime 2796935
line 62000, partTime 9631, wholeTime 2806567
line 63000, partTime 199364, wholeTime 3005931
line 64000, partTime 126316, wholeTime 3132248
line 65000, partTime 33959, wholeTime 3166208
line 66000, partTime 53256, wholeTime 3219464
line 67000, partTime 35097, wholeTime 3254561
line 68000, partTime 18869, wholeTime 3273430
line 69000, partTime 54799, wholeTime 3328230
line 70000, partTime 39059, wholeTime 3367289
line 71000, partTime 5944, wholeTime 3373233
line 72000, partTime 13349, wholeTime 3386583
line 73000, partTime 10624, wholeTime 3397208
line 74000, partTime 7090, wholeTime 3404299
line 75000, partTime 333852, wholeTime 3738152
line 76000, partTime 206537, wholeTime 3944689
line 77000, partTime 62549, wholeTime 4007238
line 78000, partTime 106525, wholeTime 4113764
line 79000, partTime 77301, wholeTime 4191065
