thisProcessorNumber 107 out of 120
line 1000, partTime 2173, wholeTime 2173
line 2000, partTime 3318, wholeTime 5492
line 3000, partTime 23869, wholeTime 29361
line 4000, partTime 6779, wholeTime 36141
line 5000, partTime 10970, wholeTime 47112
line 6000, partTime 12477, wholeTime 59589
line 7000, partTime 6133, wholeTime 65722
line 8000, partTime 3397, wholeTime 69120
line 9000, partTime 63111, wholeTime 132232
line 10000, partTime 35050, wholeTime 167283
line 11000, partTime 26905, wholeTime 194189
line 12000, partTime 16150, wholeTime 210339
line 13000, partTime 33455, wholeTime 243794
line 14000, partTime 57505, wholeTime 301299
line 15000, partTime 29554, wholeTime 330854
line 16000, partTime 21444, wholeTime 352298
line 17000, partTime 28209, wholeTime 380508
line 18000, partTime 5897, wholeTime 386405
line 19000, partTime 28358, wholeTime 414763
line 20000, partTime 43109, wholeTime 457872
line 21000, partTime 31129, wholeTime 489001
line 22000, partTime 13540, wholeTime 502541
line 23000, partTime 22400, wholeTime 524942
line 24000, partTime 13183, wholeTime 538125
line 25000, partTime 6154, wholeTime 544279
line 26000, partTime 19925, wholeTime 564204
line 27000, partTime 18370, wholeTime 582574
line 28000, partTime 16576, wholeTime 599151
line 29000, partTime 6027, wholeTime 605178
line 30000, partTime 21081, wholeTime 626260
line 31000, partTime 5632, wholeTime 631892
line 32000, partTime 1055, wholeTime 632948
line 33000, partTime 26185, wholeTime 659133
line 34000, partTime 321466, wholeTime 980599
line 35000, partTime 191279, wholeTime 1171878
line 36000, partTime 182855, wholeTime 1354734
line 37000, partTime 37410, wholeTime 1392144
line 38000, partTime 207738, wholeTime 1599883
line 39000, partTime 112765, wholeTime 1712648
line 40000, partTime 21665, wholeTime 1734313
line 41000, partTime 56592, wholeTime 1790905
line 42000, partTime 129289, wholeTime 1920194
line 43000, partTime 215086, wholeTime 2135281
line 44000, partTime 45535, wholeTime 2180816
line 45000, partTime 114247, wholeTime 2295063
line 46000, partTime 68035, wholeTime 2363098
line 47000, partTime 39900, wholeTime 2402999
line 48000, partTime 92467, wholeTime 2495467
line 49000, partTime 22440, wholeTime 2517907
line 50000, partTime 18106, wholeTime 2536014
line 51000, partTime 22924, wholeTime 2558939
line 52000, partTime 200004, wholeTime 2758943
line 53000, partTime 280966, wholeTime 3039910
line 54000, partTime 68902, wholeTime 3108812
line 55000, partTime 85284, wholeTime 3194096
line 56000, partTime 47831, wholeTime 3241928
line 57000, partTime 89950, wholeTime 3331879
line 58000, partTime 138665, wholeTime 3470544
line 59000, partTime 40594, wholeTime 3511139
line 60000, partTime 15862, wholeTime 3527002
line 61000, partTime 32340, wholeTime 3559342
line 62000, partTime 6188, wholeTime 3565531
line 63000, partTime 264324, wholeTime 3829855
line 64000, partTime 119238, wholeTime 3949094
line 65000, partTime 29357, wholeTime 3978451
line 66000, partTime 66622, wholeTime 4045074
line 67000, partTime 20804, wholeTime 4065879
line 68000, partTime 24752, wholeTime 4090631
line 69000, partTime 68026, wholeTime 4158658
line 70000, partTime 29576, wholeTime 4188234
line 71000, partTime 4909, wholeTime 4193144
line 72000, partTime 14413, wholeTime 4207557
line 73000, partTime 3580, wholeTime 4211137
line 74000, partTime 6227, wholeTime 4217365
line 75000, partTime 468034, wholeTime 4685399
line 76000, partTime 115088, wholeTime 4800488
line 77000, partTime 54169, wholeTime 4854657
line 78000, partTime 109725, wholeTime 4964383
line 79000, partTime 96693, wholeTime 5061076
line 80000, partTime 64463, wholeTime 5125540
line 81000, partTime 170689, wholeTime 5296229
line 82000, partTime 110953, wholeTime 5407183
line 83000, partTime 68122, wholeTime 5475305
line 84000, partTime 26159, wholeTime 5501464
line 85000, partTime 53495, wholeTime 5554960
line 86000, partTime 16505, wholeTime 5571466
line 87000, partTime 41092, wholeTime 5612558
line 88000, partTime 111546, wholeTime 5724104
line 89000, partTime 87866, wholeTime 5811970
line 90000, partTime 15914, wholeTime 5827884
line 91000, partTime 19881, wholeTime 5847766
line 92000, partTime 27156, wholeTime 5874923
line 93000, partTime 36621, wholeTime 5911545
line 94000, partTime 26727, wholeTime 5938272
line 95000, partTime 38588, wholeTime 5976861
line 96000, partTime 10459, wholeTime 5987320
line 97000, partTime 3967, wholeTime 5991288
line 98000, partTime 10692, wholeTime 6001980
line 99000, partTime 4251, wholeTime 6006231
line 100000, partTime 5413, wholeTime 6011645
line 101000, partTime 53296, wholeTime 6064942
line 102000, partTime 129316, wholeTime 6194258
line 103000, partTime 75387, wholeTime 6269646
line 104000, partTime 21731, wholeTime 6291377
line 105000, partTime 27428, wholeTime 6318806
line 106000, partTime 25004, wholeTime 6343811
line 107000, partTime 40429, wholeTime 6384240
line 108000, partTime 4771, wholeTime 6389011
line 109000, partTime 28446, wholeTime 6417458
line 110000, partTime 38590, wholeTime 6456048
line 111000, partTime 32750, wholeTime 6488799
line 112000, partTime 7456, wholeTime 6496256
line 113000, partTime 17371, wholeTime 6513628
line 114000, partTime 10706, wholeTime 6524335
line 115000, partTime 5140, wholeTime 6529475
line 116000, partTime 16099, wholeTime 6545575
line 117000, partTime 45002, wholeTime 6590577
line 118000, partTime 23955, wholeTime 6614533
line 119000, partTime 14196, wholeTime 6628730
line 120000, partTime 7029, wholeTime 6635759
line 121000, partTime 18233, wholeTime 6653992
line 122000, partTime 9629, wholeTime 6663622
line 123000, partTime 5900, wholeTime 6669522
line 124000, partTime 13954, wholeTime 6683476
line 125000, partTime 21614, wholeTime 6705091
line 126000, partTime 19215, wholeTime 6724307
line 127000, partTime 1865, wholeTime 6726173
line 128000, partTime 340, wholeTime 6726513
line 129000, partTime 264, wholeTime 6726778
line 130000, partTime 500, wholeTime 6727278
line 131000, partTime 210, wholeTime 6727488
line 131328, partTime 60, wholeTime 6727549
Lines checked 1094
Paths count 19169927
Colors used 8
