thisProcessorNumber 102 out of 120
line 1000, partTime 4423, wholeTime 4423
line 2000, partTime 2981, wholeTime 7405
line 3000, partTime 16085, wholeTime 23490
line 4000, partTime 5230, wholeTime 28720
line 5000, partTime 5640, wholeTime 34361
line 6000, partTime 13035, wholeTime 47396
line 7000, partTime 3581, wholeTime 50978
line 8000, partTime 5244, wholeTime 56222
line 9000, partTime 55605, wholeTime 111827
line 10000, partTime 28403, wholeTime 140230
line 11000, partTime 30155, wholeTime 170386
line 12000, partTime 31597, wholeTime 201983
line 13000, partTime 14148, wholeTime 216131
line 14000, partTime 25710, wholeTime 241842
line 15000, partTime 43060, wholeTime 284902
line 16000, partTime 10507, wholeTime 295409
line 17000, partTime 20321, wholeTime 315730
line 18000, partTime 7663, wholeTime 323393
line 19000, partTime 28661, wholeTime 352055
line 20000, partTime 37002, wholeTime 389057
line 21000, partTime 47549, wholeTime 436607
line 22000, partTime 18526, wholeTime 455134
line 23000, partTime 18856, wholeTime 473990
line 24000, partTime 23593, wholeTime 497584
line 25000, partTime 13337, wholeTime 510921
line 26000, partTime 15905, wholeTime 526826
line 27000, partTime 27145, wholeTime 553971
line 28000, partTime 21610, wholeTime 575581
line 29000, partTime 4583, wholeTime 580164
line 30000, partTime 10787, wholeTime 590951
line 31000, partTime 8547, wholeTime 599498
line 32000, partTime 3037, wholeTime 602535
line 33000, partTime 35973, wholeTime 638508
line 34000, partTime 144348, wholeTime 782857
line 35000, partTime 127920, wholeTime 910777
line 36000, partTime 194358, wholeTime 1105136
line 37000, partTime 109287, wholeTime 1214424
line 38000, partTime 125325, wholeTime 1339749
line 39000, partTime 142141, wholeTime 1481890
line 40000, partTime 56005, wholeTime 1537896
line 41000, partTime 78599, wholeTime 1616496
line 42000, partTime 49722, wholeTime 1666218
line 43000, partTime 106108, wholeTime 1772327
line 44000, partTime 48352, wholeTime 1820679
line 45000, partTime 77612, wholeTime 1898291
line 46000, partTime 74500, wholeTime 1972792
line 47000, partTime 29768, wholeTime 2002560
line 48000, partTime 51493, wholeTime 2054054
line 49000, partTime 49138, wholeTime 2103192
line 50000, partTime 30507, wholeTime 2133699
line 51000, partTime 27758, wholeTime 2161458
line 52000, partTime 97376, wholeTime 2258834
line 53000, partTime 85498, wholeTime 2344332
line 54000, partTime 73467, wholeTime 2417800
line 55000, partTime 142846, wholeTime 2560647
line 56000, partTime 78359, wholeTime 2639006
line 57000, partTime 23813, wholeTime 2662819
line 58000, partTime 75654, wholeTime 2738473
line 59000, partTime 43990, wholeTime 2782464
line 60000, partTime 86774, wholeTime 2869238
line 61000, partTime 27806, wholeTime 2897044
line 62000, partTime 10381, wholeTime 2907426
line 63000, partTime 118293, wholeTime 3025720
line 64000, partTime 76055, wholeTime 3101776
line 65000, partTime 45174, wholeTime 3146950
line 66000, partTime 68256, wholeTime 3215206
line 67000, partTime 44584, wholeTime 3259791
line 68000, partTime 14789, wholeTime 3274580
line 69000, partTime 18801, wholeTime 3293381
line 70000, partTime 17680, wholeTime 3311061
line 71000, partTime 13542, wholeTime 3324603
line 72000, partTime 30635, wholeTime 3355239
line 73000, partTime 7163, wholeTime 3362402
line 74000, partTime 4813, wholeTime 3367215
line 75000, partTime 249340, wholeTime 3616556
line 76000, partTime 161832, wholeTime 3778388
line 77000, partTime 89108, wholeTime 3867496
line 78000, partTime 169525, wholeTime 4037022
line 79000, partTime 96933, wholeTime 4133955
line 80000, partTime 27714, wholeTime 4161669
line 81000, partTime 81147, wholeTime 4242816
line 82000, partTime 58031, wholeTime 4300847
line 83000, partTime 35261, wholeTime 4336108
line 84000, partTime 59216, wholeTime 4395324
line 85000, partTime 27853, wholeTime 4423177
line 86000, partTime 46230, wholeTime 4469408
line 87000, partTime 12247, wholeTime 4481655
line 88000, partTime 53686, wholeTime 4535341
line 89000, partTime 39642, wholeTime 4574984
line 90000, partTime 29951, wholeTime 4604935
line 91000, partTime 34519, wholeTime 4639454
line 92000, partTime 24884, wholeTime 4664339
line 93000, partTime 26006, wholeTime 4690345
line 94000, partTime 34618, wholeTime 4724963
line 95000, partTime 32560, wholeTime 4757524
line 96000, partTime 27005, wholeTime 4784529
line 97000, partTime 22733, wholeTime 4807263
line 98000, partTime 29313, wholeTime 4836576
line 99000, partTime 13790, wholeTime 4850366
line 100000, partTime 9749, wholeTime 4860115
line 101000, partTime 73380, wholeTime 4933495
line 102000, partTime 66437, wholeTime 4999933
line 103000, partTime 89060, wholeTime 5088993
line 104000, partTime 49927, wholeTime 5138921
line 105000, partTime 80540, wholeTime 5219461
line 106000, partTime 16963, wholeTime 5236425
line 107000, partTime 44761, wholeTime 5281186
line 108000, partTime 16049, wholeTime 5297236
line 109000, partTime 31553, wholeTime 5328789
line 110000, partTime 26254, wholeTime 5355043
line 111000, partTime 21434, wholeTime 5376477
line 112000, partTime 24890, wholeTime 5401367
line 113000, partTime 16625, wholeTime 5417993
line 114000, partTime 16509, wholeTime 5434503
line 115000, partTime 3646, wholeTime 5438149
line 116000, partTime 27466, wholeTime 5465615
line 117000, partTime 21355, wholeTime 5486970
line 118000, partTime 32907, wholeTime 5519878
line 119000, partTime 21426, wholeTime 5541304
line 120000, partTime 29037, wholeTime 5570341
line 121000, partTime 5654, wholeTime 5575995
line 122000, partTime 11866, wholeTime 5587862
line 123000, partTime 1401, wholeTime 5589264
line 124000, partTime 18527, wholeTime 5607792
line 125000, partTime 7512, wholeTime 5615304
line 126000, partTime 1450, wholeTime 5616755
line 127000, partTime 4693, wholeTime 5621448
line 128000, partTime 15311, wholeTime 5636760
line 129000, partTime 470, wholeTime 5637230
