thisProcessorNumber 116 out of 120
line 1000, partTime 2605, wholeTime 2605
line 2000, partTime 2776, wholeTime 5382
line 3000, partTime 21356, wholeTime 26738
line 4000, partTime 16068, wholeTime 42806
line 5000, partTime 16551, wholeTime 59358
line 6000, partTime 8767, wholeTime 68125
line 7000, partTime 6536, wholeTime 74661
line 8000, partTime 2808, wholeTime 77469
line 9000, partTime 48016, wholeTime 125486
line 10000, partTime 21372, wholeTime 146858
line 11000, partTime 38968, wholeTime 185827
line 12000, partTime 25474, wholeTime 211302
line 13000, partTime 29000, wholeTime 240302
line 14000, partTime 47002, wholeTime 287305
line 15000, partTime 39624, wholeTime 326929
line 16000, partTime 28048, wholeTime 354978
line 17000, partTime 22760, wholeTime 377739
line 18000, partTime 7909, wholeTime 385648
line 19000, partTime 25974, wholeTime 411622
line 20000, partTime 46410, wholeTime 458032
line 21000, partTime 62634, wholeTime 520666
line 22000, partTime 19827, wholeTime 540494
line 23000, partTime 38968, wholeTime 579463
line 24000, partTime 15709, wholeTime 595172
line 25000, partTime 5210, wholeTime 600382
line 26000, partTime 32666, wholeTime 633049
line 27000, partTime 21481, wholeTime 654530
line 28000, partTime 20358, wholeTime 674888
line 29000, partTime 3619, wholeTime 678507
line 30000, partTime 7534, wholeTime 686042
line 31000, partTime 7394, wholeTime 693436
line 32000, partTime 4992, wholeTime 698428
line 33000, partTime 48937, wholeTime 747366
line 34000, partTime 165313, wholeTime 912679
line 35000, partTime 171959, wholeTime 1084638
line 36000, partTime 152318, wholeTime 1236957
line 37000, partTime 63086, wholeTime 1300043
line 38000, partTime 104566, wholeTime 1404610
line 39000, partTime 70839, wholeTime 1475450
line 40000, partTime 52260, wholeTime 1527710
line 41000, partTime 36847, wholeTime 1564557
line 42000, partTime 153317, wholeTime 1717875
line 43000, partTime 149073, wholeTime 1866948
line 44000, partTime 34632, wholeTime 1901580
line 45000, partTime 118981, wholeTime 2020562
line 46000, partTime 38142, wholeTime 2058704
line 47000, partTime 115861, wholeTime 2174565
line 48000, partTime 71370, wholeTime 2245935
line 49000, partTime 17690, wholeTime 2263626
line 50000, partTime 17612, wholeTime 2281238
line 51000, partTime 16504, wholeTime 2297743
line 52000, partTime 101930, wholeTime 2399674
line 53000, partTime 217901, wholeTime 2617575
line 54000, partTime 24102, wholeTime 2641677
line 55000, partTime 133239, wholeTime 2774917
line 56000, partTime 47782, wholeTime 2822700
line 57000, partTime 63492, wholeTime 2886192
line 58000, partTime 66830, wholeTime 2953022
line 59000, partTime 38594, wholeTime 2991617
line 60000, partTime 82836, wholeTime 3074453
line 61000, partTime 25521, wholeTime 3099975
line 62000, partTime 7394, wholeTime 3107369
line 63000, partTime 189930, wholeTime 3297299
line 64000, partTime 83990, wholeTime 3381290
line 65000, partTime 31044, wholeTime 3412334
line 66000, partTime 67002, wholeTime 3479336
line 67000, partTime 21996, wholeTime 3501332
line 68000, partTime 14866, wholeTime 3516199
line 69000, partTime 60184, wholeTime 3576384
line 70000, partTime 13618, wholeTime 3590003
line 71000, partTime 12682, wholeTime 3602685
line 72000, partTime 27643, wholeTime 3630329
line 73000, partTime 5928, wholeTime 3636257
line 74000, partTime 4243, wholeTime 3640500
line 75000, partTime 373012, wholeTime 4013512
line 76000, partTime 104535, wholeTime 4118048
line 77000, partTime 58094, wholeTime 4176142
line 78000, partTime 105970, wholeTime 4282113
line 79000, partTime 58640, wholeTime 4340754
line 80000, partTime 35848, wholeTime 4376603
line 81000, partTime 103958, wholeTime 4480561
line 82000, partTime 73710, wholeTime 4554271
