thisProcessorNumber 103 out of 120
line 1000, partTime 11296, wholeTime 11296
line 2000, partTime 4359, wholeTime 15656
line 3000, partTime 56656, wholeTime 72312
line 4000, partTime 16109, wholeTime 88421
line 5000, partTime 21156, wholeTime 109578
line 6000, partTime 24593, wholeTime 134171
line 7000, partTime 15531, wholeTime 149703
line 8000, partTime 11500, wholeTime 161203
line 9000, partTime 187640, wholeTime 348843
line 10000, partTime 135468, wholeTime 484312
line 11000, partTime 76421, wholeTime 560734
line 12000, partTime 72984, wholeTime 633718
line 13000, partTime 36484, wholeTime 670203
line 14000, partTime 106640, wholeTime 776843
line 15000, partTime 109468, wholeTime 886312
line 16000, partTime 44093, wholeTime 930406
line 17000, partTime 60109, wholeTime 990515
line 18000, partTime 26093, wholeTime 1016609
line 19000, partTime 68078, wholeTime 1084687
line 20000, partTime 138281, wholeTime 1222968
line 21000, partTime 98812, wholeTime 1321781
line 22000, partTime 45671, wholeTime 1367453
line 23000, partTime 55281, wholeTime 1422734
line 24000, partTime 50500, wholeTime 1473234
line 25000, partTime 18531, wholeTime 1491765
line 26000, partTime 49500, wholeTime 1541265
line 27000, partTime 50218, wholeTime 1591484
line 28000, partTime 67140, wholeTime 1658625
line 29000, partTime 11031, wholeTime 1669656
line 30000, partTime 27062, wholeTime 1696718
line 31000, partTime 21468, wholeTime 1718187
line 32000, partTime 8171, wholeTime 1726359
line 33000, partTime 60453, wholeTime 1786812
line 34000, partTime 449609, wholeTime 2236421
line 35000, partTime 430734, wholeTime 2667156
line 36000, partTime 571718, wholeTime 3238875
line 37000, partTime 174687, wholeTime 3413562
line 38000, partTime 456453, wholeTime 3870015
line 39000, partTime 211437, wholeTime 4081453
line 40000, partTime 80406, wholeTime 4161859
line 41000, partTime 272656, wholeTime 4434515
line 42000, partTime 105031, wholeTime 4539546
line 43000, partTime 489390, wholeTime 5028937
line 44000, partTime 134796, wholeTime 5163734
line 45000, partTime 322718, wholeTime 5486453
line 46000, partTime 153687, wholeTime 5640140
line 47000, partTime 52250, wholeTime 5692390
line 48000, partTime 155359, wholeTime 5847750
line 49000, partTime 86312, wholeTime 5934062
line 50000, partTime 95718, wholeTime 6029781
line 51000, partTime 45125, wholeTime 6074906
line 52000, partTime 318312, wholeTime 6393218
line 53000, partTime 347609, wholeTime 6740828
line 54000, partTime 297078, wholeTime 7037906
line 55000, partTime 312500, wholeTime 7350406
line 56000, partTime 191578, wholeTime 7541984
