thisProcessorNumber 105 out of 120
line 1000, partTime 5677, wholeTime 5677
line 2000, partTime 3004, wholeTime 8682
line 3000, partTime 13289, wholeTime 21971
line 4000, partTime 9753, wholeTime 31724
line 5000, partTime 7373, wholeTime 39098
line 6000, partTime 8349, wholeTime 47448
line 7000, partTime 6232, wholeTime 53680
line 8000, partTime 4259, wholeTime 57940
line 9000, partTime 58923, wholeTime 116863
line 10000, partTime 35261, wholeTime 152124
line 11000, partTime 41507, wholeTime 193632
line 12000, partTime 24060, wholeTime 217693
line 13000, partTime 31047, wholeTime 248740
line 14000, partTime 40791, wholeTime 289531
line 15000, partTime 37842, wholeTime 327373
line 16000, partTime 35736, wholeTime 363109
line 17000, partTime 19035, wholeTime 382145
line 18000, partTime 8276, wholeTime 390421
line 19000, partTime 46145, wholeTime 436566
line 20000, partTime 43894, wholeTime 480460
line 21000, partTime 32332, wholeTime 512793
line 22000, partTime 21483, wholeTime 534276
line 23000, partTime 17214, wholeTime 551490
line 24000, partTime 19776, wholeTime 571266
line 25000, partTime 8359, wholeTime 579625
line 26000, partTime 19750, wholeTime 599376
line 27000, partTime 18059, wholeTime 617435
line 28000, partTime 19883, wholeTime 637318
line 29000, partTime 8071, wholeTime 645389
line 30000, partTime 18477, wholeTime 663866
line 31000, partTime 7981, wholeTime 671847
line 32000, partTime 1114, wholeTime 672962
line 33000, partTime 35133, wholeTime 708095
line 34000, partTime 234079, wholeTime 942174
line 35000, partTime 143650, wholeTime 1085824
line 36000, partTime 178422, wholeTime 1264247
line 37000, partTime 42873, wholeTime 1307121
line 38000, partTime 162708, wholeTime 1469829
line 39000, partTime 62844, wholeTime 1532673
line 40000, partTime 33071, wholeTime 1565745
line 41000, partTime 49039, wholeTime 1614784
line 42000, partTime 159124, wholeTime 1773909
line 43000, partTime 151102, wholeTime 1925011
line 44000, partTime 43159, wholeTime 1968171
line 45000, partTime 99130, wholeTime 2067302
line 46000, partTime 81140, wholeTime 2148442
line 47000, partTime 59777, wholeTime 2208220
line 48000, partTime 35444, wholeTime 2243664
line 49000, partTime 33412, wholeTime 2277076
line 50000, partTime 30385, wholeTime 2307462
line 51000, partTime 21520, wholeTime 2328983
line 52000, partTime 222269, wholeTime 2551252
line 53000, partTime 79663, wholeTime 2630916
line 54000, partTime 132699, wholeTime 2763615
line 55000, partTime 109816, wholeTime 2873432
line 56000, partTime 68035, wholeTime 2941468
line 57000, partTime 123423, wholeTime 3064892
line 58000, partTime 69941, wholeTime 3134833
line 59000, partTime 24146, wholeTime 3158980
line 60000, partTime 27672, wholeTime 3186653
line 61000, partTime 21796, wholeTime 3208449
line 62000, partTime 10228, wholeTime 3218677
line 63000, partTime 249852, wholeTime 3468530
line 64000, partTime 46517, wholeTime 3515048
line 65000, partTime 57157, wholeTime 3572205
line 66000, partTime 72872, wholeTime 3645078
line 67000, partTime 23339, wholeTime 3668417
line 68000, partTime 15136, wholeTime 3683553
line 69000, partTime 73494, wholeTime 3757048
line 70000, partTime 19206, wholeTime 3776255
line 71000, partTime 11470, wholeTime 3787725
line 72000, partTime 17635, wholeTime 3805361
line 73000, partTime 3313, wholeTime 3808674
line 74000, partTime 6605, wholeTime 3815280
line 75000, partTime 465431, wholeTime 4280712
line 76000, partTime 69405, wholeTime 4350117
line 77000, partTime 111851, wholeTime 4461969
line 78000, partTime 159145, wholeTime 4621114
line 79000, partTime 85382, wholeTime 4706497
line 80000, partTime 46050, wholeTime 4752547
line 81000, partTime 189025, wholeTime 4941573
line 82000, partTime 44934, wholeTime 4986508
line 83000, partTime 53095, wholeTime 5039603
line 84000, partTime 48320, wholeTime 5087924
line 85000, partTime 45870, wholeTime 5133794
line 86000, partTime 13523, wholeTime 5147318
line 87000, partTime 47197, wholeTime 5194515
line 88000, partTime 114257, wholeTime 5308772
line 89000, partTime 28717, wholeTime 5337489
line 90000, partTime 33993, wholeTime 5371483
line 91000, partTime 26904, wholeTime 5398387
line 92000, partTime 21000, wholeTime 5419387
line 93000, partTime 36048, wholeTime 5455436
line 94000, partTime 44919, wholeTime 5500355
line 95000, partTime 52516, wholeTime 5552872
line 96000, partTime 14177, wholeTime 5567049
line 97000, partTime 17497, wholeTime 5584547
line 98000, partTime 15382, wholeTime 5599929
line 99000, partTime 2324, wholeTime 5602253
line 100000, partTime 4450, wholeTime 5606704
line 101000, partTime 85051, wholeTime 5691755
line 102000, partTime 96747, wholeTime 5788502
line 103000, partTime 28752, wholeTime 5817255
line 104000, partTime 31431, wholeTime 5848687
line 105000, partTime 39671, wholeTime 5888359
line 106000, partTime 22516, wholeTime 5910876
line 107000, partTime 41041, wholeTime 5951917
line 108000, partTime 20897, wholeTime 5972815
line 109000, partTime 50497, wholeTime 6023312
line 110000, partTime 12772, wholeTime 6036084
line 111000, partTime 31893, wholeTime 6067978
line 112000, partTime 14829, wholeTime 6082807
line 113000, partTime 14301, wholeTime 6097109
line 114000, partTime 9492, wholeTime 6106601
line 115000, partTime 5224, wholeTime 6111826
line 116000, partTime 40669, wholeTime 6152496
line 117000, partTime 40890, wholeTime 6193386
line 118000, partTime 7037, wholeTime 6200424
line 119000, partTime 25963, wholeTime 6226388
line 120000, partTime 9925, wholeTime 6236313
line 121000, partTime 15777, wholeTime 6252091
line 122000, partTime 16896, wholeTime 6268987
line 123000, partTime 4145, wholeTime 6273132
line 124000, partTime 34820, wholeTime 6307952
line 125000, partTime 13006, wholeTime 6320959
line 126000, partTime 1191, wholeTime 6322150
line 127000, partTime 5667, wholeTime 6327817
line 128000, partTime 482, wholeTime 6328300
line 129000, partTime 475, wholeTime 6328775
line 130000, partTime 250, wholeTime 6329025
line 131000, partTime 155, wholeTime 6329181
line 131328, partTime 61, wholeTime 6329242
Lines checked 1094
Paths count 17103818
Colors used 8
