thisProcessorNumber 110 out of 120
line 1000, partTime 2636, wholeTime 2636
line 2000, partTime 4461, wholeTime 7098
line 3000, partTime 8065, wholeTime 15163
line 4000, partTime 13852, wholeTime 29016
line 5000, partTime 9625, wholeTime 38641
line 6000, partTime 20794, wholeTime 59436
line 7000, partTime 5210, wholeTime 64646
line 8000, partTime 4836, wholeTime 69482
line 9000, partTime 41589, wholeTime 111072
line 10000, partTime 78982, wholeTime 190055
line 11000, partTime 14008, wholeTime 204063
line 12000, partTime 25849, wholeTime 229913
line 13000, partTime 42775, wholeTime 272688
line 14000, partTime 35287, wholeTime 307975
line 15000, partTime 25350, wholeTime 333325
line 16000, partTime 22136, wholeTime 355462
line 17000, partTime 25396, wholeTime 380859
line 18000, partTime 16052, wholeTime 396911
line 19000, partTime 20982, wholeTime 417893
line 20000, partTime 23181, wholeTime 441075
line 21000, partTime 50575, wholeTime 491650
line 22000, partTime 15428, wholeTime 507078
line 23000, partTime 13852, wholeTime 520931
line 24000, partTime 25209, wholeTime 546141
line 25000, partTime 7597, wholeTime 553738
line 26000, partTime 13400, wholeTime 567138
line 27000, partTime 17456, wholeTime 584595
line 28000, partTime 19328, wholeTime 603923
line 29000, partTime 6271, wholeTime 610195
line 30000, partTime 14196, wholeTime 624391
line 31000, partTime 8595, wholeTime 632986
line 32000, partTime 8751, wholeTime 641738
line 33000, partTime 25755, wholeTime 667493
line 34000, partTime 186139, wholeTime 853633
line 35000, partTime 172988, wholeTime 1026622
line 36000, partTime 152053, wholeTime 1178675
line 37000, partTime 18922, wholeTime 1197598
line 38000, partTime 78577, wholeTime 1276175
line 39000, partTime 117639, wholeTime 1393815
line 40000, partTime 99996, wholeTime 1493811
line 41000, partTime 42978, wholeTime 1536789
line 42000, partTime 113084, wholeTime 1649874
line 43000, partTime 116095, wholeTime 1765969
line 44000, partTime 56440, wholeTime 1822410
line 45000, partTime 147264, wholeTime 1969675
line 46000, partTime 105580, wholeTime 2075256
line 47000, partTime 36176, wholeTime 2111432
line 48000, partTime 40060, wholeTime 2151493
line 49000, partTime 44569, wholeTime 2196062
line 50000, partTime 26504, wholeTime 2222567
line 51000, partTime 41511, wholeTime 2264078
line 52000, partTime 101400, wholeTime 2365478
line 53000, partTime 116095, wholeTime 2481574
line 54000, partTime 52634, wholeTime 2534208
line 55000, partTime 118076, wholeTime 2652285
line 56000, partTime 47736, wholeTime 2700021
line 57000, partTime 81104, wholeTime 2781126
line 58000, partTime 59997, wholeTime 2841123
line 59000, partTime 60028, wholeTime 2901152
line 60000, partTime 90651, wholeTime 2991804
line 61000, partTime 33852, wholeTime 3025656
line 62000, partTime 8143, wholeTime 3033799
line 63000, partTime 148106, wholeTime 3181906
line 64000, partTime 88452, wholeTime 3270358
line 65000, partTime 44569, wholeTime 3314927
line 66000, partTime 60450, wholeTime 3375377
line 67000, partTime 41917, wholeTime 3417295
