thisProcessorNumber 109 out of 120
line 1000, partTime 1996, wholeTime 1996
line 2000, partTime 4726, wholeTime 6723
line 3000, partTime 17206, wholeTime 23930
line 4000, partTime 12963, wholeTime 36894
line 5000, partTime 6364, wholeTime 43258
line 6000, partTime 13525, wholeTime 56784
line 7000, partTime 6318, wholeTime 63102
line 8000, partTime 5194, wholeTime 68296
line 9000, partTime 31028, wholeTime 99325
line 10000, partTime 32385, wholeTime 131711
line 11000, partTime 25428, wholeTime 157139
line 12000, partTime 21949, wholeTime 179088
line 13000, partTime 34008, wholeTime 213096
line 14000, partTime 51199, wholeTime 264295
line 15000, partTime 28376, wholeTime 292672
line 16000, partTime 21840, wholeTime 314512
line 17000, partTime 24866, wholeTime 339378
line 18000, partTime 18829, wholeTime 358207
line 19000, partTime 27019, wholeTime 385227
line 20000, partTime 21871, wholeTime 407098
line 21000, partTime 38032, wholeTime 445131
line 22000, partTime 16068, wholeTime 461199
line 23000, partTime 13884, wholeTime 475083
line 24000, partTime 25755, wholeTime 500838
line 25000, partTime 4836, wholeTime 505674
line 26000, partTime 14726, wholeTime 520401
line 27000, partTime 18907, wholeTime 539308
line 28000, partTime 26176, wholeTime 565485
line 29000, partTime 5928, wholeTime 571413
line 30000, partTime 16380, wholeTime 587793
line 31000, partTime 7987, wholeTime 595780
line 32000, partTime 8486, wholeTime 604267
line 33000, partTime 25786, wholeTime 630053
line 34000, partTime 223751, wholeTime 853805
line 35000, partTime 247681, wholeTime 1101486
line 36000, partTime 175344, wholeTime 1276831
line 37000, partTime 28860, wholeTime 1305691
line 38000, partTime 132069, wholeTime 1437760
line 39000, partTime 94083, wholeTime 1531844
line 40000, partTime 116579, wholeTime 1648423
line 41000, partTime 32245, wholeTime 1680668
line 42000, partTime 137124, wholeTime 1817793
line 43000, partTime 114379, wholeTime 1932172
line 44000, partTime 59108, wholeTime 1991281
line 45000, partTime 147014, wholeTime 2138295
line 46000, partTime 79825, wholeTime 2218121
line 47000, partTime 40482, wholeTime 2258603
line 48000, partTime 39421, wholeTime 2298024
line 49000, partTime 38688, wholeTime 2336712
line 50000, partTime 27924, wholeTime 2364636
line 51000, partTime 17144, wholeTime 2381780
line 52000, partTime 177419, wholeTime 2559200
line 53000, partTime 138855, wholeTime 2698055
line 54000, partTime 81712, wholeTime 2779768
line 55000, partTime 167544, wholeTime 2947313
