thisProcessorNumber 118 out of 120
line 1000, partTime 3588, wholeTime 3588
line 2000, partTime 2542, wholeTime 6130
line 3000, partTime 15865, wholeTime 21996
line 4000, partTime 13650, wholeTime 35646
line 5000, partTime 13400, wholeTime 49046
line 6000, partTime 7706, wholeTime 56752
line 7000, partTime 4945, wholeTime 61698
line 8000, partTime 2620, wholeTime 64318
line 9000, partTime 46534, wholeTime 110853
line 10000, partTime 45130, wholeTime 155984
line 11000, partTime 27580, wholeTime 183565
line 12000, partTime 44335, wholeTime 227900
line 13000, partTime 35178, wholeTime 263078
line 14000, partTime 40263, wholeTime 303342
line 15000, partTime 39717, wholeTime 343060
line 16000, partTime 26722, wholeTime 369783
line 17000, partTime 17004, wholeTime 386787
line 18000, partTime 17128, wholeTime 403915
line 19000, partTime 21247, wholeTime 425163
line 20000, partTime 34554, wholeTime 459717
line 21000, partTime 53570, wholeTime 513287
line 22000, partTime 16692, wholeTime 529979
line 23000, partTime 29296, wholeTime 559276
line 24000, partTime 21668, wholeTime 580945
line 25000, partTime 13930, wholeTime 594875
line 26000, partTime 22354, wholeTime 617230
line 27000, partTime 26098, wholeTime 643329
line 28000, partTime 19515, wholeTime 662845
line 29000, partTime 3993, wholeTime 666838
line 30000, partTime 4586, wholeTime 671425
line 31000, partTime 8533, wholeTime 679958
line 32000, partTime 5210, wholeTime 685168
line 33000, partTime 42744, wholeTime 727912
line 34000, partTime 164783, wholeTime 892695
line 35000, partTime 152942, wholeTime 1045638
line 36000, partTime 133598, wholeTime 1179237
line 37000, partTime 129371, wholeTime 1308608
line 38000, partTime 74926, wholeTime 1383535
line 39000, partTime 74583, wholeTime 1458118
line 40000, partTime 91197, wholeTime 1549316
line 41000, partTime 63601, wholeTime 1612918
line 42000, partTime 129870, wholeTime 1742788
line 43000, partTime 102024, wholeTime 1844812
line 44000, partTime 83116, wholeTime 1927929
line 45000, partTime 95253, wholeTime 2023183
line 46000, partTime 85456, wholeTime 2108640
line 47000, partTime 88779, wholeTime 2197419
line 48000, partTime 32884, wholeTime 2230304
line 49000, partTime 66175, wholeTime 2296480
line 50000, partTime 19250, wholeTime 2315730
line 51000, partTime 48672, wholeTime 2364402
line 52000, partTime 85082, wholeTime 2449485
line 53000, partTime 132397, wholeTime 2581882
line 54000, partTime 43664, wholeTime 2625547
line 55000, partTime 130431, wholeTime 2755978
line 56000, partTime 107203, wholeTime 2863182
line 57000, partTime 110557, wholeTime 2973739
line 58000, partTime 64100, wholeTime 3037840
line 59000, partTime 56004, wholeTime 3093844
line 60000, partTime 60793, wholeTime 3154637
line 61000, partTime 24304, wholeTime 3178942
line 62000, partTime 5850, wholeTime 3184792
line 63000, partTime 135673, wholeTime 3320465
line 64000, partTime 50778, wholeTime 3371243
line 65000, partTime 34522, wholeTime 3405766
line 66000, partTime 52260, wholeTime 3458026
line 67000, partTime 33087, wholeTime 3491114
line 68000, partTime 12760, wholeTime 3503875
line 69000, partTime 62384, wholeTime 3566259
line 70000, partTime 13899, wholeTime 3580159
line 71000, partTime 18938, wholeTime 3599097
line 72000, partTime 30279, wholeTime 3629377
line 73000, partTime 11294, wholeTime 3640671
line 74000, partTime 4196, wholeTime 3644868
line 75000, partTime 227947, wholeTime 3872816
line 76000, partTime 104332, wholeTime 3977148
line 77000, partTime 94832, wholeTime 4071981
line 78000, partTime 119511, wholeTime 4191493
line 79000, partTime 153379, wholeTime 4344872
line 80000, partTime 33352, wholeTime 4378225
line 81000, partTime 97874, wholeTime 4476100
line 82000, partTime 58094, wholeTime 4534194
line 83000, partTime 71791, wholeTime 4605986
line 84000, partTime 82024, wholeTime 4688011
line 85000, partTime 34600, wholeTime 4722611
line 86000, partTime 18595, wholeTime 4741207
line 87000, partTime 117967, wholeTime 4859174
line 88000, partTime 87984, wholeTime 4947158
line 89000, partTime 102554, wholeTime 5049713
line 90000, partTime 83241, wholeTime 5132955
line 91000, partTime 73569, wholeTime 5206524
line 92000, partTime 22573, wholeTime 5229097
line 93000, partTime 30342, wholeTime 5259440
line 94000, partTime 38766, wholeTime 5298206
line 95000, partTime 20311, wholeTime 5318517
line 96000, partTime 9687, wholeTime 5328204
line 97000, partTime 16785, wholeTime 5344990
line 98000, partTime 24320, wholeTime 5369311
line 99000, partTime 18033, wholeTime 5387344
line 100000, partTime 3338, wholeTime 5390683
line 101000, partTime 59389, wholeTime 5450072
line 102000, partTime 63117, wholeTime 5513190
line 103000, partTime 38469, wholeTime 5551659
line 104000, partTime 59701, wholeTime 5611361
line 105000, partTime 71510, wholeTime 5682871
line 106000, partTime 27799, wholeTime 5710670
line 107000, partTime 55005, wholeTime 5765676
line 108000, partTime 13743, wholeTime 5779420
line 109000, partTime 28360, wholeTime 5807781
line 110000, partTime 45364, wholeTime 5853145
line 111000, partTime 28204, wholeTime 5881350
line 112000, partTime 22198, wholeTime 5903549
line 113000, partTime 15912, wholeTime 5919461
line 114000, partTime 10046, wholeTime 5929508
line 115000, partTime 265, wholeTime 5929773
line 116000, partTime 18657, wholeTime 5948430
line 117000, partTime 16504, wholeTime 5964935
line 118000, partTime 14461, wholeTime 5979396
line 119000, partTime 13478, wholeTime 5992875
line 120000, partTime 38485, wholeTime 6031360
line 121000, partTime 3057, wholeTime 6034418
line 122000, partTime 7066, wholeTime 6041485
line 123000, partTime 5631, wholeTime 6047116
line 124000, partTime 10623, wholeTime 6057740
line 125000, partTime 9344, wholeTime 6067084
line 126000, partTime 9297, wholeTime 6076382
line 127000, partTime 3010, wholeTime 6079393
line 128000, partTime 13119, wholeTime 6092512
line 129000, partTime 468, wholeTime 6092980
line 130000, partTime 499, wholeTime 6093479
line 131000, partTime 187, wholeTime 6093667
line 131328, partTime 62, wholeTime 6093729
Lines checked 1094
Paths count 18045160
Colors used 8
