thisProcessorNumber 101 out of 120
line 1000, partTime 6779, wholeTime 6779
line 2000, partTime 2331, wholeTime 9110
line 3000, partTime 22842, wholeTime 31953
line 4000, partTime 6087, wholeTime 38041
line 5000, partTime 7829, wholeTime 45870
line 6000, partTime 9990, wholeTime 55860
line 7000, partTime 6970, wholeTime 62830
line 8000, partTime 5058, wholeTime 67888
line 9000, partTime 63276, wholeTime 131164
line 10000, partTime 17632, wholeTime 148797
line 11000, partTime 41625, wholeTime 190422
line 12000, partTime 35053, wholeTime 225475
line 13000, partTime 7650, wholeTime 233126
line 14000, partTime 51307, wholeTime 284433
line 15000, partTime 34748, wholeTime 319181
line 16000, partTime 19807, wholeTime 338988
line 17000, partTime 23780, wholeTime 362768
line 18000, partTime 6928, wholeTime 369697
line 19000, partTime 39968, wholeTime 409666
line 20000, partTime 34667, wholeTime 444333
line 21000, partTime 46904, wholeTime 491237
line 22000, partTime 16080, wholeTime 507317
line 23000, partTime 20719, wholeTime 528036
line 24000, partTime 22271, wholeTime 550308
line 25000, partTime 5664, wholeTime 555972
line 26000, partTime 15579, wholeTime 571551
line 27000, partTime 17829, wholeTime 589380
line 28000, partTime 25503, wholeTime 614883
line 29000, partTime 4348, wholeTime 619231
line 30000, partTime 12508, wholeTime 631740
line 31000, partTime 7925, wholeTime 639665
line 32000, partTime 4407, wholeTime 644072
line 33000, partTime 33263, wholeTime 677335
line 34000, partTime 144423, wholeTime 821759
line 35000, partTime 240502, wholeTime 1062261
line 36000, partTime 176881, wholeTime 1239142
line 37000, partTime 74580, wholeTime 1313722
line 38000, partTime 190999, wholeTime 1504722
line 39000, partTime 101170, wholeTime 1605892
line 40000, partTime 73965, wholeTime 1679858
line 41000, partTime 31527, wholeTime 1711386
line 42000, partTime 70981, wholeTime 1782368
line 43000, partTime 179628, wholeTime 1961996
line 44000, partTime 64634, wholeTime 2026631
line 45000, partTime 67764, wholeTime 2094395
line 46000, partTime 33029, wholeTime 2127424
line 47000, partTime 31686, wholeTime 2159111
line 48000, partTime 49577, wholeTime 2208689
line 49000, partTime 30804, wholeTime 2239493
line 50000, partTime 32007, wholeTime 2271500
line 51000, partTime 15710, wholeTime 2287210
line 52000, partTime 155375, wholeTime 2442586
line 53000, partTime 123239, wholeTime 2565826
line 54000, partTime 88640, wholeTime 2654466
line 55000, partTime 191814, wholeTime 2846281
line 56000, partTime 67892, wholeTime 2914173
line 57000, partTime 24957, wholeTime 2939131
line 58000, partTime 93892, wholeTime 3033024
line 59000, partTime 30162, wholeTime 3063186
line 60000, partTime 104810, wholeTime 3167996
line 61000, partTime 12963, wholeTime 3180959
line 62000, partTime 5318, wholeTime 3186277
line 63000, partTime 161057, wholeTime 3347335
line 64000, partTime 70773, wholeTime 3418108
line 65000, partTime 51305, wholeTime 3469413
line 66000, partTime 85297, wholeTime 3554711
line 67000, partTime 8381, wholeTime 3563093
line 68000, partTime 18761, wholeTime 3581854
line 69000, partTime 26380, wholeTime 3608235
line 70000, partTime 18877, wholeTime 3627113
line 71000, partTime 16121, wholeTime 3643234
line 72000, partTime 34700, wholeTime 3677934
line 73000, partTime 2957, wholeTime 3680891
line 74000, partTime 7193, wholeTime 3688085
line 75000, partTime 326831, wholeTime 4014916
line 76000, partTime 100565, wholeTime 4115482
line 77000, partTime 122755, wholeTime 4238237
line 78000, partTime 226567, wholeTime 4464804
line 79000, partTime 23591, wholeTime 4488395
line 80000, partTime 31166, wholeTime 4519561
line 81000, partTime 112729, wholeTime 4632290
line 82000, partTime 57520, wholeTime 4689810
line 83000, partTime 53417, wholeTime 4743227
line 84000, partTime 62306, wholeTime 4805533
line 85000, partTime 31936, wholeTime 4837470
line 86000, partTime 24595, wholeTime 4862065
line 87000, partTime 12179, wholeTime 4874244
line 88000, partTime 65419, wholeTime 4939664
line 89000, partTime 43039, wholeTime 4982704
line 90000, partTime 29747, wholeTime 5012451
line 91000, partTime 52061, wholeTime 5064513
line 92000, partTime 10007, wholeTime 5074520
line 93000, partTime 35743, wholeTime 5110263
line 94000, partTime 35271, wholeTime 5145535
line 95000, partTime 51075, wholeTime 5196611
line 96000, partTime 18502, wholeTime 5215113
line 97000, partTime 25795, wholeTime 5240909
line 98000, partTime 54360, wholeTime 5295269
line 99000, partTime 2896, wholeTime 5298166
line 100000, partTime 4161, wholeTime 5302328
line 101000, partTime 73702, wholeTime 5376030
line 102000, partTime 98545, wholeTime 5474576
line 103000, partTime 52642, wholeTime 5527219
line 104000, partTime 29138, wholeTime 5556357
line 105000, partTime 94805, wholeTime 5651162
line 106000, partTime 22656, wholeTime 5673818
line 107000, partTime 37679, wholeTime 5711497
line 108000, partTime 17792, wholeTime 5729289
line 109000, partTime 35838, wholeTime 5765127
line 110000, partTime 15145, wholeTime 5780272
line 111000, partTime 29742, wholeTime 5810014
line 112000, partTime 28988, wholeTime 5839002
line 113000, partTime 19081, wholeTime 5858084
line 114000, partTime 5441, wholeTime 5863525
line 115000, partTime 7150, wholeTime 5870675
line 116000, partTime 27997, wholeTime 5898672
line 117000, partTime 35945, wholeTime 5934617
line 118000, partTime 20730, wholeTime 5955348
line 119000, partTime 16669, wholeTime 5972018
line 120000, partTime 31723, wholeTime 6003741
line 121000, partTime 14377, wholeTime 6018119
line 122000, partTime 11408, wholeTime 6029527
line 123000, partTime 2640, wholeTime 6032167
line 124000, partTime 21663, wholeTime 6053830
line 125000, partTime 10237, wholeTime 6064068
line 126000, partTime 10177, wholeTime 6074246
line 127000, partTime 6305, wholeTime 6080552
line 128000, partTime 16512, wholeTime 6097064
line 129000, partTime 5606, wholeTime 6102671
line 130000, partTime 251, wholeTime 6102923
line 131000, partTime 178, wholeTime 6103102
line 131328, partTime 66, wholeTime 6103168
Lines checked 1094
Paths count 18271268
Colors used 8
