thisProcessorNumber 119 out of 120
line 1000, partTime 3213, wholeTime 3213
line 2000, partTime 2995, wholeTime 6208
line 3000, partTime 8034, wholeTime 14242
line 4000, partTime 19671, wholeTime 33914
line 5000, partTime 18205, wholeTime 52119
line 6000, partTime 9204, wholeTime 61323
line 7000, partTime 8127, wholeTime 69451
line 8000, partTime 1684, wholeTime 71136
line 9000, partTime 22588, wholeTime 93724
line 10000, partTime 39093, wholeTime 132818
line 11000, partTime 36192, wholeTime 169010
line 12000, partTime 35006, wholeTime 204017
line 13000, partTime 27908, wholeTime 231925
line 14000, partTime 48469, wholeTime 280394
line 15000, partTime 20358, wholeTime 300752
line 16000, partTime 26130, wholeTime 326882
line 17000, partTime 16286, wholeTime 343169
line 18000, partTime 9874, wholeTime 353044
line 19000, partTime 29905, wholeTime 382949
line 20000, partTime 56472, wholeTime 439421
line 21000, partTime 19952, wholeTime 459374
line 22000, partTime 15116, wholeTime 474490
line 23000, partTime 47018, wholeTime 521508
line 24000, partTime 12043, wholeTime 533552
line 25000, partTime 6177, wholeTime 539729
line 26000, partTime 38844, wholeTime 578573
line 27000, partTime 16005, wholeTime 594579
line 28000, partTime 11403, wholeTime 605983
line 29000, partTime 2605, wholeTime 608588
line 30000, partTime 4945, wholeTime 613533
line 31000, partTime 7753, wholeTime 621286
line 32000, partTime 3619, wholeTime 624905
line 33000, partTime 546, wholeTime 625451
line 34000, partTime 226371, wholeTime 851823
line 35000, partTime 112101, wholeTime 963925
line 36000, partTime 121368, wholeTime 1085293
line 37000, partTime 130197, wholeTime 1215491
line 38000, partTime 84162, wholeTime 1299653
line 39000, partTime 85285, wholeTime 1384939
line 40000, partTime 101103, wholeTime 1486043
line 41000, partTime 64443, wholeTime 1550486
line 42000, partTime 94146, wholeTime 1644632
line 43000, partTime 150103, wholeTime 1794736
line 44000, partTime 55879, wholeTime 1850615
line 45000, partTime 138497, wholeTime 1989112
line 46000, partTime 37533, wholeTime 2026646
line 47000, partTime 78202, wholeTime 2104849
line 48000, partTime 41215, wholeTime 2146064
line 49000, partTime 55052, wholeTime 2201117
line 50000, partTime 34398, wholeTime 2235515
line 51000, partTime 10530, wholeTime 2246045
line 52000, partTime 114239, wholeTime 2360284
line 53000, partTime 143535, wholeTime 2503819
line 54000, partTime 67672, wholeTime 2571492
line 55000, partTime 143832, wholeTime 2715325
line 56000, partTime 85129, wholeTime 2800454
line 57000, partTime 77547, wholeTime 2878002
line 58000, partTime 83678, wholeTime 2961680
line 59000, partTime 37050, wholeTime 2998730
line 60000, partTime 27690, wholeTime 3026420
