thisProcessorNumber 104 out of 120
line 1000, partTime 2247, wholeTime 2247
line 2000, partTime 2527, wholeTime 4775
line 3000, partTime 18645, wholeTime 23421
line 4000, partTime 6849, wholeTime 30270
line 5000, partTime 7240, wholeTime 37511
line 6000, partTime 11929, wholeTime 49441
line 7000, partTime 3960, wholeTime 53402
line 8000, partTime 3818, wholeTime 57220
line 9000, partTime 47055, wholeTime 104275
line 10000, partTime 33967, wholeTime 138243
line 11000, partTime 39328, wholeTime 177571
line 12000, partTime 20084, wholeTime 197656
line 13000, partTime 16928, wholeTime 214584
line 14000, partTime 29015, wholeTime 243600
line 15000, partTime 37815, wholeTime 281415
line 16000, partTime 9557, wholeTime 290972
line 17000, partTime 29109, wholeTime 320081
line 18000, partTime 7073, wholeTime 327154
line 19000, partTime 41440, wholeTime 368594
line 20000, partTime 45913, wholeTime 414508
line 21000, partTime 41548, wholeTime 456056
line 22000, partTime 24906, wholeTime 480962
line 23000, partTime 17798, wholeTime 498760
line 24000, partTime 18222, wholeTime 516983
line 25000, partTime 7503, wholeTime 524486
line 26000, partTime 33584, wholeTime 558070
line 27000, partTime 14927, wholeTime 572997
line 28000, partTime 18655, wholeTime 591652
line 29000, partTime 5552, wholeTime 597205
line 30000, partTime 15058, wholeTime 612264
line 31000, partTime 7446, wholeTime 619710
line 32000, partTime 1112, wholeTime 620823
line 33000, partTime 42456, wholeTime 663279
line 34000, partTime 145975, wholeTime 809254
line 35000, partTime 113592, wholeTime 922846
line 36000, partTime 192013, wholeTime 1114859
line 37000, partTime 62938, wholeTime 1177797
line 38000, partTime 165385, wholeTime 1343183
line 39000, partTime 69766, wholeTime 1412950
line 40000, partTime 22189, wholeTime 1435139
line 41000, partTime 95609, wholeTime 1530748
line 42000, partTime 77240, wholeTime 1607989
line 43000, partTime 136226, wholeTime 1744215
line 44000, partTime 35657, wholeTime 1779873
line 45000, partTime 102810, wholeTime 1882684
line 46000, partTime 58964, wholeTime 1941648
line 47000, partTime 51761, wholeTime 1993410
line 48000, partTime 56488, wholeTime 2049899
line 49000, partTime 37887, wholeTime 2087786
line 50000, partTime 14075, wholeTime 2101862
line 51000, partTime 18985, wholeTime 2120848
line 52000, partTime 130676, wholeTime 2251525
line 53000, partTime 114150, wholeTime 2365675
line 54000, partTime 84584, wholeTime 2450260
line 55000, partTime 163618, wholeTime 2613878
line 56000, partTime 80250, wholeTime 2694128
line 57000, partTime 45653, wholeTime 2739782
line 58000, partTime 79444, wholeTime 2819226
line 59000, partTime 26211, wholeTime 2845437
line 60000, partTime 82037, wholeTime 2927475
line 61000, partTime 36672, wholeTime 2964148
line 62000, partTime 10515, wholeTime 2974664
line 63000, partTime 151352, wholeTime 3126016
line 64000, partTime 86432, wholeTime 3212449
line 65000, partTime 43976, wholeTime 3256425
line 66000, partTime 85320, wholeTime 3341745
line 67000, partTime 30876, wholeTime 3372621
line 68000, partTime 16898, wholeTime 3389520
line 69000, partTime 25893, wholeTime 3415414
line 70000, partTime 21429, wholeTime 3436843
line 71000, partTime 8923, wholeTime 3445767
line 72000, partTime 24212, wholeTime 3469980
line 73000, partTime 4480, wholeTime 3474460
line 74000, partTime 3995, wholeTime 3478456
line 75000, partTime 425245, wholeTime 3903701
line 76000, partTime 127526, wholeTime 4031228
line 77000, partTime 89096, wholeTime 4120324
line 78000, partTime 153885, wholeTime 4274210
line 79000, partTime 134139, wholeTime 4408350
line 80000, partTime 18005, wholeTime 4426356
line 81000, partTime 121728, wholeTime 4548084
line 82000, partTime 73105, wholeTime 4621190
line 83000, partTime 40504, wholeTime 4661695
line 84000, partTime 62977, wholeTime 4724672
line 85000, partTime 46488, wholeTime 4771161
line 86000, partTime 14463, wholeTime 4785624
line 87000, partTime 28769, wholeTime 4814394
line 88000, partTime 92648, wholeTime 4907043
line 89000, partTime 45206, wholeTime 4952249
line 90000, partTime 30442, wholeTime 4982691
line 91000, partTime 12956, wholeTime 4995648
line 92000, partTime 36908, wholeTime 5032557
line 93000, partTime 7015, wholeTime 5039572
line 94000, partTime 60103, wholeTime 5099676
line 95000, partTime 42717, wholeTime 5142393
line 96000, partTime 23183, wholeTime 5165577
line 97000, partTime 4517, wholeTime 5170094
line 98000, partTime 28565, wholeTime 5198660
line 99000, partTime 5087, wholeTime 5203747
line 100000, partTime 7580, wholeTime 5211328
line 101000, partTime 102182, wholeTime 5313510
line 102000, partTime 130301, wholeTime 5443811
line 103000, partTime 56342, wholeTime 5500154
line 104000, partTime 37658, wholeTime 5537813
line 105000, partTime 38457, wholeTime 5576270
line 106000, partTime 23707, wholeTime 5599977
line 107000, partTime 48666, wholeTime 5648643
line 108000, partTime 28623, wholeTime 5677267
line 109000, partTime 51761, wholeTime 5729029
line 110000, partTime 25061, wholeTime 5754090
line 111000, partTime 25247, wholeTime 5779338
line 112000, partTime 12480, wholeTime 5791818
line 113000, partTime 13346, wholeTime 5805165
line 114000, partTime 14833, wholeTime 5819999
line 115000, partTime 1421, wholeTime 5821420
line 116000, partTime 54624, wholeTime 5876044
line 117000, partTime 19737, wholeTime 5895781
line 118000, partTime 19361, wholeTime 5915143
line 119000, partTime 18092, wholeTime 5933235
line 120000, partTime 10744, wholeTime 5943980
line 121000, partTime 15395, wholeTime 5959375
line 122000, partTime 20671, wholeTime 5980046
line 123000, partTime 1353, wholeTime 5981400
line 124000, partTime 33592, wholeTime 6014993
line 125000, partTime 8574, wholeTime 6023567
line 126000, partTime 7999, wholeTime 6031566
line 127000, partTime 1883, wholeTime 6033450
line 128000, partTime 4995, wholeTime 6038446
line 129000, partTime 420, wholeTime 6038866
line 130000, partTime 258, wholeTime 6039124
line 131000, partTime 156, wholeTime 6039280
line 131328, partTime 67, wholeTime 6039348
Lines checked 1094
Paths count 17110932
Colors used 8
