thisProcessorNumber 100 out of 120
line 1000, partTime 5473, wholeTime 5473
line 2000, partTime 1674, wholeTime 7148
line 3000, partTime 27497, wholeTime 34646
line 4000, partTime 6191, wholeTime 40837
line 5000, partTime 8766, wholeTime 49603
line 6000, partTime 11665, wholeTime 61269
line 7000, partTime 5837, wholeTime 67106
line 8000, partTime 4425, wholeTime 71531
line 9000, partTime 66455, wholeTime 137986
line 10000, partTime 25387, wholeTime 163373
line 11000, partTime 39339, wholeTime 202713
line 12000, partTime 38909, wholeTime 241622
line 13000, partTime 8374, wholeTime 249996
line 14000, partTime 41850, wholeTime 291846
line 15000, partTime 35393, wholeTime 327239
line 16000, partTime 14834, wholeTime 342073
line 17000, partTime 31109, wholeTime 373182
line 18000, partTime 6408, wholeTime 379590
line 19000, partTime 38103, wholeTime 417694
line 20000, partTime 40570, wholeTime 458264
line 21000, partTime 37299, wholeTime 495563
line 22000, partTime 20223, wholeTime 515786
line 23000, partTime 21442, wholeTime 537228
line 24000, partTime 17377, wholeTime 554605
line 25000, partTime 7182, wholeTime 561787
line 26000, partTime 23021, wholeTime 584808
line 27000, partTime 13370, wholeTime 598178
line 28000, partTime 16417, wholeTime 614595
line 29000, partTime 3190, wholeTime 617785
line 30000, partTime 11958, wholeTime 629744
line 31000, partTime 7779, wholeTime 637523
line 32000, partTime 3654, wholeTime 641177
line 33000, partTime 42220, wholeTime 683397
line 34000, partTime 173680, wholeTime 857078
line 35000, partTime 149319, wholeTime 1006398
line 36000, partTime 194066, wholeTime 1200465
line 37000, partTime 50793, wholeTime 1251258
line 38000, partTime 139392, wholeTime 1390650
line 39000, partTime 80342, wholeTime 1470993
line 40000, partTime 85009, wholeTime 1556002
line 41000, partTime 40073, wholeTime 1596075
line 42000, partTime 58649, wholeTime 1654725
line 43000, partTime 195732, wholeTime 1850458
line 44000, partTime 64086, wholeTime 1914544
line 45000, partTime 47763, wholeTime 1962308
line 46000, partTime 22337, wholeTime 1984646
line 47000, partTime 41822, wholeTime 2026469
line 48000, partTime 78716, wholeTime 2105185
line 49000, partTime 19415, wholeTime 2124600
line 50000, partTime 24822, wholeTime 2149422
line 51000, partTime 22281, wholeTime 2171704
line 52000, partTime 110658, wholeTime 2282362
line 53000, partTime 178661, wholeTime 2461024
line 54000, partTime 49502, wholeTime 2510526
line 55000, partTime 140552, wholeTime 2651079
line 56000, partTime 58300, wholeTime 2709379
line 57000, partTime 30060, wholeTime 2739440
line 58000, partTime 86640, wholeTime 2826081
line 59000, partTime 38688, wholeTime 2864769
line 60000, partTime 96770, wholeTime 2961540
line 61000, partTime 22482, wholeTime 2984023
line 62000, partTime 6206, wholeTime 2990229
line 63000, partTime 144794, wholeTime 3135024
line 64000, partTime 110301, wholeTime 3245326
line 65000, partTime 33305, wholeTime 3278631
line 66000, partTime 67431, wholeTime 3346063
line 67000, partTime 15903, wholeTime 3361966
line 68000, partTime 19875, wholeTime 3381842
line 69000, partTime 26459, wholeTime 3408301
line 70000, partTime 22926, wholeTime 3431228
line 71000, partTime 11959, wholeTime 3443188
line 72000, partTime 18585, wholeTime 3461773
line 73000, partTime 4181, wholeTime 3465954
line 74000, partTime 5416, wholeTime 3471370
line 75000, partTime 386615, wholeTime 3857985
line 76000, partTime 158378, wholeTime 4016364
line 77000, partTime 66934, wholeTime 4083299
line 78000, partTime 214484, wholeTime 4297783
line 79000, partTime 35997, wholeTime 4333780
line 80000, partTime 35160, wholeTime 4368940
line 81000, partTime 120237, wholeTime 4489178
line 82000, partTime 87813, wholeTime 4576992
line 83000, partTime 31268, wholeTime 4608260
line 84000, partTime 67824, wholeTime 4676084
line 85000, partTime 34086, wholeTime 4710170
line 86000, partTime 20902, wholeTime 4731072
line 87000, partTime 19977, wholeTime 4751050
