thisProcessorNumber 108 out of 120
line 1000, partTime 1471, wholeTime 1471
line 2000, partTime 5879, wholeTime 7351
line 3000, partTime 12704, wholeTime 20055
line 4000, partTime 13615, wholeTime 33670
line 5000, partTime 6362, wholeTime 40033
line 6000, partTime 14877, wholeTime 54911
line 7000, partTime 7720, wholeTime 62631
line 8000, partTime 3713, wholeTime 66344
line 9000, partTime 53365, wholeTime 119710
line 10000, partTime 39570, wholeTime 159281
line 11000, partTime 12831, wholeTime 172112
line 12000, partTime 13137, wholeTime 185250
line 13000, partTime 29195, wholeTime 214445
line 14000, partTime 41147, wholeTime 255593
line 15000, partTime 17690, wholeTime 273283
line 16000, partTime 20666, wholeTime 293949
line 17000, partTime 26526, wholeTime 320475
line 18000, partTime 5250, wholeTime 325725
line 19000, partTime 30604, wholeTime 356329
line 20000, partTime 26000, wholeTime 382330
line 21000, partTime 39618, wholeTime 421948
line 22000, partTime 13652, wholeTime 435600
line 23000, partTime 22749, wholeTime 458349
line 24000, partTime 14372, wholeTime 472722
line 25000, partTime 6158, wholeTime 478881
line 26000, partTime 24652, wholeTime 503534
line 27000, partTime 19834, wholeTime 523368
line 28000, partTime 16903, wholeTime 540271
line 29000, partTime 5342, wholeTime 545613
line 30000, partTime 16159, wholeTime 561772
line 31000, partTime 3904, wholeTime 565676
line 32000, partTime 4500, wholeTime 570177
line 33000, partTime 35341, wholeTime 605519
line 34000, partTime 189230, wholeTime 794749
line 35000, partTime 219878, wholeTime 1014628
line 36000, partTime 137086, wholeTime 1151714
line 37000, partTime 28794, wholeTime 1180509
line 38000, partTime 100878, wholeTime 1281387
line 39000, partTime 105250, wholeTime 1386637
line 40000, partTime 57611, wholeTime 1444249
line 41000, partTime 44954, wholeTime 1489204
line 42000, partTime 123716, wholeTime 1612920
line 43000, partTime 154516, wholeTime 1767437
line 44000, partTime 43105, wholeTime 1810542
line 45000, partTime 154627, wholeTime 1965170
line 46000, partTime 59064, wholeTime 2024235
line 47000, partTime 33456, wholeTime 2057691
line 48000, partTime 73769, wholeTime 2131461
line 49000, partTime 34037, wholeTime 2165498
line 50000, partTime 22507, wholeTime 2188005
line 51000, partTime 20039, wholeTime 2208045
line 52000, partTime 123773, wholeTime 2331819
line 53000, partTime 200629, wholeTime 2532448
line 54000, partTime 49607, wholeTime 2582056
line 55000, partTime 120197, wholeTime 2702253
line 56000, partTime 38950, wholeTime 2741204
line 57000, partTime 94232, wholeTime 2835436
line 58000, partTime 86008, wholeTime 2921445
line 59000, partTime 40953, wholeTime 2962399
line 60000, partTime 97567, wholeTime 3059966
line 61000, partTime 24041, wholeTime 3084008
line 62000, partTime 7531, wholeTime 3091539
line 63000, partTime 108540, wholeTime 3200080
line 64000, partTime 116745, wholeTime 3316825
line 65000, partTime 29544, wholeTime 3346369
line 66000, partTime 55277, wholeTime 3401647
line 67000, partTime 19881, wholeTime 3421529
line 68000, partTime 16080, wholeTime 3437610
line 69000, partTime 60321, wholeTime 3497931
line 70000, partTime 25160, wholeTime 3523091
line 71000, partTime 7649, wholeTime 3530740
line 72000, partTime 18820, wholeTime 3549561
line 73000, partTime 3376, wholeTime 3552938
line 74000, partTime 5032, wholeTime 3557970
line 75000, partTime 296237, wholeTime 3854208
line 76000, partTime 112315, wholeTime 3966524
line 77000, partTime 68045, wholeTime 4034569
line 78000, partTime 148688, wholeTime 4183257
line 79000, partTime 81010, wholeTime 4264268
line 80000, partTime 46076, wholeTime 4310344
line 81000, partTime 133257, wholeTime 4443602
line 82000, partTime 76278, wholeTime 4519880
line 83000, partTime 61175, wholeTime 4581055
line 84000, partTime 54904, wholeTime 4635960
line 85000, partTime 40015, wholeTime 4675975
line 86000, partTime 13557, wholeTime 4689532
line 87000, partTime 34417, wholeTime 4723949
line 88000, partTime 130805, wholeTime 4854754
line 89000, partTime 95308, wholeTime 4950063
line 90000, partTime 33408, wholeTime 4983472
line 91000, partTime 43491, wholeTime 5026963
line 92000, partTime 24746, wholeTime 5051709
line 93000, partTime 23770, wholeTime 5075479
line 94000, partTime 48672, wholeTime 5124152
line 95000, partTime 40966, wholeTime 5165119
line 96000, partTime 8784, wholeTime 5173904
line 97000, partTime 6333, wholeTime 5180237
line 98000, partTime 15275, wholeTime 5195512
line 99000, partTime 4590, wholeTime 5200103
line 100000, partTime 6091, wholeTime 5206194
line 101000, partTime 69310, wholeTime 5275505
line 102000, partTime 111278, wholeTime 5386783
line 103000, partTime 70859, wholeTime 5457643
