thisProcessorNumber 117 out of 120
line 1000, partTime 3556, wholeTime 3556
line 2000, partTime 4227, wholeTime 7784
line 3000, partTime 25084, wholeTime 32869
line 4000, partTime 19422, wholeTime 52291
line 5000, partTime 17394, wholeTime 69685
line 6000, partTime 6442, wholeTime 76128
line 7000, partTime 5272, wholeTime 81400
line 8000, partTime 3744, wholeTime 85144
line 9000, partTime 31777, wholeTime 116922
line 10000, partTime 31668, wholeTime 148590
line 11000, partTime 38532, wholeTime 187122
line 12000, partTime 66206, wholeTime 253328
line 13000, partTime 23914, wholeTime 277243
line 14000, partTime 45708, wholeTime 322951
line 15000, partTime 42135, wholeTime 365087
line 16000, partTime 35240, wholeTime 400327
line 17000, partTime 17050, wholeTime 417378
line 18000, partTime 14991, wholeTime 432370
line 19000, partTime 32026, wholeTime 464397
line 20000, partTime 45489, wholeTime 509886
line 21000, partTime 51152, wholeTime 561039
line 22000, partTime 17971, wholeTime 579010
line 23000, partTime 36925, wholeTime 615935
line 24000, partTime 21793, wholeTime 637729
line 25000, partTime 7020, wholeTime 644749
line 26000, partTime 29546, wholeTime 674295
line 27000, partTime 21590, wholeTime 695886
line 28000, partTime 20592, wholeTime 716478
line 29000, partTime 3042, wholeTime 719520
line 30000, partTime 8002, wholeTime 727522
line 31000, partTime 8548, wholeTime 736071
line 32000, partTime 7503, wholeTime 743575
line 33000, partTime 41792, wholeTime 785367
line 34000, partTime 181537, wholeTime 966905
line 35000, partTime 220209, wholeTime 1187115
line 36000, partTime 133193, wholeTime 1320308
line 37000, partTime 70636, wholeTime 1390945
line 38000, partTime 96876, wholeTime 1487821
line 39000, partTime 88280, wholeTime 1576101
line 40000, partTime 116173, wholeTime 1692275
line 41000, partTime 34335, wholeTime 1726611
line 42000, partTime 132475, wholeTime 1859086
line 43000, partTime 129948, wholeTime 1989034
line 44000, partTime 89731, wholeTime 2078766
line 45000, partTime 136094, wholeTime 2214860
line 46000, partTime 46300, wholeTime 2261161
line 47000, partTime 109168, wholeTime 2370330
line 48000, partTime 46363, wholeTime 2416693
line 49000, partTime 60044, wholeTime 2476738
line 50000, partTime 22963, wholeTime 2499701
line 51000, partTime 13057, wholeTime 2512758
line 52000, partTime 152973, wholeTime 2665732
line 53000, partTime 142241, wholeTime 2807973
line 54000, partTime 58016, wholeTime 2865990
line 55000, partTime 152256, wholeTime 3018246
line 56000, partTime 45318, wholeTime 3063564
line 57000, partTime 114707, wholeTime 3178271
line 58000, partTime 82929, wholeTime 3261201
line 59000, partTime 56206, wholeTime 3317408
line 60000, partTime 70636, wholeTime 3388045
line 61000, partTime 14726, wholeTime 3402771
line 62000, partTime 5241, wholeTime 3408013
line 63000, partTime 164673, wholeTime 3572687
line 64000, partTime 63554, wholeTime 3636241
line 65000, partTime 48344, wholeTime 3684586
line 66000, partTime 69981, wholeTime 3754567
line 67000, partTime 18486, wholeTime 3773053
line 68000, partTime 17659, wholeTime 3790713
line 69000, partTime 76518, wholeTime 3867231
line 70000, partTime 10030, wholeTime 3877262
line 71000, partTime 20217, wholeTime 3897479
line 72000, partTime 33555, wholeTime 3931035
line 73000, partTime 4742, wholeTime 3935777
line 74000, partTime 5647, wholeTime 3941424
line 75000, partTime 300581, wholeTime 4242006
line 76000, partTime 87141, wholeTime 4329148
line 77000, partTime 110713, wholeTime 4439861
line 78000, partTime 178901, wholeTime 4618762
line 79000, partTime 32401, wholeTime 4651163
line 80000, partTime 54147, wholeTime 4705311
line 81000, partTime 133895, wholeTime 4839206
line 82000, partTime 46659, wholeTime 4885866
line 83000, partTime 96392, wholeTime 4982258
line 84000, partTime 85566, wholeTime 5067824
line 85000, partTime 28626, wholeTime 5096450
line 86000, partTime 12745, wholeTime 5109196
line 87000, partTime 117639, wholeTime 5226835
line 88000, partTime 153878, wholeTime 5380714
line 89000, partTime 84661, wholeTime 5465375
line 90000, partTime 83460, wholeTime 5548836
line 91000, partTime 88717, wholeTime 5637553
line 92000, partTime 5350, wholeTime 5642904
line 93000, partTime 25162, wholeTime 5668067
line 94000, partTime 39858, wholeTime 5707925
line 95000, partTime 34694, wholeTime 5742619
line 96000, partTime 23758, wholeTime 5766378
line 97000, partTime 18891, wholeTime 5785270
line 98000, partTime 38422, wholeTime 5823693
line 99000, partTime 5787, wholeTime 5829480
line 100000, partTime 3681, wholeTime 5833162
line 101000, partTime 60730, wholeTime 5893893
line 102000, partTime 85144, wholeTime 5979038
line 103000, partTime 34382, wholeTime 6013420
line 104000, partTime 65005, wholeTime 6078425
line 105000, partTime 87594, wholeTime 6166020
line 106000, partTime 10327, wholeTime 6176347
line 107000, partTime 18361, wholeTime 6194708
line 108000, partTime 14523, wholeTime 6209232
line 109000, partTime 34616, wholeTime 6243848
line 110000, partTime 34413, wholeTime 6278262
line 111000, partTime 27799, wholeTime 6306061
line 112000, partTime 24211, wholeTime 6330272
line 113000, partTime 26317, wholeTime 6356589
line 114000, partTime 2215, wholeTime 6358805
line 115000, partTime 1248, wholeTime 6360053
line 116000, partTime 18985, wholeTime 6379038
line 117000, partTime 20186, wholeTime 6399224
line 118000, partTime 11076, wholeTime 6410300
line 119000, partTime 17284, wholeTime 6427585
line 120000, partTime 37658, wholeTime 6465244
line 121000, partTime 14305, wholeTime 6479549
line 122000, partTime 2792, wholeTime 6482341
line 123000, partTime 12526, wholeTime 6494868
line 124000, partTime 11996, wholeTime 6506865
line 125000, partTime 12854, wholeTime 6519719
line 126000, partTime 12074, wholeTime 6531793
line 127000, partTime 3588, wholeTime 6535381
line 128000, partTime 14445, wholeTime 6549827
line 129000, partTime 4477, wholeTime 6554304
line 130000, partTime 249, wholeTime 6554554
line 131000, partTime 156, wholeTime 6554710
line 131328, partTime 46, wholeTime 6554757
Lines checked 1094
Paths count 18808004
Colors used 8
