thisProcessorNumber 111 out of 120
line 1000, partTime 2464, wholeTime 2464
line 2000, partTime 4602, wholeTime 7066
line 3000, partTime 10764, wholeTime 17830
line 4000, partTime 9843, wholeTime 27674
line 5000, partTime 9828, wholeTime 37502
line 6000, partTime 18049, wholeTime 55551
line 7000, partTime 7098, wholeTime 62649
line 8000, partTime 4368, wholeTime 67017
line 9000, partTime 64646, wholeTime 131664
line 10000, partTime 49920, wholeTime 181584
line 11000, partTime 18626, wholeTime 200210
line 12000, partTime 33009, wholeTime 233220
line 13000, partTime 27066, wholeTime 260286
line 14000, partTime 52759, wholeTime 313045
line 15000, partTime 34710, wholeTime 347755
line 16000, partTime 22058, wholeTime 369814
line 17000, partTime 28813, wholeTime 398627
line 18000, partTime 16598, wholeTime 415225
line 19000, partTime 27237, wholeTime 442463
line 20000, partTime 50419, wholeTime 492882
line 21000, partTime 27253, wholeTime 520136
line 22000, partTime 10327, wholeTime 530463
line 23000, partTime 19562, wholeTime 550025
line 24000, partTime 15896, wholeTime 565922
line 25000, partTime 4336, wholeTime 570259
line 26000, partTime 25303, wholeTime 595562
line 27000, partTime 16395, wholeTime 611957
line 28000, partTime 15225, wholeTime 627183
line 29000, partTime 6879, wholeTime 634063
line 30000, partTime 16551, wholeTime 650614
line 31000, partTime 5210, wholeTime 655825
line 32000, partTime 5085, wholeTime 660910
line 33000, partTime 16551, wholeTime 677462
line 34000, partTime 243953, wholeTime 921415
line 35000, partTime 147638, wholeTime 1069054
line 36000, partTime 185967, wholeTime 1255022
line 37000, partTime 47798, wholeTime 1302820
line 38000, partTime 107920, wholeTime 1410741
line 39000, partTime 78031, wholeTime 1488773
line 40000, partTime 84458, wholeTime 1573231
line 41000, partTime 50481, wholeTime 1623713
line 42000, partTime 94660, wholeTime 1718374
line 43000, partTime 163113, wholeTime 1881488
line 44000, partTime 39421, wholeTime 1920909
line 45000, partTime 171335, wholeTime 2092244
line 46000, partTime 63429, wholeTime 2155674
line 47000, partTime 28173, wholeTime 2183847
line 48000, partTime 52338, wholeTime 2236185
line 49000, partTime 22510, wholeTime 2258696
line 50000, partTime 34616, wholeTime 2293313
line 51000, partTime 24710, wholeTime 2318023
line 52000, partTime 127748, wholeTime 2445772
line 53000, partTime 134004, wholeTime 2579776
line 54000, partTime 119340, wholeTime 2699116
line 55000, partTime 111337, wholeTime 2810454
line 56000, partTime 73834, wholeTime 2884289
line 57000, partTime 58047, wholeTime 2942336
line 58000, partTime 89778, wholeTime 3032114
line 59000, partTime 33618, wholeTime 3065732
line 60000, partTime 41090, wholeTime 3106823
line 61000, partTime 24398, wholeTime 3131221
line 62000, partTime 4118, wholeTime 3135340
line 63000, partTime 145829, wholeTime 3281169
line 64000, partTime 88732, wholeTime 3369902
line 65000, partTime 41059, wholeTime 3410961
line 66000, partTime 67672, wholeTime 3478634
line 67000, partTime 29624, wholeTime 3508258
line 68000, partTime 12464, wholeTime 3520723
line 69000, partTime 39265, wholeTime 3559988
