thisProcessorNumber 112 out of 120
line 1000, partTime 1294, wholeTime 1294
line 2000, partTime 4165, wholeTime 5460
line 3000, partTime 14040, wholeTime 19500
line 4000, partTime 11029, wholeTime 30529
line 5000, partTime 8455, wholeTime 38984
line 6000, partTime 9422, wholeTime 48406
line 7000, partTime 8439, wholeTime 56846
line 8000, partTime 2464, wholeTime 59311
line 9000, partTime 42853, wholeTime 102164
line 10000, partTime 45801, wholeTime 147966
line 11000, partTime 22370, wholeTime 170336
line 12000, partTime 21793, wholeTime 192129
line 13000, partTime 27799, wholeTime 219929
line 14000, partTime 32541, wholeTime 252470
line 15000, partTime 29671, wholeTime 282142
line 16000, partTime 21138, wholeTime 303280
line 17000, partTime 25989, wholeTime 329269
line 18000, partTime 10935, wholeTime 340205
line 19000, partTime 31059, wholeTime 371265
line 20000, partTime 31184, wholeTime 402449
line 21000, partTime 31231, wholeTime 433680
line 22000, partTime 17690, wholeTime 451371
line 23000, partTime 16426, wholeTime 467798
line 24000, partTime 18408, wholeTime 486206
line 25000, partTime 3868, wholeTime 490074
line 26000, partTime 28501, wholeTime 518576
line 27000, partTime 16348, wholeTime 534924
line 28000, partTime 4820, wholeTime 539745
line 29000, partTime 7020, wholeTime 546765
line 30000, partTime 15927, wholeTime 562692
line 31000, partTime 2683, wholeTime 565376
line 32000, partTime 2215, wholeTime 567591
line 33000, partTime 46051, wholeTime 613642
line 34000, partTime 159089, wholeTime 772731
line 35000, partTime 114192, wholeTime 886923
line 36000, partTime 79684, wholeTime 966608
line 37000, partTime 52150, wholeTime 1018759
line 38000, partTime 98888, wholeTime 1117648
line 39000, partTime 77454, wholeTime 1195102
line 40000, partTime 77984, wholeTime 1273087
line 41000, partTime 39998, wholeTime 1313085
line 42000, partTime 122475, wholeTime 1435561
line 43000, partTime 118653, wholeTime 1554215
line 44000, partTime 28782, wholeTime 1582997
line 45000, partTime 157295, wholeTime 1740292
line 46000, partTime 53508, wholeTime 1793800
line 47000, partTime 127296, wholeTime 1921096
line 48000, partTime 43648, wholeTime 1964745
line 49000, partTime 18766, wholeTime 1983512
line 50000, partTime 14944, wholeTime 1998457
line 51000, partTime 23790, wholeTime 2022247
line 52000, partTime 109293, wholeTime 2131540
line 53000, partTime 122039, wholeTime 2253579
line 54000, partTime 62743, wholeTime 2316323
line 55000, partTime 92227, wholeTime 2408550
line 56000, partTime 68546, wholeTime 2477097
line 57000, partTime 89325, wholeTime 2566422
line 58000, partTime 57688, wholeTime 2624111
line 59000, partTime 34538, wholeTime 2658650
line 60000, partTime 70168, wholeTime 2728819
line 61000, partTime 28953, wholeTime 2757772
line 62000, partTime 7144, wholeTime 2764917
line 63000, partTime 160337, wholeTime 2925254
line 64000, partTime 76954, wholeTime 3002209
line 65000, partTime 37174, wholeTime 3039384
line 66000, partTime 39889, wholeTime 3079273
line 67000, partTime 29250, wholeTime 3108523
line 68000, partTime 8704, wholeTime 3117228
line 69000, partTime 58921, wholeTime 3176149
line 70000, partTime 13806, wholeTime 3189956
line 71000, partTime 11466, wholeTime 3201422
line 72000, partTime 26535, wholeTime 3227957
line 73000, partTime 10108, wholeTime 3238066
line 74000, partTime 6130, wholeTime 3244197
line 75000, partTime 377739, wholeTime 3621936
line 76000, partTime 77875, wholeTime 3699811
line 77000, partTime 80340, wholeTime 3780151
line 78000, partTime 61074, wholeTime 3841225
line 79000, partTime 85300, wholeTime 3926526
line 80000, partTime 19094, wholeTime 3945621
line 81000, partTime 156015, wholeTime 4101637
line 82000, partTime 49015, wholeTime 4150652
line 83000, partTime 58796, wholeTime 4209448
line 84000, partTime 52930, wholeTime 4262379
line 85000, partTime 36488, wholeTime 4298868
line 86000, partTime 3993, wholeTime 4302861
line 87000, partTime 45770, wholeTime 4348632
line 88000, partTime 111493, wholeTime 4460125
line 89000, partTime 74240, wholeTime 4534366
line 90000, partTime 55738, wholeTime 4590105
line 91000, partTime 27596, wholeTime 4617701
line 92000, partTime 15958, wholeTime 4633660
line 93000, partTime 13806, wholeTime 4647466
line 94000, partTime 41230, wholeTime 4688697
line 95000, partTime 29281, wholeTime 4717978
line 96000, partTime 19344, wholeTime 4737322
line 97000, partTime 3260, wholeTime 4740583
line 98000, partTime 26036, wholeTime 4766619
