thisProcessorNumber 57 out of 120
line 1000, partTime 35163, wholeTime 35163
line 2000, partTime 25398, wholeTime 60561
line 3000, partTime 126679, wholeTime 187240
line 4000, partTime 66956, wholeTime 254196
line 5000, partTime 77252, wholeTime 331448
line 6000, partTime 86585, wholeTime 418034
line 7000, partTime 66777, wholeTime 484811
line 8000, partTime 22007, wholeTime 506818
line 9000, partTime 292681, wholeTime 799500
line 10000, partTime 390010, wholeTime 1189510
line 11000, partTime 201543, wholeTime 1391053
line 12000, partTime 205028, wholeTime 1596082
line 13000, partTime 111920, wholeTime 1708002
line 14000, partTime 363757, wholeTime 2071759
line 15000, partTime 128506, wholeTime 2200265
line 16000, partTime 179371, wholeTime 2379636
line 17000, partTime 123414, wholeTime 2503051
line 18000, partTime 85208, wholeTime 2588259
line 19000, partTime 403162, wholeTime 2991421
line 20000, partTime 257457, wholeTime 3248878
line 21000, partTime 202826, wholeTime 3451704
line 22000, partTime 407059, wholeTime 3858764
line 23000, partTime 199844, wholeTime 4058608
line 24000, partTime 93824, wholeTime 4152432
line 25000, partTime 44014, wholeTime 4196446
line 26000, partTime 270610, wholeTime 4467057
line 27000, partTime 50608, wholeTime 4517665
line 28000, partTime 52215, wholeTime 4569880
line 29000, partTime 46628, wholeTime 4616509
line 30000, partTime 83694, wholeTime 4700203
line 31000, partTime 43592, wholeTime 4743795
line 32000, partTime 17971, wholeTime 4761767
line 33000, partTime 153027, wholeTime 4914794
line 34000, partTime 1563103, wholeTime 6477897
line 35000, partTime 1019070, wholeTime 7496968
line 36000, partTime 808762, wholeTime 8305730
line 37000, partTime 974846, wholeTime 9280576
line 38000, partTime 1541603, wholeTime 10822179
line 39000, partTime 655325, wholeTime 11477504
line 40000, partTime 792139, wholeTime 12269643
line 41000, partTime 353382, wholeTime 12623026
line 42000, partTime 1132409, wholeTime 13755435
line 43000, partTime 1069249, wholeTime 14824685
line 44000, partTime 387524, wholeTime 15212209
line 45000, partTime 876036, wholeTime 16088245
line 46000, partTime 423199, wholeTime 16511444
line 47000, partTime 1471718, wholeTime 17983162
line 48000, partTime 92103, wholeTime 18075265
line 49000, partTime 313227, wholeTime 18388492
line 50000, partTime 172340, wholeTime 18560833
line 51000, partTime 155534, wholeTime 18716367
line 52000, partTime 1565975, wholeTime 20282343
line 53000, partTime 481377, wholeTime 20763720
line 54000, partTime 485619, wholeTime 21249339
line 55000, partTime 717699, wholeTime 21967039
line 56000, partTime 143690, wholeTime 22110729
line 57000, partTime 853975, wholeTime 22964705
line 58000, partTime 402759, wholeTime 23367464
line 59000, partTime 300706, wholeTime 23668170
line 60000, partTime 171544, wholeTime 23839714
line 61000, partTime 127072, wholeTime 23966786
line 62000, partTime 230573, wholeTime 24197360
line 63000, partTime 970282, wholeTime 25167642
line 64000, partTime 156001, wholeTime 25323644
line 65000, partTime 214370, wholeTime 25538014
line 66000, partTime 207563, wholeTime 25745577
line 67000, partTime 122664, wholeTime 25868242
line 68000, partTime 134946, wholeTime 26003188
line 69000, partTime 586785, wholeTime 26589973
line 70000, partTime 112038, wholeTime 26702011
line 71000, partTime 172556, wholeTime 26874567
line 72000, partTime 127285, wholeTime 27001852
line 73000, partTime 54607, wholeTime 27056460
line 74000, partTime 264184, wholeTime 27320644
line 75000, partTime 1909750, wholeTime 29230394
line 76000, partTime 469972, wholeTime 29700367
line 77000, partTime 665557, wholeTime 30365924
line 78000, partTime 1012687, wholeTime 31378611
