thisProcessorNumber 59 out of 120
line 1000, partTime 41420, wholeTime 41420
line 2000, partTime 30789, wholeTime 72209
line 3000, partTime 110677, wholeTime 182886
line 4000, partTime 23691, wholeTime 206577
line 5000, partTime 60262, wholeTime 266839
line 6000, partTime 64128, wholeTime 330967
line 7000, partTime 75611, wholeTime 406578
line 8000, partTime 13421, wholeTime 419999
line 9000, partTime 331805, wholeTime 751805
line 10000, partTime 398683, wholeTime 1150488
line 11000, partTime 141518, wholeTime 1292006
line 12000, partTime 245028, wholeTime 1537035
line 13000, partTime 77042, wholeTime 1614077
line 14000, partTime 383101, wholeTime 1997179
line 15000, partTime 141531, wholeTime 2138710
line 16000, partTime 164956, wholeTime 2303667
line 17000, partTime 145111, wholeTime 2448778
line 18000, partTime 85815, wholeTime 2534593
line 19000, partTime 262280, wholeTime 2796874
line 20000, partTime 380936, wholeTime 3177810
line 21000, partTime 211848, wholeTime 3389658
line 22000, partTime 223357, wholeTime 3613016
line 23000, partTime 389137, wholeTime 4002153
line 24000, partTime 94495, wholeTime 4096648
line 25000, partTime 41158, wholeTime 4137807
line 26000, partTime 322344, wholeTime 4460151
line 27000, partTime 60274, wholeTime 4520426
line 28000, partTime 88097, wholeTime 4608523
line 29000, partTime 21387, wholeTime 4629911
line 30000, partTime 99979, wholeTime 4729890
line 31000, partTime 23634, wholeTime 4753524
line 32000, partTime 17423, wholeTime 4770947
line 33000, partTime 106208, wholeTime 4877155
line 34000, partTime 1976556, wholeTime 6853712
line 35000, partTime 1228699, wholeTime 8082411
line 36000, partTime 890590, wholeTime 8973001
line 37000, partTime 874938, wholeTime 9847940
line 38000, partTime 1367969, wholeTime 11215909
line 39000, partTime 586508, wholeTime 11802417
line 40000, partTime 549759, wholeTime 12352177
line 41000, partTime 266185, wholeTime 12618362
line 42000, partTime 738463, wholeTime 13356825
line 43000, partTime 1242766, wholeTime 14599591
line 44000, partTime 363566, wholeTime 14963158
line 45000, partTime 974336, wholeTime 15937494
line 46000, partTime 241101, wholeTime 16178595
line 47000, partTime 1118656, wholeTime 17297251
line 48000, partTime 232221, wholeTime 17529472
line 49000, partTime 173615, wholeTime 17703088
line 50000, partTime 191023, wholeTime 17894111
line 51000, partTime 122797, wholeTime 18016908
line 52000, partTime 955778, wholeTime 18972687
line 53000, partTime 1178294, wholeTime 20150982
line 54000, partTime 236910, wholeTime 20387892
line 55000, partTime 836291, wholeTime 21224183
line 56000, partTime 193831, wholeTime 21418014
line 57000, partTime 554382, wholeTime 21972396
line 58000, partTime 422992, wholeTime 22395389
line 59000, partTime 539328, wholeTime 22934717
line 60000, partTime 140797, wholeTime 23075514
line 61000, partTime 223939, wholeTime 23299454
line 62000, partTime 177234, wholeTime 23476688
line 63000, partTime 581401, wholeTime 24058089
line 64000, partTime 496515, wholeTime 24554604
line 65000, partTime 92133, wholeTime 24646737
line 66000, partTime 164302, wholeTime 24811039
line 67000, partTime 142018, wholeTime 24953057
line 68000, partTime 132838, wholeTime 25085895
line 69000, partTime 438670, wholeTime 25524566
line 70000, partTime 224776, wholeTime 25749342
line 71000, partTime 92382, wholeTime 25841725
line 72000, partTime 114102, wholeTime 25955827
line 73000, partTime 49722, wholeTime 26005549
line 74000, partTime 36408, wholeTime 26041957
line 75000, partTime 1783477, wholeTime 27825434
line 76000, partTime 1564049, wholeTime 29389483
line 77000, partTime 289778, wholeTime 29679261
line 78000, partTime 719757, wholeTime 30399019
line 79000, partTime 428007, wholeTime 30827026
line 80000, partTime 256091, wholeTime 31083117
line 81000, partTime 1233514, wholeTime 32316631
line 82000, partTime 612078, wholeTime 32928709
line 83000, partTime 498339, wholeTime 33427049
line 84000, partTime 331951, wholeTime 33759000
line 85000, partTime 286689, wholeTime 34045689
line 86000, partTime 78826, wholeTime 34124516
line 87000, partTime 480002, wholeTime 34604518
line 88000, partTime 1990982, wholeTime 36595500
line 89000, partTime 679512, wholeTime 37275013
line 90000, partTime 291728, wholeTime 37566741
line 91000, partTime 260580, wholeTime 37827321
line 92000, partTime 206606, wholeTime 38033927
line 93000, partTime 194872, wholeTime 38228800
line 94000, partTime 252080, wholeTime 38480880
line 95000, partTime 415605, wholeTime 38896485
line 96000, partTime 265181, wholeTime 39161666
line 97000, partTime 62036, wholeTime 39223702
line 98000, partTime 85451, wholeTime 39309153
line 99000, partTime 45820, wholeTime 39354974
line 100000, partTime 97627, wholeTime 39452601
line 101000, partTime 833009, wholeTime 40285610
line 102000, partTime 695942, wholeTime 40981552
line 103000, partTime 752134, wholeTime 41733686
line 104000, partTime 179032, wholeTime 41912719
line 105000, partTime 480243, wholeTime 42392962
line 106000, partTime 183405, wholeTime 42576367
line 107000, partTime 92600, wholeTime 42668967
line 108000, partTime 122484, wholeTime 42791451
line 109000, partTime 321679, wholeTime 43113130
line 110000, partTime 241342, wholeTime 43354472
line 111000, partTime 80954, wholeTime 43435427
line 112000, partTime 64052, wholeTime 43499479
line 113000, partTime 130687, wholeTime 43630166
line 114000, partTime 11120, wholeTime 43641286
line 115000, partTime 2919, wholeTime 43644206
line 116000, partTime 157833, wholeTime 43802040
line 117000, partTime 249441, wholeTime 44051481
line 118000, partTime 123098, wholeTime 44174580
line 119000, partTime 37739, wholeTime 44212319
line 120000, partTime 117911, wholeTime 44330230
line 121000, partTime 16995, wholeTime 44347225
line 122000, partTime 16056, wholeTime 44363281
line 123000, partTime 34399, wholeTime 44397680
line 124000, partTime 64348, wholeTime 44462029
line 125000, partTime 74035, wholeTime 44536064
line 126000, partTime 30368, wholeTime 44566432
line 127000, partTime 8106, wholeTime 44574538
line 128000, partTime 918, wholeTime 44575456
line 129000, partTime 1099, wholeTime 44576556
line 130000, partTime 1089, wholeTime 44577645
line 131000, partTime 877, wholeTime 44578523
line 131328, partTime 159, wholeTime 44578682
Lines checked 1094
Paths count 19637369
Colors used 8
