thisProcessorNumber 44 out of 120
line 1000, partTime 5434, wholeTime 5434
line 2000, partTime 8074, wholeTime 13508
line 3000, partTime 58483, wholeTime 71992
line 4000, partTime 48706, wholeTime 120698
line 5000, partTime 62523, wholeTime 183222
line 6000, partTime 62669, wholeTime 245891
line 7000, partTime 38563, wholeTime 284455
line 8000, partTime 20372, wholeTime 304827
line 9000, partTime 150092, wholeTime 454919
line 10000, partTime 277484, wholeTime 732404
line 11000, partTime 270335, wholeTime 1002739
line 12000, partTime 92159, wholeTime 1094898
line 13000, partTime 45595, wholeTime 1140494
line 14000, partTime 259640, wholeTime 1400134
line 15000, partTime 95415, wholeTime 1495550
line 16000, partTime 189813, wholeTime 1685363
line 17000, partTime 62353, wholeTime 1747717
line 18000, partTime 90887, wholeTime 1838604
line 19000, partTime 132383, wholeTime 1970987
line 20000, partTime 235487, wholeTime 2206475
line 21000, partTime 83990, wholeTime 2290465
line 22000, partTime 140573, wholeTime 2431039
line 23000, partTime 119878, wholeTime 2550918
line 24000, partTime 38935, wholeTime 2589853
line 25000, partTime 47123, wholeTime 2636977
line 26000, partTime 213923, wholeTime 2850900
line 27000, partTime 64119, wholeTime 2915020
line 28000, partTime 57948, wholeTime 2972968
line 29000, partTime 42408, wholeTime 3015376
line 30000, partTime 118102, wholeTime 3133479
line 31000, partTime 14866, wholeTime 3148346
line 32000, partTime 26996, wholeTime 3175342
line 33000, partTime 58415, wholeTime 3233757
line 34000, partTime 1312191, wholeTime 4545949
line 35000, partTime 1089244, wholeTime 5635194
line 36000, partTime 1260448, wholeTime 6895642
line 37000, partTime 338571, wholeTime 7234214
line 38000, partTime 619103, wholeTime 7853317
line 39000, partTime 431819, wholeTime 8285137
line 40000, partTime 523514, wholeTime 8808651
line 41000, partTime 228598, wholeTime 9037250
line 42000, partTime 402940, wholeTime 9440191
line 43000, partTime 922606, wholeTime 10362798
line 44000, partTime 362892, wholeTime 10725690
line 45000, partTime 413791, wholeTime 11139481
line 46000, partTime 338082, wholeTime 11477563
line 47000, partTime 176522, wholeTime 11654086
line 48000, partTime 147957, wholeTime 11802044
line 49000, partTime 89316, wholeTime 11891360
line 50000, partTime 262211, wholeTime 12153571
line 51000, partTime 48793, wholeTime 12202365
line 52000, partTime 1121232, wholeTime 13323597
line 53000, partTime 811062, wholeTime 14134660
line 54000, partTime 470638, wholeTime 14605298
line 55000, partTime 687344, wholeTime 15292643
line 56000, partTime 191531, wholeTime 15484175
line 57000, partTime 398765, wholeTime 15882940
line 58000, partTime 171679, wholeTime 16054620
line 59000, partTime 315975, wholeTime 16370596
line 60000, partTime 346822, wholeTime 16717418
line 61000, partTime 161470, wholeTime 16878888
line 62000, partTime 108317, wholeTime 16987205
line 63000, partTime 603854, wholeTime 17591060
line 64000, partTime 433328, wholeTime 18024389
line 65000, partTime 116003, wholeTime 18140392
line 66000, partTime 196819, wholeTime 18337211
line 67000, partTime 96208, wholeTime 18433420
line 68000, partTime 117204, wholeTime 18550624
line 69000, partTime 147487, wholeTime 18698112
line 70000, partTime 221662, wholeTime 18919774
line 71000, partTime 49090, wholeTime 18968865
line 72000, partTime 149313, wholeTime 19118178
line 73000, partTime 24589, wholeTime 19142768
line 74000, partTime 183743, wholeTime 19326511
line 75000, partTime 1419421, wholeTime 20745933
line 76000, partTime 947659, wholeTime 21693592
line 77000, partTime 447355, wholeTime 22140947
line 78000, partTime 606905, wholeTime 22747852
line 79000, partTime 314905, wholeTime 23062758
line 80000, partTime 212033, wholeTime 23274792
line 81000, partTime 284423, wholeTime 23559215
line 82000, partTime 360812, wholeTime 23920027
line 83000, partTime 278921, wholeTime 24198949
line 84000, partTime 256435, wholeTime 24455384
line 85000, partTime 197688, wholeTime 24653072
line 86000, partTime 83734, wholeTime 24736807
line 87000, partTime 224807, wholeTime 24961615
line 88000, partTime 526097, wholeTime 25487712
line 89000, partTime 330157, wholeTime 25817870
line 90000, partTime 34217, wholeTime 25852088
line 91000, partTime 283443, wholeTime 26135532
line 92000, partTime 107575, wholeTime 26243107
line 93000, partTime 129249, wholeTime 26372356
line 94000, partTime 118672, wholeTime 26491029
line 95000, partTime 100059, wholeTime 26591088
line 96000, partTime 99063, wholeTime 26690152
line 97000, partTime 41391, wholeTime 26731543
line 98000, partTime 129689, wholeTime 26861233
line 99000, partTime 48045, wholeTime 26909278
line 100000, partTime 19072, wholeTime 26928350
line 101000, partTime 750166, wholeTime 27678517
line 102000, partTime 368057, wholeTime 28046574
line 103000, partTime 453513, wholeTime 28500088
line 104000, partTime 97965, wholeTime 28598053
line 105000, partTime 162938, wholeTime 28760991
line 106000, partTime 120127, wholeTime 28881119
line 107000, partTime 57085, wholeTime 28938204
line 108000, partTime 45410, wholeTime 28983615
line 109000, partTime 262289, wholeTime 29245905
line 110000, partTime 101567, wholeTime 29347472
line 111000, partTime 47006, wholeTime 29394479
line 112000, partTime 38597, wholeTime 29433076
line 113000, partTime 86524, wholeTime 29519601
line 114000, partTime 41188, wholeTime 29560789
line 115000, partTime 16472, wholeTime 29577262
line 116000, partTime 137928, wholeTime 29715191
line 117000, partTime 118210, wholeTime 29833402
line 118000, partTime 159720, wholeTime 29993123
line 119000, partTime 43932, wholeTime 30037055
line 120000, partTime 47439, wholeTime 30084495
line 121000, partTime 13064, wholeTime 30097560
line 122000, partTime 22040, wholeTime 30119600
line 123000, partTime 6325, wholeTime 30125925
line 124000, partTime 66481, wholeTime 30192407
line 125000, partTime 18388, wholeTime 30210795
line 126000, partTime 18550, wholeTime 30229345
line 127000, partTime 3582, wholeTime 30232927
line 128000, partTime 27604, wholeTime 30260532
line 129000, partTime 979, wholeTime 30261511
line 130000, partTime 573, wholeTime 30262084
line 131000, partTime 556, wholeTime 30262640
line 131328, partTime 146, wholeTime 30262786
Lines checked 1094
Paths count 16921378
Colors used 8
