thisProcessorNumber 46 out of 120
line 1000, partTime 13971, wholeTime 13971
line 2000, partTime 16453, wholeTime 30425
line 3000, partTime 89179, wholeTime 119604
line 4000, partTime 52584, wholeTime 172189
line 5000, partTime 57441, wholeTime 229630
line 6000, partTime 55250, wholeTime 284881
line 7000, partTime 35523, wholeTime 320405
line 8000, partTime 27369, wholeTime 347774
line 9000, partTime 124390, wholeTime 472165
line 10000, partTime 202396, wholeTime 674561
line 11000, partTime 206739, wholeTime 881301
line 12000, partTime 81666, wholeTime 962968
line 13000, partTime 50628, wholeTime 1013597
line 14000, partTime 182101, wholeTime 1195698
line 15000, partTime 211091, wholeTime 1406790
line 16000, partTime 193032, wholeTime 1599823
line 17000, partTime 123084, wholeTime 1722907
line 18000, partTime 118027, wholeTime 1840935
line 19000, partTime 124570, wholeTime 1965505
line 20000, partTime 264147, wholeTime 2229653
line 21000, partTime 141615, wholeTime 2371269
line 22000, partTime 106181, wholeTime 2477451
line 23000, partTime 66426, wholeTime 2543878
line 24000, partTime 130902, wholeTime 2674780
line 25000, partTime 89820, wholeTime 2764600
line 26000, partTime 157556, wholeTime 2922157
line 27000, partTime 77469, wholeTime 2999626
line 28000, partTime 124858, wholeTime 3124484
line 29000, partTime 53048, wholeTime 3177533
line 30000, partTime 101182, wholeTime 3278716
line 31000, partTime 48072, wholeTime 3326789
line 32000, partTime 12475, wholeTime 3339264
line 33000, partTime 47226, wholeTime 3386491
line 34000, partTime 1195176, wholeTime 4581667
line 35000, partTime 756715, wholeTime 5338383
line 36000, partTime 1084232, wholeTime 6422615
line 37000, partTime 533966, wholeTime 6956581
line 38000, partTime 385386, wholeTime 7341968
line 39000, partTime 544594, wholeTime 7886562
line 40000, partTime 614522, wholeTime 8501085
line 41000, partTime 206440, wholeTime 8707525
line 42000, partTime 359230, wholeTime 9066756
line 43000, partTime 820793, wholeTime 9887549
line 44000, partTime 258249, wholeTime 10145798
line 45000, partTime 716398, wholeTime 10862197
line 46000, partTime 403241, wholeTime 11265438
line 47000, partTime 146138, wholeTime 11411577
line 48000, partTime 158962, wholeTime 11570539
line 49000, partTime 96416, wholeTime 11666956
line 50000, partTime 229209, wholeTime 11896166
line 51000, partTime 88167, wholeTime 11984334
line 52000, partTime 852802, wholeTime 12837137
line 53000, partTime 882778, wholeTime 13719915
line 54000, partTime 590554, wholeTime 14310470
line 55000, partTime 396940, wholeTime 14707410
line 56000, partTime 356761, wholeTime 15064171
line 57000, partTime 312891, wholeTime 15377063
line 58000, partTime 245016, wholeTime 15622079
line 59000, partTime 283100, wholeTime 15905180
line 60000, partTime 224678, wholeTime 16129859
line 61000, partTime 290330, wholeTime 16420189
line 62000, partTime 106695, wholeTime 16526884
line 63000, partTime 459228, wholeTime 16986113
line 64000, partTime 291440, wholeTime 17277554
line 65000, partTime 145989, wholeTime 17423543
line 66000, partTime 198953, wholeTime 17622496
line 67000, partTime 220362, wholeTime 17842858
line 68000, partTime 99595, wholeTime 17942454
line 69000, partTime 141814, wholeTime 18084269
line 70000, partTime 214424, wholeTime 18298693
line 71000, partTime 46606, wholeTime 18345300
line 72000, partTime 146849, wholeTime 18492149
